actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
Centers for Disease Control and Prevention,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-09-29-2024-10-05,FLU,• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,validation_conflict_review,anomaly,UNITED STATES,P0_critical,1,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,"validation conflict review - review_anomaly_anom_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_ff1cee7a6f74; event_005; anom_003; val_result_018,anomaly,This review item requires human inspection before it should affect downstream interpretation.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-09-28,Influenza (Seasonal),"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,duplicate_event_clustering,UNITED STATES,P1_high,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_001 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_002; rec_src_search_ff1cee7a6f74_005; rec_src_search_ff1cee7a6f74_006; event_001,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,duplicate_event_clustering,UNITED STATES,P1_high,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_002 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_011; rec_src_search_ff1cee7a6f74_013; event_002,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,duplicate_event_clustering,UNITED STATES,P1_high,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_001; rec_src_search_ff1cee7a6f74_003; rec_src_search_ff1cee7a6f74_004; event_003,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,duplicate_event_clustering,UNITED STATES,P1_high,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_004 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_010; rec_src_search_ff1cee7a6f74_012; event_004,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,claim_corroboration_review,duplicate_event_clustering,UNITED STATES,P1_high,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_005 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_007; rec_src_search_ff1cee7a6f74_008; event_005,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),No influenza-associated pediatric deaths occurring during the 2024-2025 season have been reported to CDC.,claim_corroboration_review,duplicate_event_clustering,UNITED STATES,P1_high,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_006 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_009; event_006,record,Claim-level support is unresolved or depends on a single source.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,FLU,,source_identity_review,source_credibility,UNITED STATES,P1_high,8,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_56888319c899 - 2024 to 2025 US Influenza Season Sets Record Hospitalization...,2024 to 2025 US Influenza Season Sets Record Hospitalization Rate,https://www.contagionlive.com/view/2024-to-2025-us-influenza-season-sets-record-hospitalization-rate,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_56888319c899,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,FLU,,source_identity_review,source_credibility,UNITED STATES,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_915efec17eac - [PDF] Respiratory Viruses Update,[PDF] Respiratory Viruses Update,https://www.dshs.texas.gov/sites/default/files/IDCU/about/TaskForceID/docs/Respiratory-Viruses-Update.pdf,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_915efec17eac,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,FLU,,source_identity_review,source_credibility,UNITED STATES,P1_high,10,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_c95c26c7b200 - [PDF] 2024-2025 Influenza Surveillance Report Week 40,[PDF] 2024-2025 Influenza Surveillance Report Week 40,https://msdh.ms.gov/page/resources/20794.pdf,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_c95c26c7b200,source,Publisher or source identity uncertainty can affect source independence and credibility.
