actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-12-01-2025-02-28,Norovirus,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_claim_corroboration_review_corr_event_005 - US norovirus outbreaks are up, CDC data show - CIDRAP","US norovirus outbreaks are up, CDC data show - CIDRAP",https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_c8f6e152147e_001_cases_unspecified; claim_rec_src_search_c8f6e152147e_002_observation; src_search_c8f6e152147e; corr_event_005,claim,Claim-level support is unresolved or depends on a single source.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,2,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_3b4e2043d3a5 - Norovirus Surge May Be Driven by Ultra-Contagious Variant. K...,Norovirus Surge May Be Driven by Ultra-Contagious Variant. Know These Signs,https://www.today.com/health/disease/norovirus-surge-2025-2026-rcna246985,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_3b4e2043d3a5,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,3,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_926b43baa66c - WDEF News 12 - ""Outbreaks of norovirus are most common...","WDEF News 12 - ""Outbreaks of norovirus are most common...",https://www.facebook.com/wdefnews12/posts/outbreaks-of-norovirus-are-most-common-between-november-and-april-the-cdc-says-l/1261711429336143,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_926b43baa66c,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,4,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_e119c616592e - Norovirus cases are surging. Here's how to protect yourself.,Norovirus cases are surging. Here's how to protect yourself.,https://www.advisory.com/daily-briefing/2025/12/08/norovirus,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_e119c616592e,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"According to CaliciNet—a network of public health laboratories—the dominant strain of norovirus is currently GII.17, which made up 69.7% of the genotype distribution among norovirus outbreaks from September 1, 2024 to December 31, 2024.5,6",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_001 - CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contempora...,CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics,https://www.contemporarypediatrics.com/view/cdc-2025-seasonal-norovirus-outbreaks-up-previous-years,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_8d7dfb3aeace_002; event_001,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-12-01,Norovirus Gastroenteritis,"Norovirus, a leading cause of acute gastroenteritis in the United States, is emerging as a significant public health concern in 2025. The stomach virus spreads quickly in cooler weather and cases typically peak in February. The CDC reported a surge in cases as of late December 2024, with about 36% more illness than the same period in 2023, and almost 50% more than the previous decade's average. Each year, it accounts for an estimated 19 to 21 million cases of vomiting and diarrhea, with approximately one in fifteen Americans affected. NoroSTAT Data | Norovirus | CDC",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_004 - Staying Healthy: Norovirus Infections Surge in 2025 - AllCare Health,Staying Healthy: Norovirus Infections Surge in 2025 - AllCare Health,https://www.allcarehealth.com/articles-events/articles/staying-healthy-norovirus-infections-surge-in-2025,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_fb7ff50094aa_001; rec_src_search_fb7ff50094aa_002; event_004,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"[Data](https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html) released earlier this week by the CDC show that 16 cruise ship norovirus outbreaks were reported in 2024, including 5 in December that sickened 890 passengers and crew members.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_005 - US norovirus outbreaks are up, CDC data show - CIDRAP","US norovirus outbreaks are up, CDC data show - CIDRAP",https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_c8f6e152147e_001; event_005,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-12-30,Norovirus Gastroenteritis,"Norovirus is the leading cause of foodborne illness in the United States. Each year, there are about 2,500 reported outbreaks. They can occur throughout the year but are most common between November and April, the CDC said.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_007 - Norovirus outbreaks surging across the US: CDC data - The Hill,Norovirus outbreaks surging across the US: CDC data - The Hill,https://thehill.com/policy/healthcare/5059834-norovirus-outbreaks-cdc,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_2acdad71566e_004; event_007,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-12-30,Norovirus Gastroenteritis,The highest number for the same period over the last several years was 65 outbreaks.,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_008 - Norovirus outbreaks surging across the US: CDC data - The Hill,Norovirus outbreaks surging across the US: CDC data - The Hill,https://thehill.com/policy/healthcare/5059834-norovirus-outbreaks-cdc,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_2acdad71566e_003; event_008,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"Each year, there are about 2,500 reported norovirus outbreaks in the United States. Norovirus outbreaks occur throughout the year but are most common from November to April.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,10,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_009 - Norovirus Outbreaks - CDC,Norovirus Outbreaks - CDC,https://www.cdc.gov/norovirus/outbreak-basics/index.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_b15c469d896c_001; event_009,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"Each year, about 2,500 norovirus outbreaks are reported in the U.S., per the CDC. These can occur throughout the year but are most common between November and April.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,11,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_010 - Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,https://www.today.com/health/disease/norovirus-2025-rcna185976,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_e6c676751454_001; event_010,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"Norovirus, a leading cause of acute gastroenteritis in the United States, is emerging as a significant public health concern in 2025. The stomach virus spreads quickly in cooler weather and cases typically peak in February. The CDC reported a surge in cases as of late December 2024, with about 36% more illness than the same period in 2023, and almost 50% more than the previous decade's average. Each year, it accounts for an estimated 19 to 21 million cases of vomiting and diarrhea, with approximately one in fifteen Americans affected. NoroSTAT Data | Norovirus | CDC",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,12,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_011 - Staying Healthy: Norovirus Infections Surge in 2025 - AllCare Health,Staying Healthy: Norovirus Infections Surge in 2025 - AllCare Health,https://www.allcarehealth.com/articles-events/articles/staying-healthy-norovirus-infections-surge-in-2025,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_fb7ff50094aa_003; event_011,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"“The total number of outbreaks reported during this 2024–2025 season is above those reported during the same period during 2012–2020 and 2021-2024,” the CDC spokesperson says.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,13,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_012 - Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,https://www.today.com/health/disease/norovirus-2025-rcna185976,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_e6c676751454_002; event_012,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,There have been 153 outbreaks during the same time period this year.,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,14,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_013 - As Norovirus cases rise, here’s what to know about this year’s spread — and how...","As Norovirus cases rise, here’s what to know about this year’s spread — and how to protect yourself",https://www.nbcnews.com/health/health-news/norovirus-2025-spread-rise-contagious-symptoms-experts-what-know-rcna244719,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_9007d7feb130_001; event_013,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"Recent CDC data shows a significant increase in norovirus cases across the US, with over 22% of tests returning positive as of December 2024.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,15,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_014 - Entering Peak Norovirus Season as Cases Rise Across the US,Entering Peak Norovirus Season as Cases Rise Across the US,https://www.contagionlive.com/view/entering-peak-norovirus-season-as-cases-rise-across-the-us,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_f0d04211eb5c_001; event_014,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-02-28,Norovirus Gastroenteritis,"In fact, norovirus outbreaks in the U.S. in early January reached the highest level for this time of year since 2012, CDC data show.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,16,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_015 - Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,https://www.today.com/health/disease/norovirus-2025-rcna185976,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_e6c676751454_003; event_015,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,17,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_0e2fe8a988c2 - NoroSTAT Data | Norovirus - Restored CDC,NoroSTAT Data | Norovirus - Restored CDC,https://restoredcdc.org/www.cdc.gov/norovirus/php/reporting/norostat-data.html,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_0e2fe8a988c2,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,18,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_111e84f03641 - Sharp Rise in US Norovirus Cases in December 2024,Sharp Rise in US Norovirus Cases in December 2024,https://www.infectiousdiseaseadvisor.com/news/sharp-rise-in-us-norovirus-cases-in-december-2024,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_111e84f03641,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,19,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_15ede2bf436b - Cruise ship outbreaks 2025: 6 reported this year; here's wha...,Cruise ship outbreaks 2025: 6 reported this year; here's what we know | FOX 35 Orlando,https://www.fox35orlando.com/news/gastrointestinal-illness-stomach-bug-norovirus-outbreaks-reported-cruises-cdc,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_15ede2bf436b,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,20,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_1c70f6d6649a - Norovirus outbreaks sweep California,Norovirus outbreaks sweep California,https://medicalxpress.com/news/2025-01-norovirus-outbreaks-california.html,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_1c70f6d6649a,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,21,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_1f728543018e - Norovirus outbreak affects over 80 on Coral Princess as crui...,Norovirus outbreak affects over 80 on Coral Princess as cruise ship cases surge in 2025 | Food Safety News,https://www.foodsafetynews.com/2025/03/norovirus-outbreak-affects-over-80-on-coral-princess-as-cruise-ship-cases-surge-in-2025,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_1f728543018e,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,22,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_24eac4e3a15f - Surge in Norovirus Incidents in 2025: A Crisis on the Rise,Surge in Norovirus Incidents in 2025: A Crisis on the Rise,https://www.digicomply.com/blog/surge-in-norovirus-incidents-in-2025,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_24eac4e3a15f,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-12-01-2025-02-28,Norovirus,,source_identity_review,source_credibility,United States,P1_high,23,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_2acdad71566e - Norovirus outbreaks surging across the US: CDC data - The Hill,Norovirus outbreaks surging across the US: CDC data - The Hill,https://thehill.com/policy/healthcare/5059834-norovirus-outbreaks-cdc,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_2acdad71566e,source,Publisher or source identity uncertainty can affect source independence and credibility.
