apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_001,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_001,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Arbobulletin_2024_7.pdf,https://westnile.ca.gov/download?download_id=4980,claim_rec_src_search_fc3322f3069f_001_deaths; claim_rec_src_search_be93a6fa0503_005_deaths; claim_rec_src_search_ccc444806280_001_cases_unspecified; claim_rec_src_search_ccc444806280_002_cases_unspecified; claim_rec_src_search_a39e4fa28013_001_cases_unspecified; claim_rec_src_search_a39e4fa28013_002_cases_unspecified; claim_rec_src_search_a39e4fa28013_003_cases_unspecified; claim_rec_src_search_a39e4fa28013_004_cases_unspecified; claim_rec_src_search_a39e4fa28013_005_cases_unspecified; claim_rec_src_search_fc3322f3069f_001_cases_unspecified; claim_rec_src_search_be93a6fa0503_001_cases_unspecified; claim_rec_src_search_be93a6fa0503_005_cases_unspecified; claim_rec_src_search_be93a6fa0503_006_cases_unspecified; claim_rec_src_search_be93a6fa0503_007_cases_unspecified; claim_rec_src_search_be93a6fa0503_008_cases_unspecified; claim_rec_src_search_be93a6fa0503_009_cases_unspecified; claim_rec_src_search_be93a6fa0503_010_cases_unspecified; claim_rec_src_search_99932da268a1_001_cases_unspecified; src_search_ccc444806280; src_search_a39e4fa28013; src_search_fc3322f3069f; src_search_be93a6fa0503; src_search_99932da268a1; corr_event_001,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_010,accept_as_is,California (123),primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_010,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_010 - 2024 Mosquito-Borne Disease Year In Review,https://www.vdci.net/blog/2024-mosquito-borne-disease-year-in-review,rec_src_search_99932da268a1_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_011,accept_as_is,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_011,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_011 - Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov,rec_src_search_fc3322f3069f_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_016,accept_as_is,Human Cases Week 9 0 0,primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_016,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_016 - Arbobulletin_2024_29.pdf,https://westnile.ca.gov/download?download_id=5061,rec_src_search_a39e4fa28013_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_99932da268a1_001,accept_as_is,California (123),primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_99932da268a1_001,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_99932da268a1_001 - 2024 Mosquito-Borne Disease Year In Review,https://www.vdci.net/blog/2024-mosquito-borne-disease-year-in-review,rec_src_search_99932da268a1_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_a39e4fa28013_003,accept_as_is,Human Cases Week 9 0 0,primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_a39e4fa28013_003,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_a39e4fa28013_003 - Arbobulletin_2024_29.pdf,https://westnile.ca.gov/download?download_id=5061,rec_src_search_a39e4fa28013_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_fc3322f3069f_001,accept_as_is,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_fc3322f3069f_001,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_fc3322f3069f_001 - Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov,rec_src_search_fc3322f3069f_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_004,accept_anomaly,No. Human Cases 286 98,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_004,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_004 - Arbobulletin_2024_29.pdf,https://westnile.ca.gov/download?download_id=5061,src_search_a39e4fa28013; event_020; anom_004; val_result_004,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_005,accept_anomaly,"There have been 289 human West Nile virus disease cases in 2024, according to the [CDC](https://www.cdc.gov/west-nile-virus/data-maps/current-year-data.html).",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_005,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_005 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_009; anom_005; val_result_008,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_006,accept_anomaly,"Earlier this week, health officials in Illinois announced the first death in the state from West Nile virus after a Lake County resident in their 80s had an onset of symptoms in mid-August and died soon after.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_006,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_006 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_018; anom_006; val_result_009,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_007,accept_anomaly,There were six West Nile virus deaths recorded in Illinois in 2023.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_007,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_007 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_017; anom_007; val_result_010,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_008,accept_anomaly,"An average of 18 cases of illness from West Nile virus are reported in Wisconsin every year, according to DHS officials.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_008,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_008 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_019; anom_008; val_result_011,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_009,accept_anomaly,"Butte (1), Kern (3), and Tulare (1) . In 2025, 22 human cases of WNV disease have been reported from 8",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_009,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_009 - [PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=5147,src_search_be93a6fa0503; event_006; anom_009; val_result_017,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_010,accept_anomaly,"counties. Of the 22 cases, 19 ( 86%) had neuroinvasive disease and 1 ( 5%) was fatal. The median age of",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_010,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_010 - [PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=5147,src_search_be93a6fa0503; event_001; anom_010; val_result_018,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_011,accept_anomaly,"onset ranged from June 6 to August 18 . In addition to the 22 cases of WNV disease , 3 asymptomatic",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_011,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_011 - [PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=5147,src_search_be93a6fa0503; event_003; anom_011; val_result_019,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_012,accept_anomaly,No. Human Cases 27 22,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_012,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_012 - [PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=5147,src_search_be93a6fa0503; event_023; anom_012; val_result_021,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_013,accept_anomaly,California (123),claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_013,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_013 - 2024 Mosquito-Borne Disease Year In Review,https://www.vdci.net/blog/2024-mosquito-borne-disease-year-in-review,src_search_99932da268a1; event_010; anom_013; val_result_023,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_002,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_002,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_002 - Health officials report 3 West Nile virus deaths; warn of...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,claim_rec_src_search_0d4e7ec87258_001_cases_unspecified; src_search_0d4e7ec87258; corr_event_002,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_003,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_003,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_003 - Health officials report 3 West Nile virus deaths; warn of...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,claim_rec_src_search_0d4e7ec87258_002_deaths; claim_rec_src_search_0d4e7ec87258_003_deaths; src_search_0d4e7ec87258; corr_event_003,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_004,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_004,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_004 - Health officials report 3 West Nile virus deaths; warn of...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,claim_rec_src_search_0d4e7ec87258_004_cases_unspecified; src_search_0d4e7ec87258; corr_event_004,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_005,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_005,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_005 - [PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=5147,claim_rec_src_search_be93a6fa0503_002_cases_unspecified; src_search_be93a6fa0503; corr_event_005,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_006,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_006,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_006 - [PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=5147,claim_rec_src_search_be93a6fa0503_003_cases_unspecified; src_search_be93a6fa0503; corr_event_006,claim
