anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,deaths_without_case_reference,record,deaths,2025-08-25,deterministic_anomaly_detection,Legionnaires' disease,,"MONDAY, Aug. 25, 2025 (HealthDay News) — New York City health officials confirmed a sixth death linked to a Legionnaires’ disease outbreak in Harlem where 112 people have now been diagnosed.",,[],,"New York City, New York",False,6.0,deaths present but no comparable case count is available,human_review,rec_src_search_9d8411eba09d_002,[],low,src_search_9d8411eba09d,"[""src_search_9d8411eba09d""]","[""https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases""]",,,"[""insufficient_case_reference""]"
anom_002,open,deaths_without_case_reference,record,deaths,2025-08-31,deterministic_anomaly_detection,Legionnaires' disease,,"HealthDay News — A Legionnaires’ disease outbreak in New York City has infected 67 people and caused three deaths, health officials say.",,[],,New York City,False,3.0,deaths present but no comparable case count is available,human_review,rec_src_search_ee3c4e1dc1cd_002,[],low,src_search_ee3c4e1dc1cd,"[""src_search_ee3c4e1dc1cd""]","[""https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease""]",,,"[""insufficient_case_reference""]"
anom_003,open,deaths_without_case_reference,record,deaths,2025-08-31,deterministic_anomaly_detection,Legionnaires' disease,,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",,[],,New York City,False,4.0,deaths present but no comparable case count is available,human_review,rec_src_search_743df961a25b_002,[],low,src_search_743df961a25b,"[""src_search_743df961a25b""]","[""https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened""]",,,"[""insufficient_case_reference""]"
anom_004,open,deaths_without_case_reference,record,deaths,2025-08-26,deterministic_anomaly_detection,Legionnaires' disease,,"### On August 26, the DOH reported more than 113 confirmed cases of the disease, with six deaths and seven people currently hospitalized",,[],,New York City,False,6.0,deaths present but no comparable case count is available,human_review,rec_src_search_b74bccc017c5_002,[],low,src_search_b74bccc017c5,"[""src_search_b74bccc017c5""]","[""https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation""]",,,"[""insufficient_case_reference""]"
anom_005,open,deaths_without_case_reference,record,deaths,2025-08-14,deterministic_anomaly_detection,Legionnaires' disease,,"As of Thursday afternoon, the Legionnaires’ outbreak in Harlem has resulted in nearly 100 confirmed cases, including four deaths. (Getty Images)",,[],,New York City,False,4.0,deaths present but no comparable case count is available,human_review,rec_src_search_f0add2a7316b_002,[],low,src_search_f0add2a7316b,"[""src_search_f0add2a7316b""]","[""https://www.healthbeat.org/newyork/2025/08/14/legionnaires-disease-locations-harlem-deaths""]",,,"[""insufficient_case_reference""]"
anom_006,open,deaths_without_case_reference,record,deaths,2025-08-14,deterministic_anomaly_detection,Legionnaires' disease,,"As of Thursday afternoon, the Legionnaires’ outbreak has resulted in nearly 100 confirmed cases, including four deaths. But officials said they believe the outbreak is starting to slow down.",,[],,"New York City, NY",False,4.0,deaths present but no comparable case count is available,human_review,rec_src_search_f0add2a7316b_004,[],low,src_search_f0add2a7316b,"[""src_search_f0add2a7316b""]","[""https://www.healthbeat.org/newyork/2025/08/14/legionnaires-disease-locations-harlem-deaths""]",,,"[""insufficient_case_reference""]"
anom_007,open,deaths_without_case_reference,record,deaths,2025-08-20,deterministic_anomaly_detection,Legionnaires' disease,,The health department told _The BMJ_ that as of 20 August 14 people remained in hospital but that no new cases or deaths had been reported. The department has sampled and …,,[],,New York,False,5.0,deaths present but no comparable case count is available,human_review,rec_src_search_72af26a33522_002,[],low,src_search_72af26a33522,"[""src_search_72af26a33522""]","[""https://www.bmj.com/content/390/bmj.r1785""]",,,"[""insufficient_case_reference""]"
anom_008,open,deaths_without_case_reference,record,deaths,2025-08-25,deterministic_anomaly_detection,Legionnaires' disease,,"[Skip to Main Content](#mainContent) * [Home](https://www.powershealth.org/) * [About Us](https://www.powershealth.org/about-us) * [Newsroom](https://www.powershealth.org/about-us/newsroom) * [Health Library](https://www.powershealth.org/about-us/newsroom/health-library) * News Article [Doctors](https://www.powershealth.org/find-a-doctor) [Locations](https://www.powershealth.org/locations) Share # NYC Legionnaires' Outbreak: 6 Deaths, 112 Cases News Article 8/25/2025 ![](/-/media/images/import/health day/image_olb9cd4q.ashx?h=801&w=1200&la=en&hash=F312C283006554B0695AA731A91301EE) Adobe Stock MONDAY, Aug. 25, 2025 (HealthDay News) — New York City health officials confirmed a sixth death linked to a Legionnaires’ disease outbreak in Harlem where 112 people have now been diagnosed. The latest death occurred earlier this month outside the city and was discovered during the health department’s ongoing investigation, which began in late July, *The Associated Press* reported. Seven people are hospitalized, according to the most recent update from the city’s health department. Health officials said the *Legionella* bacteria were found in 12 cooling towers across 10 buildings, including a city-run hospital and a sexual health clinic, *The AP* said. All towers have since been cleaned and treated. Legionnaires’ disease is a type of [pneumonia](https://www.healthday.com/a-to-z-health/infectious-disease/pneumonia-648250.html), the U.S. Centers for Disease Control and Prevention (CDC) says. Symptoms can include: Cough, fever, headaches, muscles aches and shortness of breath. The infection can be treated with antibiotics. Left untreated, it may lead to serious complications like lung failure or death.",,[],,"New York City, New York",False,6.0,deaths present but no comparable case count is available,human_review,rec_src_search_9d8411eba09d_004,[],low,src_search_9d8411eba09d,"[""src_search_9d8411eba09d""]","[""https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases""]",,,"[""insufficient_case_reference""]"
anom_009,open,deaths_without_case_reference,record,deaths,July 25,deterministic_anomaly_detection,Legionnaires' disease,,"![infectiousdiseaseadvisor logo](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/logos/infectiousdiseaseadvisor.svg) ![HMN logo](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/HMN-logo-1line.svg) # Three Deaths, 67 People in NYC Diagnosed With Legionnaires’ Disease ![](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/key-point_icon.svg) HealthDay News — A Legionnaires’ disease outbreak in New York City has infected 67 people and caused three deaths, health officials say. The cases have been reported in Central Harlem. Officials believe the source of the outbreak is cooling towers on nearby buildings, according to the New York City Department of Health and Mental Hygiene. Cooling towers are large rooftop devices that release mist into the air to help cool buildings. But if the water inside the tower becomes too warm or isn’t disinfected properly, bacteria called *Legionella* can grow. People can get sick when they inhale this contaminated mist. The disease does not spread from person to person. The city announced the outbreak on July 25. Since then, 11 cooling towers in the area tested positive for *Legionella pneumophila*, a strain of the [bacteria](https://www.infectiousdiseaseadvisor.com/ddi/naegleria-fowleri/). Those towers have now been remediated, the officials said. “Anyone in these Zip codes with [flu](https://www.healthday.com/a-to-z-health/pulmonology/influenza-2665039558.html)-like symptoms should contact a health care provider as soon as possible,” Acting Health Commissioner [Dr.",,[],,"New York City, Central Harlem",False,3.0,deaths present but no comparable case count is available,human_review,rec_src_search_ee3c4e1dc1cd_004,[],low,src_search_ee3c4e1dc1cd,"[""src_search_ee3c4e1dc1cd""]","[""https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease""]",,,"[""insufficient_case_reference""]"
anom_010,open,deaths_without_case_reference,record,deaths,2025-08-04,deterministic_anomaly_detection,Legionnaires' disease,,"![NYC](/assets/home/images/global/nyc_white.png) ![](/assets/home/images/global/upper-header-divider.gif) ![](/assets/home/images/global/upper-header-divider.gif) ![NYC Health](/assets/doh/images/content/header/logo.png) ![Language](/assets/home/images/global/language.gif) ## Promoting and Protecting the City's Health ![Print icon](/assets/home/images/global/print.png) # New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease in Central Harlem *Fifty-eight people have been diagnosed with Legionnaires’ disease since July 25, 2025 and two people have died.* People who have been in the affected area since late July who have flu-like symptoms, fever, cough, or difficulty breathing should seek immediate medical attention **August 4, 2025 —** Today, the NYC Health Department provided an update on the investigation into a community cluster of Legionnaires’ disease in Central Harlem (ZIP codes 10027, 10030, 10035, 10037, and 10039) and bordering communities. Fifty-eight people have been diagnosed with Legionnaires’ disease since July 25, 2025 and two people have died. The remediation required by the Department has been completed for the 11 cooling towers with initial positive screening results showing the presence of *Legionella pneumophila*, a type of bacteria that causes Legionnaires’ disease. People living or working in the area with flu-like symptoms, such as cough, fever, chills, muscle aches, or difficulty breathing should contact a health care provider immediately. It is especially important for people at higher risk — including those ages 50 and older, cigarette smokers, and people with chronic lung disease or compromised immune systems — to get care if they have symptoms.",,[],,"New York City, New York",False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_f72980cd3634_002,[],low,src_search_f72980cd3634,"[""src_search_f72980cd3634""]","[""https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-second-legionnaires-cluster-update.page""]",,,"[""insufficient_case_reference""]"
