apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_002,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_002,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_002 - Weekly US Influenza Surveillance Report: Key Updates for...,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,claim_rec_src_search_ff1cee7a6f74_008_cases_unspecified; src_search_ff1cee7a6f74; corr_event_002,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_001,accept_as_is,"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_001,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_001 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_002; rec_src_search_ff1cee7a6f74_005; rec_src_search_ff1cee7a6f74_006; event_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_002,accept_as_is,"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_002,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_002 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_012; rec_src_search_ff1cee7a6f74_014; event_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_003,accept_as_is,"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_003,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_001; rec_src_search_ff1cee7a6f74_003; rec_src_search_ff1cee7a6f74_004; event_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_004,accept_as_is,"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_004,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_004 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_011; rec_src_search_ff1cee7a6f74_013; event_004,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_005,accept_as_is,• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_005,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_005 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_007; event_005,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_006,accept_as_is,The percentage of emergency department (ED) visits with a discharge diagnosis of influenza reported in NSSP was 0.2% overall during Week 40. This week's percentage remained stable overall and among all age groups compared to the previous week.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_006,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_006 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_009; event_006,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_007,accept_as_is,No influenza-associated pediatric deaths occurring during the 2024-2025 season have been reported to CDC.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_007,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_007 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_010; event_007,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_50b73d583e75,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_50b73d583e75,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_50b73d583e75 - US CDC says 2025-26 flu season 'moderately severe' as cases...,https://www.reuters.com/business/healthcare-pharmaceuticals/us-cdc-says-2025-26-flu-season-moderately-severe-cases-hit-11-million-2026-01-05,src_search_50b73d583e75,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_core_metric_gap_src_search_1b15a2673061,approve_source_role,"Task-relevant source text appeared to contain core epidemiology metric signals, but extraction produced no structured records.",general_review,"What decision, if any, should a human reviewer record?",P3_low,Review required: general_review,review_core_metric_gap_src_search_1b15a2673061,REPLACE_WITH_REVIEWER_ID,"general review - review_core_metric_gap_src_search_1b15a2673061 - Regional Update, Influenza and Other Respiratory Viruses. Epidemiologic...",https://www.paho.org/en/documents/regional-update-influenza-and-other-respiratory-viruses-epidemiological-week-40-11,src_search_1b15a2673061,source
