actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2025-01-01-2025-03-31,Measles,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,United States,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Texas measles in Gaines County surpass 100 cases, offici...","Texas measles in Gaines County surpass 100 cases, officials urge ...",https://www.lubbockonline.com/story/news/local/2025/03/04/texas-measles-in-gaines-county-surpass-100-cases-officials-urge-caution-as-state-hits-159-cases/81218510007,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_87bd434eacdf_005_cases_unspecified; claim_rec_src_search_da86b7826545_001_deaths; claim_rec_src_search_87bd434eacdf_001_cases_unspecified; claim_rec_src_search_87bd434eacdf_003_hospitalizations; claim_rec_src_search_da86b7826545_001_cases_unspecified; claim_rec_src_search_da86b7826545_005_cases_unspecified; claim_rec_src_search_da86b7826545_001_hospitalizations; src_search_87bd434eacdf; src_search_da86b7826545; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,needs_more_evidence; defer_decision,2025-01-01-2025-03-31,Measles,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,United States,P0_critical,2,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_005 - Over 2K measles cases reported in US in 2025 as ongoing ...,Over 2K measles cases reported in US in 2025 as ongoing ...,https://abc7news.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_3f4cf9d46ec9_003_observation; claim_rec_src_search_d1d6036be2f6_003_observation; claim_rec_src_search_d1d6036be2f6_005_observation; claim_rec_src_search_283a8bed6a9d_003_observation; claim_rec_src_search_283a8bed6a9d_004_observation; claim_rec_src_search_283a8bed6a9d_006_observation; claim_rec_src_search_283a8bed6a9d_008_observation; claim_rec_src_search_283a8bed6a9d_011_hospitalizations; claim_rec_src_search_283a8bed6a9d_012_hospitalizations; claim_rec_src_search_283a8bed6a9d_013_hospitalizations; claim_rec_src_search_283a8bed6a9d_014_hospitalizations; claim_rec_src_search_283a8bed6a9d_017_deaths; claim_rec_src_search_3f4cf9d46ec9_001_cases_unspecified; claim_rec_src_search_8242cbb785a1_001_cases_confirmed; claim_rec_src_search_cd5fb2750261_001_cases_confirmed; claim_rec_src_search_cd5fb2750261_002_cases_confirmed; claim_rec_src_search_d1d6036be2f6_001_cases_unspecified; claim_rec_src_search_d1d6036be2f6_002_cases_unspecified; claim_rec_src_search_d1d6036be2f6_004_cases_confirmed; claim_rec_src_search_d1d6036be2f6_004_deaths; claim_rec_src_search_3109afb35d90_001_cases_confirmed; claim_rec_src_search_3109afb35d90_002_cases_unspecified; claim_rec_src_search_3109afb35d90_003_cases_unspecified; claim_rec_src_search_3109afb35d90_004_cases_unspecified; claim_rec_src_search_283a8bed6a9d_001_cases_confirmed; claim_rec_src_search_283a8bed6a9d_002_cases_confirmed; claim_rec_src_search_283a8bed6a9d_005_cases_unspecified; claim_rec_src_search_283a8bed6a9d_007_cases_unspecified; claim_rec_src_search_283a8bed6a9d_009_cases_unspecified; claim_rec_src_search_283a8bed6a9d_010_cases_unspecified; claim_rec_src_search_283a8bed6a9d_011_cases_unspecified; claim_rec_src_search_283a8bed6a9d_015_cases_unspecified; claim_rec_src_search_7cb311dd75e6_001_cases_confirmed; claim_rec_src_search_283a8bed6a9d_016_deaths; src_search_3f4cf9d46ec9; src_search_8242cbb785a1; src_search_cd5fb2750261; src_search_d1d6036be2f6; src_search_3109afb35d90; src_search_283a8bed6a9d; src_search_7cb311dd75e6; corr_event_005,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_002 - Situation Report #1: Measles in the Americas Region - PAHO/WHO,Situation Report #1: Measles in the Americas Region - PAHO/WHO,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_6e578fc529e9_001; event_002,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,"CHICAGO -- The United States reported more than 2,000 measles cases in 2025, federal data shows, a higher annual total than the country has seen in decades.",possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_003 - Over 2K measles cases reported in US in 2025 as ongoing ...,Over 2K measles cases reported in US in 2025 as ongoing ...,https://abc7news.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_3f4cf9d46ec9_001; event_003,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,"There have been 16 outbreaks (defined as 3 or more related cases) reported in 2024, and 69% of cases (198 of 285) are outbreak-associated. For comparison, 4 outbreaks were reported during 2023 and 49% of cases (29 of 59) were outbreak-associated.",possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_005 - Measles Cases and Outbreaks,Measles Cases and Outbreaks,https://www.cdc.gov/measles/data-research/index.html,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_283a8bed6a9d_008; rec_src_search_283a8bed6a9d_009; event_005,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,#### 285,possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_007 - Measles Cases and Outbreaks,Measles Cases and Outbreaks,https://www.cdc.gov/measles/data-research/index.html,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_283a8bed6a9d_005; rec_src_search_283a8bed6a9d_006; event_007,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_008 - Situation Report #2: Measles in the Americas Region - PAHO/WHO,Situation Report #2: Measles in the Americas Region - PAHO/WHO,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_8242cbb785a1_002; rec_src_search_8242cbb785a1_003; event_008,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,"There were 48 outbreaks** reported in 2025, and 90% of confirmed cases (2,065 of 2,288) were outbreak-associated. For comparison, 16 outbreaks were reported during 2024 and 69% of cases (198 of 285) were outbreak-associated.",possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_009 - Measles Cases and Outbreaks,Measles Cases and Outbreaks,https://www.cdc.gov/measles/data-research/index.html,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_283a8bed6a9d_001; rec_src_search_283a8bed6a9d_002; rec_src_search_283a8bed6a9d_003; rec_src_search_283a8bed6a9d_004; rec_src_search_cd5fb2750261_001; event_009,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,98,possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_010 - U.S. Measles Tracker | International Vaccine Access Center,U.S. Measles Tracker | International Vaccine Access Center,https://publichealth.jhu.edu/ivac/resources/us-measles-tracker,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_7cb311dd75e6_001; event_010,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-03-31,Measles,| ##### **Total Deaths** | ##### 0 | ##### 3 |,possible_primary_case_evidence,duplicate_event_clustering,United States,P0_critical,10,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_011 - Measles Cases and Outbreaks,Measles Cases and Outbreaks,https://www.cdc.gov/measles/data-research/index.html,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_283a8bed6a9d_016; rec_src_search_283a8bed6a9d_017; event_011,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
