anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_case_dataset,True,True,accepted_with_warnings,,confirmed_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_65e6340a3a24_001,
,,final_case_dataset,True,True,accepted_with_warnings,,hospitalization_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_65e6340a3a24_002,
,,final_case_dataset,True,True,accepted_with_warnings,,death_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_65e6340a3a24_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8bf36d4bffb4_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",ambiguous_public_health_observation,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8bf36d4bffb4_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,confirmed_case_record,,True,"[""record as-of date 2025-08-12 is outside requested task window 2025-01-01 to 2025-04-30"", ""record period 2025-01-01 to 2025-08-12 is too broad for requested task window 2025-01-01 to 2025-04-30""]",record as-of date 2025-08-12 is outside requested task window 2025-01-01 to 2025-04-30,,rec_src_search_3e232b5b243d_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,death_record,,True,"[""record as-of date 2025-08-12 is outside requested task window 2025-01-01 to 2025-04-30""]",record as-of date 2025-08-12 is outside requested task window 2025-01-01 to 2025-04-30,,rec_src_search_3e232b5b243d_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,confirmed_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record geography is broader than requested location Texas; record has geographic_scope_type='region', geographic_scope='Americas Region', subnational_location=None"", ""record period 2025-01-01 to 2025-12-31 is too broad for requested task window 2025-01-01 to 2025-04-30""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_8242cbb785a1_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,death_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record geography is broader than requested location Texas; record has geographic_scope_type='region', geographic_scope='Americas Region', subnational_location=None"", ""record period 2025-01-01 to 2025-12-31 is too broad for requested task window 2025-01-01 to 2025-04-30""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_8242cbb785a1_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,confirmed_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record geography is broader than requested location Texas; record has geographic_scope_type='region', geographic_scope='Americas Region', subnational_location=None"", ""record period 2025-01-01 to 2025-12-31 is too broad for requested task window 2025-01-01 to 2025-04-30""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_6e578fc529e9_001,
