anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_b15c469d896c_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8d7dfb3aeace_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8d7dfb3aeace_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_e6c676751454_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_ambiguous_non_primary_observation,,ambiguous_public_health_observation,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as ambiguous_public_health_observation, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_e6c676751454_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_ambiguous_non_primary_observation,,ambiguous_public_health_observation,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as ambiguous_public_health_observation, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_e6c676751454_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_c8f6e152147e_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_c8f6e152147e_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_schema_invalid,,surveillance_summary,,False,"[""direct_collection metric records must resolve whether the table column is current-period, previous-period, or cumulative""]","direct_collection metric records must resolve whether the table column is current-period, previous-period, or cumulative",,rec_src_search_f0d04211eb5c_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_schema_invalid,,surveillance_summary,,False,"[""direct_collection metric records must resolve whether the table column is current-period, previous-period, or cumulative""]","direct_collection metric records must resolve whether the table column is current-period, previous-period, or cumulative",,rec_src_search_2acdad71566e_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record date 2024-11-30 is outside requested task window 2024-12-01 to 2025-02-28"", ""record date 2024-11-30 is outside requested task window 2024-12-01 to 2025-02-28"", ""record event period 2024-11-24 to 2024-11-30 does not overlap requested task window 2024-12-01 to 2025-02-28"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_2acdad71566e_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_2acdad71566e_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",surveillance_summary,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_2acdad71566e_004,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",ambiguous_public_health_observation,,False,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_fb7ff50094aa_001,
