actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T19:22:30+00:00,official_authority,https://www.contemporarypediatrics.com/view/cdc-2025-seasonal-norovirus-outbreaks-up-previous-years,primary_case_claim_support,,,live_search_result,not_assessed,contemporarypediatrics.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics""]","[![Logo Image](/logo.webp)](/)

[Subscribe](/subscribe)

* News
* Media
* [Puzzler](/case-studies)
* Publications
* [CME/CE](/continuing-medical-education)
* Resources
* Conferences
* [Partnerships](/sap-partner)
* [Subscribe](/subscribe)
* Editorial

* [Allergy, Immunology, and ENT](/clinical/allergy-immunology-and-ent)
  + [Food Allergies](/clinical/food-allergies)
  + [Animal Allergies](/clinical/animal-allergies)
* [Cardiology](/clinical/cardiology)
  + [Cardiovascular Diseases](/clinical/cardiovascular-disease)
* [Dermatology](/clinical/dermatology)
  + [Hidradenitis Suppurativa](/clinica",Centers for Disease Control and Prevention,,CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics,True,high,primary_or_authoritative,"[""page_title""]","[""CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics""]",page_metadata_or_text,official_public_health_agency,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_8d7dfb3aeace,direct_target_official_fast_path_skips_source_identity,assessed,domain:contemporarypediatrics_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.contemporarypediatrics.com/view/cdc-2025-seasonal-norovirus-outbreaks-up-previous-years,False,False,True,False,possibly_relevant,not_assessed,CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T19:22:30+00:00,official_authority,https://mdedge.com/familymedicine/article/272166/emerging-infections/highly-contagious-norovirus-cases-spike-season,primary_case_claim_support,,,live_search_result,not_assessed,mdedge.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[![Home](//img.wbmdstatic.com/mdedge_v1_static_vue/mdedgevue/client/img/mdedge-logo-B8JzRn0U.png)](https://www.mdedge.com/familymedicine ""Home"")

Family Medicine

[All Specialties](#)

[![Home](//img.wbmdstatic.com/mdedge_v1_static_vue/mdedgevue/client/img/mdedge-logo-B8JzRn0U.png)](https://www.mdedge.com ""Home"")

/

[Family Medicine](https://www.mdedge.com/familymedicine ""Home"")

ADVERTISEMENT

# Highly Contagious Norovirus Cases Spike This Season

January 14, 2025 | Family Medicine

![print icon](//img.wbmdstatic.com/mdedge_v1_static_vue/mdedgevue/client/img/share-print-eIb59UOS.svg)![facebo",,,Highly Contagious Norovirus Cases Spike This Season - MDEdge,True,low,primary_or_authoritative,[],[],,official_public_health_agency,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_5b6be7bf0ee0,direct_target_official_fast_path_skips_source_identity,assessed,domain:mdedge_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://mdedge.com/familymedicine/article/272166/emerging-infections/highly-contagious-norovirus-cases-spike-season,False,False,True,False,possibly_relevant,not_assessed,Highly Contagious Norovirus Cases Spike This Season - MDEdge,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T19:22:30+00:00,official_authority,https://www.cdc.gov/norovirus/php/reporting/norostat-data.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""NoroSTAT Data | Norovirus | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)

**Related Topics:**

![Centers for Disease Control and",Centers for Disease Control and Prevention,,NoroSTAT Data | Norovirus | CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""NoroSTAT Data | Norovirus | CDC""]",page_metadata_or_text,national_public_health_agency,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_b9228859aa70,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/norovirus/php/reporting/norostat-data.html,False,False,True,False,possibly_relevant,not_assessed,NoroSTAT Data | Norovirus | CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T19:22:30+00:00,official_authority,https://www.today.com/health/disease/norovirus-2025-rcna185976,primary_case_claim_support,,,live_search_result,not_assessed,today.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[The Best of Target Circle Deal Days: Bedding, Fashion and More Up to 40% Off](https://www.today.com/shop/target-circle-deal-days-sale-2026-rcna349606)

### Sections

![Health & Wellness](https://media-cldnry.s-nbcnews.com/image/upload/t_focal-120x180,f_auto,q_auto:best/newscms/2021_41/1787140/web-discovery-health-mc-211012.jpg)
![Parenting](https://media-cldnry.s-nbcnews.com/image/upload/t_focal-120x180,f_auto,q_auto:best/newscms/2021_41/1787172/web-discovery-parents-mc-211012.jpg)
![Food](https://media-cldnry.s-nbcnews.com/image/upload/t_focal-120x180,f_auto,q_auto:best/newscms/2021_41/17871",,,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,True,low,primary_or_authoritative,[],[],,official_public_health_agency,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_e6c676751454,direct_target_official_fast_path_skips_source_identity,assessed,domain:today_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.today.com/health/disease/norovirus-2025-rcna185976,False,False,True,False,possibly_relevant,not_assessed,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T19:22:30+00:00,official_authority,https://restoredcdc.org/www.cdc.gov/norovirus/php/reporting/norostat-data.html,primary_case_claim_support,,,live_search_result,not_assessed,restoredcdc.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""NoroSTAT Data | Norovirus - Restored CDC""]",,Centers for Disease Control and Prevention,,NoroSTAT Data | Norovirus - Restored CDC,True,high,primary_or_authoritative,"[""page_title""]","[""NoroSTAT Data | Norovirus - Restored CDC""]",page_metadata_or_text,official_public_health_agency,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_0e2fe8a988c2,direct_target_official_fast_path_skips_source_identity,assessed,domain:restoredcdc_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://restoredcdc.org/www.cdc.gov/norovirus/php/reporting/norostat-data.html,False,False,True,False,possibly_relevant,not_assessed,NoroSTAT Data | Norovirus - Restored CDC,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
National Center for Biotechnology Information,high,national_center_for_biotechnology_information,,2026-06-25T19:22:30+00:00,structured_database,https://pmc.ncbi.nlm.nih.gov/articles/PMC12205451,primary_case_claim_support,,,live_search_result,not_assessed,pmc.ncbi.nlm.nih.gov,[],not_assessed,medium,government_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to main content](https://pmc.ncbi.nlm.nih.gov/articles/PMC12205451#main-content)

![Image 1](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/us_flag.svg)

An official website of the United States government

Here's how you know

Here's how you know

![Image 2](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/icon-dot-gov.svg)

**Official websites use .gov**

 A **.gov** website belongs to an official government organization in the United States.

![Image 3](https://cdn.ncbi.nlm.nih.go",,,"Increasing Predominance of Norovirus GII.17 over GII.4, United States, 2022–2025",True,low,primary_or_authoritative,"[""domain""]",[],domain,structured_database,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_db2c83f622cd,direct_target_official_fast_path_skips_source_identity,assessed,publisher:national_center_for_biotechnology_information,National Center for Biotechnology Information,high,medium,"[""domain""]",structured_database,,[],https://pmc.ncbi.nlm.nih.gov/articles/PMC12205451,False,False,True,False,possibly_relevant,not_assessed,"Increasing Predominance of Norovirus GII.17 over GII.4, United States, 2022–2025",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T19:22:30+00:00,academic_source,https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,insufficient_information,,,live_search_result,not_assessed,cidrap.umn.edu,[],not_assessed,medium,unknown,False,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""US norovirus outbreaks are up, CDC data show - CIDRAP""]","# US norovirus outbreaks are up, CDC data show

News brief

[Chris Dall, MA](/chris-dall-ma)

Topics

[Norovirus](/norovirus)

[Copied to clipboard](# ""Copy link"")

Surveillance data from the Centers for Disease Control and Prevention (CDC) indicate a spike in norovirus outbreaks in the United States.

[Data](https://www.cdc.gov/norovirus/php/reporting/norostat-data-table.html) from the CDC's NoroSTAT network, which provides real-time reporting of norovirus outbreak activity in 14 states, show that 91 outbreaks were reported for the week ending December 5, which is the last week data were repo",Centers for Disease Control and Prevention,,"US norovirus outbreaks are up, CDC data show - CIDRAP",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""US norovirus outbreaks are up, CDC data show - CIDRAP""]",page_metadata_or_text,academic_or_peer_reviewed_source,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,needs_human_review,fetch_only_after_review,needs_human_review,tavily,Tavily,7,Tavily,,src_search_c8f6e152147e,direct_target_official_fast_path_skips_source_identity,assessed,publisher:cidrap,CIDRAP,high,high,"[""domain""]",academic_or_peer_reviewed_source,,[],https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,False,False,False,False,possibly_relevant,not_assessed,"US norovirus outbreaks are up, CDC data show - CIDRAP",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T19:22:30+00:00,official_authority,https://www.cdc.gov/norovirus/php/reporting/norostat-data-table.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""NoroSTAT Data Table | Norovirus | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)

**Related Topics:**

![Centers for Disease Control and",Centers for Disease Control and Prevention,,NoroSTAT Data Table | Norovirus | CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""NoroSTAT Data Table | Norovirus | CDC""]",page_metadata_or_text,national_public_health_agency,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_c8beec2f9d8e,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/norovirus/php/reporting/norostat-data-table.html,False,False,True,False,possibly_relevant,not_assessed,NoroSTAT Data Table | Norovirus | CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T19:22:30+00:00,unknown,https://www.infectiousdiseaseadvisor.com/news/sharp-rise-in-us-norovirus-cases-in-december-2024,insufficient_information,,,live_search_result,not_assessed,infectiousdiseaseadvisor.com,[],not_assessed,medium,unknown,False,False,,,False,source_identity_publisher_credibility_v1,,report,[],"![infectiousdiseaseadvisor logo](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/logos/infectiousdiseaseadvisor.svg)
![HMN logo](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/HMN-logo-1line.svg)
![facebook share](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/facebook-social-share.svg)
![twitter share](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/twitter-social-share-x.svg)
![linkedin share](https://www.infectiousdiseaseadvisor.com/wp",,,Sharp Rise in US Norovirus Cases in December 2024,True,low,unknown,[],[],,,CDC NORS norovirus outbreak reports United States December 2024 January February 2025 cases hospitalizations deaths,needs_human_review,fetch_only_after_review,needs_human_review,tavily,Tavily,2,Tavily,,src_search_111e84f03641,direct_target_official_fast_path_skips_source_identity,assessed,domain:infectiousdiseaseadvisor_com,,low,low,[],unknown,,[],https://www.infectiousdiseaseadvisor.com/news/sharp-rise-in-us-norovirus-cases-in-december-2024,False,False,False,False,possibly_relevant,not_assessed,Sharp Rise in US Norovirus Cases in December 2024,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
National Center for Biotechnology Information,high,national_center_for_biotechnology_information,,2026-06-25T19:22:30+00:00,structured_database,https://pmc.ncbi.nlm.nih.gov/articles/PMC3739528,primary_case_claim_support,,,live_search_result,not_assessed,pmc.ncbi.nlm.nih.gov,[],not_assessed,medium,government_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"![](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/us_flag.svg)

An official website of the United States government

Here's how you know

![](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/icon-dot-gov.svg)

**Official websites use .gov**   
 A **.gov** website belongs to an official government organization in the United States.

![](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/icon-https.svg)

**Secure .gov websites use HTTPS**   ",,,Norovirus Disease in the United States - PMC - NIH,True,low,primary_or_authoritative,"[""domain""]",[],domain,structured_database,CDC NORS norovirus outbreak reports United States December 2024 January February 2025 cases hospitalizations deaths,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_55c0da96c417,direct_target_official_fast_path_skips_source_identity,assessed,publisher:national_center_for_biotechnology_information,National Center for Biotechnology Information,high,medium,"[""domain""]",structured_database,,[],https://pmc.ncbi.nlm.nih.gov/articles/PMC3739528,False,False,True,False,possibly_relevant,not_assessed,Norovirus Disease in the United States - PMC - NIH,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
