actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:31:36+00:00,official_authority,https://www.cdc.gov/mmwr/volumes/75/wr/mm7523a2.htm,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]","![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)
![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)

**Official websites use .gov**

A .gov website belongs to an official government organization in the United States.

![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg)

**Secure .gov websites use HTTPS**

A lock (  ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg)
![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-no",Centers for Disease Control and Prevention,,Notes from the Field: Initial Public Health Response to a Measles Outbreak in a Close-Knit West Texas Community — January−February 2025  | MMWR,True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]",page_metadata_or_text,national_public_health_agency,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_fede8be6ac1e,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/mmwr/volumes/75/wr/mm7523a2.htm,False,False,True,False,possibly_relevant,not_assessed,Notes from the Field: Initial Public Health Response to a Measles Outbreak in a Close-Knit West Texas Community — January−February 2025  | MMWR,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:31:36+00:00,official_authority,https://www.dshs.texas.gov/news-alerts/confirmed-case-measles-january-2025,primary_case_claim_support,,,live_search_result,not_assessed,dshs.texas.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"The Department of State Health Services is currently undergoing Sunset review. [Learn more about the Sunset process and provide feedback.](https://www.dshs.texas.gov/about-dshs/legislative-information/sunset-review)

[![Texas DSHS logo](/sites/default/files/logo.svg)](/ ""Home page link"")

[main content](#)

![News Release Hero Banner ](/sites/default/files/styles/news_release_hero/public/default_images/news-default-banner.png?itok=X_JyxZX4)

# Confirmed Case of Measles - January 2025

![Health alert png](/sites/default/files/2022-07/alert.png)

Health Alert

January 23, 2025

## Summary

The T",,,Confirmed Case of Measles - January 2025 | Texas DSHS,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_470222e3d9fc,direct_target_official_fast_path_skips_source_identity,assessed,domain:dshs_texas_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.dshs.texas.gov/news-alerts/confirmed-case-measles-january-2025,False,False,True,False,possibly_relevant,not_assessed,Confirmed Case of Measles - January 2025 | Texas DSHS,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:31:36+00:00,official_authority,https://www.cdc.gov/mmwr/volumes/75/wr/mm7520a1.htm,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]","![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)
![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)

**Official websites use .gov**

A .gov website belongs to an official government organization in the United States.

![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg)

**Secure .gov websites use HTTPS**

A lock (  ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg)
![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-no",Centers for Disease Control and Prevention,,"Characteristics of Patients Hospitalized with Measles During an Outbreak — West Texas, January–March 2025  | MMWR",True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]",page_metadata_or_text,national_public_health_agency,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_4e73f2d0f38f,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/mmwr/volumes/75/wr/mm7520a1.htm,False,False,True,False,possibly_relevant,not_assessed,"Characteristics of Patients Hospitalized with Measles During an Outbreak — West Texas, January–March 2025  | MMWR",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:31:36+00:00,official_authority,https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025,primary_case_claim_support,,,live_search_result,not_assessed,dshs.texas.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"The Department of State Health Services is currently undergoing Sunset review. [Learn more about the Sunset process and provide feedback.](https://www.dshs.texas.gov/about-dshs/legislative-information/sunset-review)

[![Texas DSHS logo](/sites/default/files/logo.svg)](/ ""Home page link"")

[main content](#)

![News Release Hero Banner ](/sites/default/files/styles/news_release_hero/public/default_images/news-default-banner.png?itok=X_JyxZX4)

# Measles Outbreak – August 12, 2025

![News png](/sites/default/files/2022-07/Combined%20Shape.png)

News Updates

August 12, 2025

***The information on",,,"Measles Outbreak – August 12, 2025 | Texas DSHS",True,low,primary_or_authoritative,[],[],,official_public_health_agency,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_3e232b5b243d,direct_target_official_fast_path_skips_source_identity,assessed,domain:dshs_texas_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025,False,False,True,False,possibly_relevant,not_assessed,"Measles Outbreak – August 12, 2025 | Texas DSHS",Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:31:36+00:00,official_authority,https://www.texaschildrens.org/measles,primary_case_claim_support,,,live_search_result,not_assessed,texaschildrens.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to content](#block-tch-content)

[![Texas Children's](/sites/tc/files/TC-CMYK-052126.png)](/)

![](/sites/tc/files/styles/webp/public/2025-03/TCH-Measles-1-circle.png.webp?itok=aXB29Xbx )

**Texas Children’s is committed to public health and the ongoing efforts to combat measles.**   
  
[Texas Children’s Pediatrics Westwood Clinic](https://www.texaschildrens.org/locations/texas-childrens-pediatrics/westwood) will be open Saturday, March 8 and Saturday, March 15 from 8 am to 12pm offering free MMR vaccines to those in need.   
  
If you are not a current Texas Children’s patient, please ",,,Measles | Texas Children's,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_8bf36d4bffb4,direct_target_official_fast_path_skips_source_identity,assessed,domain:texaschildrens_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.texaschildrens.org/measles,False,False,True,False,possibly_relevant,not_assessed,Measles | Texas Children's,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
National Center for Biotechnology Information,high,national_center_for_biotechnology_information,,2026-06-25T14:31:36+00:00,structured_database,https://pmc.ncbi.nlm.nih.gov/articles/PMC12577891,primary_case_claim_support,,,live_search_result,not_assessed,pmc.ncbi.nlm.nih.gov,[],not_assessed,medium,government_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to main content](https://pmc.ncbi.nlm.nih.gov/articles/PMC12577891#main-content)

![Image 1](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/us_flag.svg)

An official website of the United States government

Here's how you know

Here's how you know

![Image 2](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/icon-dot-gov.svg)

**Official websites use .gov**

 A **.gov** website belongs to an official government organization in the United States.

![Image 3](https://cdn.ncbi.nlm.nih.go",,,Measles resurgence in Texas: a public health wake-up call - PMC,True,low,primary_or_authoritative,"[""domain""]",[],domain,structured_database,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_b69d58b16fda,direct_target_official_fast_path_skips_source_identity,assessed,publisher:national_center_for_biotechnology_information,National Center for Biotechnology Information,high,medium,"[""domain""]",structured_database,,[],https://pmc.ncbi.nlm.nih.gov/articles/PMC12577891,False,False,True,False,possibly_relevant,not_assessed,Measles resurgence in Texas: a public health wake-up call - PMC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:31:36+00:00,official_authority,https://tephi.texas.gov/training/selected-outbreaks/measles,primary_case_claim_support,,,live_search_result,not_assessed,tephi.texas.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip Navigation and Go To Content](#page-content)

[![site logo](/global/img/logo.png)](/ ""Home"")

![Measles](/inc/img/measles-banner.webp?language_id=1)

# Measles

* [Home](/)
* > [training](/training)
* > [Selected Current Outbreaks](/training/selected-outbreaks)

## Outbreak Overview

In January 2025, the Texas Department of State Health Services (DSHS) identified the first measles cases in a West Texas outbreak. On August 18, DSHS declared the outbreak in Texas over after 42 days without new cases; Texas’ final totals are 762 cases, 99 hospitalizations, and two deaths in school-aged chil",,,Measles - Texas Epidemic Public Health Institute,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_d93e2ef153b0,direct_target_official_fast_path_skips_source_identity,assessed,domain:tephi_texas_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://tephi.texas.gov/training/selected-outbreaks/measles,False,False,True,False,possibly_relevant,not_assessed,Measles - Texas Epidemic Public Health Institute,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,News or aggregator source may summarize upstream official reporting,2026-06-25T14:31:36+00:00,secondary_aggregator,https://en.wikipedia.org/wiki/2025_Southwest_United_States_measles_outbreak,corroboration_support,,,live_search_result,not_assessed,en.wikipedia.org,[],not_assessed,medium,non_authority,True,True,,,False,source_identity_publisher_credibility_v1,,secondary_report,[],"![](/static/images/icons/enwiki-25.svg)
![Wikipedia](/static/images/mobile/copyright/wikipedia-wordmark-en-25.svg)
![The Free Encyclopedia](/static/images/mobile/copyright/wikipedia-tagline-en-25.svg)

## Contents

# 2025 Southwest United States measles outbreak

| 2025–26 United States measles outbreak | |
| --- | --- |
| Disease | [Measles](/wiki/Measles ""Measles"") |
| Pathogen | *[Measles morbillivirus](/wiki/Measles_morbillivirus ""Measles morbillivirus"")* |
| Location | [United States](/wiki/United_States ""United States"") ([Texas](/wiki/Texas ""Texas""), [New Mexico](/wiki/New_Mexico ""New Me",,,2025 Southwest United States measles outbreak - Wikipedia,True,low,secondary,[],[],,secondary_aggregator,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_public_health_observations,fetch_for_extraction,collection_support,tavily,Tavily,8,Tavily,,src_search_14e93bfe3eec,direct_target_official_fast_path_skips_source_identity,assessed,domain:en_wikipedia_org,,low,high,"[""domain""]",secondary_aggregator,,[],https://en.wikipedia.org/wiki/2025_Southwest_United_States_measles_outbreak,False,False,False,False,possibly_relevant,not_assessed,2025 Southwest United States measles outbreak - Wikipedia,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:31:36+00:00,official_authority,https://phgkb.cdc.gov/PHGKB/cdcSCFinder.action?Mysubmit=init&action=search&query=Raines++N,primary_case_claim_support,,,live_search_result,not_assessed,phgkb.cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""CDC Science Clips""]","[Skip directly to search](#searchTarget) [Skip directly to A to Z list](#azTab) [Skip directly to navigation](#nav-container) [Skip directly to page options](#share-bar) [Skip directly to site content](#contentArea)

[![CDC.gov](/TemplatePackage/3.0/images/cdcHeaderLogo.gif)![CDC.gov](/TemplatePackage/3.0/images/m-cdc-logo.png)](http://www.cdc.gov)

[Start of Search Controls](#)

[CDC A-Z Index](#)

* [MENU](#)
* [CDC A-Z](#)
* [SEARCH](#)

* [A](http://www.cdc.gov/az/a.html)
* [B](http://www.cdc.gov/az/b.html)
* [C](http://www.cdc.gov/az/c.html)
* [D](http://www.cdc.gov/az/d.html)
* [E](http:",Centers for Disease Control and Prevention,,CDC Science Clips,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""CDC Science Clips""]",page_metadata_or_text,national_public_health_agency,CDC measles outbreak Texas 2025 cases deaths confirmed site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_43fd7f744d6a,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://phgkb.cdc.gov/PHGKB/cdcSCFinder.action?Mysubmit=init&action=search&query=Raines++N,False,False,True,False,possibly_relevant,not_assessed,CDC Science Clips,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:31:36+00:00,official_authority,https://www.cdc.gov/han/php/notices/han00522.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,official_alert,"[""Expanding Measles Outbreak in the United States and Guidance for the Upcoming Travel Season | HAN | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,Expanding Measles Outbreak in the United States and Guidance for the Upcoming Travel Season | HAN | CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Expanding Measles Outbreak in the United States and Guidance for the Upcoming Travel Season | HAN | CDC""]",page_metadata_or_text,national_public_health_agency,CDC measles outbreak Texas 2025 cases deaths confirmed site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_fec37a5bcdfb,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/han/php/notices/han00522.html,False,False,True,False,possibly_relevant,not_assessed,Expanding Measles Outbreak in the United States and Guidance for the Upcoming Travel Season | HAN | CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
