anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record date 2024-09-28 is outside requested task window 2024-09-29 to 2024-10-05"", ""record date 2024-09-28 is outside requested task window 2024-09-29 to 2024-10-05"", ""record period 2024-09-22 to 2024-09-28 does not overlap requested task window 2024-09-29 to 2024-10-05""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_ff1cee7a6f74_002,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_003,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_004,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record date 2024-09-28 is outside requested task window 2024-09-29 to 2024-10-05"", ""record date 2024-09-28 is outside requested task window 2024-09-29 to 2024-10-05"", ""record period 2024-09-22 to 2024-09-28 does not overlap requested task window 2024-09-29 to 2024-10-05""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_ff1cee7a6f74_005,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record date 2024-09-28 is outside requested task window 2024-09-29 to 2024-10-05"", ""record date 2024-09-28 is outside requested task window 2024-09-29 to 2024-10-05"", ""record period 2024-09-22 to 2024-09-28 does not overlap requested task window 2024-09-29 to 2024-10-05""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_ff1cee7a6f74_006,
,,final_dataset,False,True,accepted_with_warnings,,death_record,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_007,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_008,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,death_record,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_ff1cee7a6f74_009,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_010,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,official or high-trust task-compatible metric has unresolved column semantics; route to human review instead of strict final inclusion,surveillance_summary,,False,"[""official or high-trust task-compatible metric has unresolved column semantics; route to human review instead of strict final inclusion""]",official or high-trust task-compatible metric has unresolved column semantics; route to human review instead of strict final inclusion,,rec_src_search_ff1cee7a6f74_011,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_ff1cee7a6f74_012,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,official or high-trust task-compatible metric has unresolved column semantics; route to human review instead of strict final inclusion,surveillance_summary,,False,"[""official or high-trust task-compatible metric has unresolved column semantics; route to human review instead of strict final inclusion""]",official or high-trust task-compatible metric has unresolved column semantics; route to human review instead of strict final inclusion,,rec_src_search_ff1cee7a6f74_013,
