actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2025-08-01-2025-08-31,Legionnaires' disease,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,New York City,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers He...,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_9d8411eba09d_003_hospitalizations; claim_rec_src_search_9d8411eba09d_005_hospitalizations; claim_rec_src_search_b74bccc017c5_004_hospitalizations; claim_rec_src_search_c72bcb75c75a_001_cases_unspecified; claim_rec_src_search_c72bcb75c75a_001_deaths; claim_rec_src_search_c72bcb75c75a_002_deaths; claim_rec_src_search_fd4c39b5e976_001_cases_confirmed; claim_rec_src_search_fd4c39b5e976_002_deaths; claim_rec_src_search_9d8411eba09d_001_cases_unspecified; claim_rec_src_search_9d8411eba09d_001_deaths; claim_rec_src_search_9d8411eba09d_002_deaths; claim_rec_src_search_9d8411eba09d_003_cases_confirmed; claim_rec_src_search_9d8411eba09d_003_deaths; claim_rec_src_search_9d8411eba09d_004_deaths; claim_rec_src_search_f72980cd3634_001_cases_unspecified; claim_rec_src_search_f72980cd3634_001_deaths; claim_rec_src_search_f72980cd3634_002_deaths; claim_rec_src_search_b74bccc017c5_004_cases_confirmed; claim_rec_src_search_b74bccc017c5_004_deaths; src_search_9d8411eba09d; src_search_f72980cd3634; src_search_b74bccc017c5; src_search_c72bcb75c75a; src_search_fd4c39b5e976; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,needs_more_evidence; defer_decision,2025-08-01-2025-08-31,Legionnaires' disease,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,New York City,P0_critical,2,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"conflicting claims review - review_claim_corroboration_conflict_corr_event_002 - Three Deaths, 67 People in NYC Diagnosed With Legionnair...","Three Deaths, 67 People in NYC Diagnosed With Legionnaires' Disease - Infectious Disease Advisor",https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_5b7e6dfb326c_001_observation; claim_rec_src_search_5b7e6dfb326c_002_observation; claim_rec_src_search_a9306f6e1687_001_observation; claim_rec_src_search_ee3c4e1dc1cd_001_cases_unspecified; claim_rec_src_search_ee3c4e1dc1cd_002_deaths; claim_rec_src_search_743df961a25b_001_cases_unspecified; claim_rec_src_search_743df961a25b_001_deaths; claim_rec_src_search_743df961a25b_002_deaths; claim_rec_src_search_b74bccc017c5_001_cases_confirmed; claim_rec_src_search_b74bccc017c5_002_deaths; claim_rec_src_search_b74bccc017c5_003_hospitalizations; claim_rec_src_search_f0add2a7316b_001_cases_confirmed; claim_rec_src_search_5b7e6dfb326c_003_cases_unspecified; claim_rec_src_search_f0add2a7316b_002_deaths; claim_rec_src_search_5b7e6dfb326c_003_deaths; claim_rec_src_search_5b7e6dfb326c_003_hospitalizations; src_search_ee3c4e1dc1cd; src_search_5b7e6dfb326c; src_search_743df961a25b; src_search_b74bccc017c5; src_search_f0add2a7316b; src_search_a9306f6e1687; corr_event_002,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,needs_more_evidence; defer_decision,2025-08-01-2025-08-31,Legionnaires' disease,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,New York City,P0_critical,3,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_004 - Legionnaires’ outbreak kills five and infects over 100 i...,Legionnaires’ outbreak kills five and infects over 100 in New York,https://www.bmj.com/content/390/bmj.r1785,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_72af26a33522_001_deaths; claim_rec_src_search_72af26a33522_002_deaths; claim_rec_src_search_72af26a33522_001_cases_unspecified; claim_rec_src_search_72af26a33522_003_hospitalizations; claim_rec_src_search_b8ca758c1979_001_cases_confirmed; claim_rec_src_search_b8ca758c1979_001_hospitalizations; src_search_72af26a33522; src_search_b8ca758c1979; corr_event_004,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-26,Legionnaires' disease,"### On August 26, the DOH reported more than 113 confirmed cases of the disease, with six deaths and seven people currently hospitalized",possible_primary_case_evidence,duplicate_event_clustering,New York City,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_001 - 2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Publ...,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_b74bccc017c5_001; rec_src_search_b74bccc017c5_002; event_001,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-26,Legionnaires' disease,"### On August 26, the DOH reported more than 113 confirmed cases of the disease, with six deaths and seven people currently hospitalized",possible_primary_case_evidence,duplicate_event_clustering,New York City,P0_critical,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_002 - 2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Publ...,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_b74bccc017c5_003; event_002,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-20,Legionnaires' disease,3. Legionnaires’ outbreak kills five and infects over 100 in New York,possible_primary_case_evidence,duplicate_event_clustering,New York,P0_critical,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_016 - Legionnaires’ outbreak kills five and infects over 100 in New York,Legionnaires’ outbreak kills five and infects over 100 in New York,https://www.bmj.com/content/390/bmj.r1785,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_72af26a33522_001; rec_src_search_72af26a33522_002; event_016,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-20,Legionnaires' disease,The health department told _The BMJ_ that as of 20 August 14 people remained in hospital but that no new cases or deaths had been reported. The department has sampled and …,possible_primary_case_evidence,duplicate_event_clustering,New York,P0_critical,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_017 - Legionnaires’ outbreak kills five and infects over 100 in New York,Legionnaires’ outbreak kills five and infects over 100 in New York,https://www.bmj.com/content/390/bmj.r1785,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_72af26a33522_003; event_017,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-08-01-2025-08-31,Legionnaires' disease,"![NYC](/assets/home/images/global/nyc_white.png) ![](/assets/home/images/global/upper-header-divider.gif) ![](/assets/home/images/global/upper-header-divider.gif) ![NYC Health](/assets/doh/images/content/header/logo.png) ![Language](/assets/home/images/global/language.gif) ## Promoting and Protecting the City's Health ![Print icon](/assets/home/images/global/print.png) # New York City Health Department Provides Update on Legionnaires' Disease Community Cluster in Central Harlem *Twenty-two New Yorkers with Legionnaires’ Disease have been identified as part of the cluster, one death has occurred* People who have been in the affected area since late July with flu-like symptoms, fever, cough, or difficulty breathing should seek immediate medical attention **July 30, 2025 —**The New York Ci...",validation_conflict_review,anomaly,New York City,P0_critical,8,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_014 - NYC Health Department Provides Update on Legionnaires' Disease Community Cluster i...,NYC Health Department Provides Update on Legionnaires' Disease Community Cluster in Central Harlem - NYC Health,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-update-on-legionnaires-cluster.page,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_fd4c39b5e976; event_011; anom_014; val_result_044,anomaly,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-25,Legionnaires' disease,"[Skip to Main Content](#mainContent) * [Home](https://www.powershealth.org/) * [About Us](https://www.powershealth.org/about-us) * [Newsroom](https://www.powershealth.org/about-us/newsroom) * [Health Library](https://www.powershealth.org/about-us/newsroom/health-library) * News Article [Doctors](https://www.powershealth.org/find-a-doctor) [Locations](https://www.powershealth.org/locations) Share # NYC Legionnaires' Outbreak: 6 Deaths, 112 Cases News Article 8/25/2025 ![](/-/media/images/import/health day/image_olb9cd4q.ashx?h=801&w=1200&la=en&hash=F312C283006554B0695AA731A91301EE) Adobe Stock MONDAY, Aug. 25, 2025 (HealthDay News) — New York City health officials confirmed a sixth death linked to a Legionnaires’ disease outbreak in Harlem where 112 people have now been diagnosed. The la...",validation_conflict_review,duplicate_event_clustering,"New York City, New York",P0_critical,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_003 - NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_9d8411eba09d_003; rec_src_search_9d8411eba09d_004; rec_src_search_9d8411eba09d_005; event_003,record,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-07-25,Legionnaires' disease,"![NYC](/assets/home/images/global/nyc_white.png) ![](/assets/home/images/global/upper-header-divider.gif) ![](/assets/home/images/global/upper-header-divider.gif) ![NYC Health](/assets/doh/images/content/header/logo.png) ![Language](/assets/home/images/global/language.gif) ## Promoting and Protecting the City's Health ![Print icon](/assets/home/images/global/print.png) # New York City Health Department Investigating a Community Cluster of Legionnaires' Disease in Central Harlem Neighborhood *Legionnaires’ disease is not contagious and is treatable when caught early* Adults who have been in the affected area since late July with flu-like symptoms, fever, cough, or difficulty breathing should seek immediate medical attention **July 25, 2025 —** Today, the New York City Health Department (...",validation_conflict_review,duplicate_event_clustering,"New York City, New York",P0_critical,10,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_004 - NYC Health Department Investigating a Community Cluster of Legionnaires' Diseas...,NYC Health Department Investigating a Community Cluster of Legionnaires' Disease in Central Harlem - NYC Health,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-investigating-legionnaires-disease-in-harlem.page,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_c72bcb75c75a_001; rec_src_search_c72bcb75c75a_002; event_004,record,This review item requires human inspection before it should affect downstream interpretation.
