apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_006,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_006,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_006 - Notes from the Field: Initial Public Health Response to...,https://www.cdc.gov/mmwr/volumes/75/wr/mm7523a2.htm,claim_rec_src_search_fede8be6ac1e_003_deaths; claim_rec_src_search_831265159816_001_cases_unspecified; claim_rec_src_search_831265159816_001_deaths; claim_rec_src_search_831265159816_001_hospitalizations; claim_rec_src_search_831265159816_002_deaths; claim_rec_src_search_831265159816_003_hospitalizations; claim_rec_src_search_831265159816_004_cases_unspecified; claim_rec_src_search_831265159816_006_observation; claim_rec_src_search_831265159816_010_observation; claim_rec_src_search_831265159816_011_observation; claim_rec_src_search_831265159816_012_cases_confirmed; claim_rec_src_search_831265159816_012_deaths; claim_rec_src_search_831265159816_012_hospitalizations; claim_rec_src_search_831265159816_013_hospitalizations; claim_rec_src_search_831265159816_014_deaths; claim_rec_src_search_831265159816_015_cases_confirmed; claim_rec_src_search_831265159816_020_observation; claim_rec_src_search_831265159816_022_deaths; claim_rec_src_search_831265159816_028_observation; claim_rec_src_search_831265159816_040_deaths; claim_rec_src_search_831265159816_044_observation; claim_rec_src_search_831265159816_063_cases_unspecified; claim_rec_src_search_fede8be6ac1e_001_cases_confirmed; claim_rec_src_search_fede8be6ac1e_002_hospitalizations; claim_rec_src_search_831265159816_007_cases_confirmed; claim_rec_src_search_831265159816_016_cases_confirmed; claim_rec_src_search_831265159816_019_cases_unspecified; claim_rec_src_search_831265159816_024_cases_unspecified; claim_rec_src_search_831265159816_025_cases_unspecified; claim_rec_src_search_831265159816_026_cases_unspecified; claim_rec_src_search_831265159816_027_cases_unspecified; claim_rec_src_search_831265159816_029_cases_unspecified; claim_rec_src_search_831265159816_031_cases_unspecified; claim_rec_src_search_831265159816_033_cases_unspecified; claim_rec_src_search_831265159816_035_cases_confirmed; claim_rec_src_search_831265159816_037_cases_unspecified; claim_rec_src_search_831265159816_038_cases_unspecified; claim_rec_src_search_831265159816_043_cases_unspecified; claim_rec_src_search_831265159816_049_cases_confirmed; claim_rec_src_search_831265159816_050_cases_unspecified; claim_rec_src_search_831265159816_051_cases_unspecified; claim_rec_src_search_831265159816_052_cases_unspecified; claim_rec_src_search_831265159816_053_cases_unspecified; claim_rec_src_search_831265159816_055_cases_unspecified; claim_rec_src_search_831265159816_056_cases_confirmed; claim_rec_src_search_831265159816_057_cases_unspecified; claim_rec_src_search_831265159816_059_cases_unspecified; claim_rec_src_search_831265159816_060_cases_unspecified; claim_rec_src_search_831265159816_061_cases_unspecified; claim_rec_src_search_831265159816_062_cases_unspecified; claim_rec_src_search_831265159816_005_hospitalizations; claim_rec_src_search_831265159816_008_hospitalizations; claim_rec_src_search_831265159816_017_hospitalizations; claim_rec_src_search_831265159816_018_hospitalizations; claim_rec_src_search_831265159816_021_hospitalizations; claim_rec_src_search_831265159816_023_hospitalizations; claim_rec_src_search_831265159816_029_hospitalizations; claim_rec_src_search_831265159816_030_hospitalizations; claim_rec_src_search_831265159816_032_hospitalizations; claim_rec_src_search_831265159816_036_hospitalizations; claim_rec_src_search_831265159816_039_hospitalizations; claim_rec_src_search_831265159816_053_hospitalizations; claim_rec_src_search_831265159816_054_hospitalizations; claim_rec_src_search_831265159816_059_hospitalizations; src_search_fede8be6ac1e; src_search_831265159816; corr_event_006,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_007,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_007,REPLACE_WITH_REVIEWER_ID,"conflicting claims review - review_claim_corroboration_conflict_corr_event_007 - Measles Update — United States, January 1–April 17, 2025...",https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,claim_rec_src_search_3109afb35d90_001_cases_confirmed; claim_rec_src_search_3109afb35d90_002_cases_unspecified; claim_rec_src_search_3109afb35d90_003_cases_unspecified; claim_rec_src_search_3109afb35d90_004_cases_unspecified; claim_rec_src_search_831265159816_034_cases_unspecified; claim_rec_src_search_831265159816_048_cases_unspecified; src_search_3109afb35d90; src_search_831265159816; corr_event_007,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_002,accept_as_is,"By comparison, there were 285 measles cases in the United States in all of 2024.",possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_002,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_002 - Texas Measles Outbreak: 2025 | RT,https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025,rec_src_search_831265159816_034; event_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_003,accept_as_is,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_003,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_003 - Situation Report #1: Measles in the Americas Region - PAHO/WHO,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,rec_src_search_6e578fc529e9_001; rec_src_search_6e578fc529e9_002; event_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_004,accept_as_is,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_004,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_004 - Situation Report #2: Measles in the Americas Region - PAHO/WHO,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,rec_src_search_8242cbb785a1_001; rec_src_search_8242cbb785a1_002; event_004,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_005,accept_as_is,2025 Confirmed Measles Deaths:** 2,possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_005,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_005 - 2025-2026 US Measles Map,https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a,rec_src_search_78fdd46eb63c_001; rec_src_search_78fdd46eb63c_002; rec_src_search_78fdd46eb63c_004; rec_src_search_831265159816_048; event_005,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_006,accept_as_is,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_006,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_006 - Situation Report #1: Measles in the Americas Region - PAHO/WHO,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,rec_src_search_6e578fc529e9_003; event_006,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_007,accept_as_is,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_007,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_007 - Situation Report #2: Measles in the Americas Region - PAHO/WHO,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,rec_src_search_8242cbb785a1_003; event_007,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_008,accept_as_is,| ****Total measles cases**** | ****800 (100)**** | ****48 (6)**** | ****752 (94)**** |,possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_008,REPLACE_WITH_REVIEWER_ID,"possible primary case evidence - review_duplicate_event_008 - Measles Update — United States, January 1–April 17, 2025 | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,rec_src_search_3109afb35d90_002; rec_src_search_3109afb35d90_003; rec_src_search_3109afb35d90_004; event_008,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_013,accept_as_is,"Meanwhile, New Mexico’s measles outbreak has grown to 35 cases, and Oklahoma remains at two cases, all related to the Texas outbreak.",possible_primary_case_evidence,Is this a task-compatible primary case observation or only context/secondary evidence?,P0_critical,Review required: possible_primary_case_evidence,review_duplicate_event_013,REPLACE_WITH_REVIEWER_ID,possible primary case evidence - review_duplicate_event_013 - Texas Measles Outbreak: 2025 | RT,https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025,rec_src_search_831265159816_045; event_013,record
