actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
coronavirus.health.ny.gov,high,coronavirus_health_ny_gov,,2026-06-25T14:10:13+00:00,official_authority,https://coronavirus.health.ny.gov/daily-hospitalization-summary,primary_case_claim_support,,,live_search_result,not_assessed,coronavirus.health.ny.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![nygov-logo](/profiles/custom/webny/themes/custom/webny_theme/images/nygov-logo.png)

# Weekly Hospitalization Summary

## Weekly Hospitalization Summary by Region

[Download Weekly Hospitalization Data](https://health.data.ny.gov/Health/New-York-State-Statewide-Weekly-COVID-19-Hospitali/vgyq-b7tb/about_data)

## METHODOLOGICAL NOTES

* This dashboard will be updated weekly.
* New admissions and total hospitalization data come from the Health Electronic Response Data System (HERDS). Hospitals are required to complete this survey each Wednesday for the prior Sunday – Saturday time period.
* As",,,Weekly Hospitalization Summary | Department of Health - COVID-19,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_fc41756dc833,direct_target_official_fast_path_skips_source_identity,assessed,publisher:coronavirus_health_ny_gov,coronavirus.health.ny.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://coronavirus.health.ny.gov/daily-hospitalization-summary,False,False,True,False,possibly_relevant,not_assessed,Weekly Hospitalization Summary | Department of Health - COVID-19,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
coronavirus.health.ny.gov,high,coronavirus_health_ny_gov,,2026-06-25T14:10:13+00:00,official_authority,https://coronavirus.health.ny.gov/covid-19-data-new-york,primary_case_claim_support,,,live_search_result,not_assessed,coronavirus.health.ny.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![nygov-logo](/profiles/custom/webny/themes/custom/webny_theme/images/nygov-logo.png)

# COVID-19 Data in New York

## OVERVIEW Monitoring the Key Aspects of the Epidemic

New York State is closely monitoring the COVID-19 epidemic across data sources related to testing, hospitalization, fatalities, vaccination, and a variety of other topics. The dashboards, reports, and data sources contained below summarize key information on these topics.

TESTING AND CASES

[![Positive Tests Over Time Thumbnail](/sites/g/files/oee1146/files/styles/quick_links_square/public/media/2021/10/positive-tests-over-",,,COVID-19 Data in New York | Department of Health,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_66002ff28cf6,direct_target_official_fast_path_skips_source_identity,assessed,publisher:coronavirus_health_ny_gov,coronavirus.health.ny.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://coronavirus.health.ny.gov/covid-19-data-new-york,False,False,True,False,possibly_relevant,not_assessed,COVID-19 Data in New York | Department of Health,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:10:13+00:00,official_authority,https://www.nyc.gov/site/doh/covid/covid-19-data-totals.page,primary_case_claim_support,,,live_search_result,not_assessed,nyc.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![NYC](/assets/home/images/global/nyc_white.png)
![](/assets/home/images/global/upper-header-divider.gif)
![](/assets/home/images/global/upper-header-divider.gif)
![NYC Health](/assets/doh/images/content/header/logo.png)
![Language](/assets/home/images/global/language.gif)

## Promoting and Protecting the City's Health

# COVID-19: Data

![Print icon](/assets/home/images/global/print.png)

# Trends and Totals: Archive

## New Data Pages

As of October 16, 2025, the content on this page is for reference only and is no longer updated. See the new [Respiratory Virus Data pages](https://www.nyc.go",,,COVID-19: Data Trends and Totals - NYC Health,True,low,primary_or_authoritative,[],[],,official_public_health_agency,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_af2355dda632,direct_target_official_fast_path_skips_source_identity,assessed,domain:nyc_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.nyc.gov/site/doh/covid/covid-19-data-totals.page,False,False,True,False,possibly_relevant,not_assessed,COVID-19: Data Trends and Totals - NYC Health,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:10:13+00:00,social_media,https://www.facebook.com/OCPHealth/posts/respiratory-illnesses-continue-across-new-york-statewidespread-flu-covid-19-and-/1298615802293326,insufficient_information,,,live_search_result,not_assessed,facebook.com,[],not_assessed,medium,non_authority,False,False,,,False,source_identity_publisher_credibility_v1,,social_post,[],"## Ontario County Public Health's Post

---

### [**Ontario County Public Health**](https://www.facebook.com/OCPHealth?__cft__[0]=AZb1F5A9FjMB_LJ81j_qhj0Ze00hfdIGJ0edVYN8Cj59hwvtXRGsaQ8tpT5rc2OQAgokparvtw9nk7kZhtdOQWYUgP-FZj_D9X7Gsb6tdECfftbnYUt-aS2Ci0-lX9feaT2TjPK-AUBO6aUJuprWOPpGR-beNT6ZaRpG_pAS5ObvRQ&__tn__=-UC%2CP-R)

[February 4](https://www.facebook.com/OCPHealth/posts/pfbid02f8riAz9UdyFsdePMumHXWrD7KbYWy97GHY7uDVMSYHa336iX3efboENqkcr2u9Hql?__cft__[0]=AZb1F5A9FjMB_LJ81j_qhj0Ze00hfdIGJ0edVYN8Cj59hwvtXRGsaQ8tpT5rc2OQAgokparvtw9nk7kZhtdOQWYUgP-FZj_D9X7Gsb6tdECfftbnYUt-aS2Ci0-lX9feaT2TjPK-AU",,,Respiratory illnesses continue across New York State Widespread ...,True,low,social,[],[],,social_media,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,needs_human_review,fetch_only_after_review,needs_human_review,tavily,Tavily,4,Tavily,,src_search_6815a00063a1,direct_target_official_fast_path_skips_source_identity,assessed,domain:facebook_com,,low,high,"[""domain""]",social_media,,[],https://www.facebook.com/OCPHealth/posts/respiratory-illnesses-continue-across-new-york-statewidespread-flu-covid-19-and-/1298615802293326,True,False,False,False,possibly_relevant,not_assessed,Respiratory illnesses continue across New York State Widespread ...,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:10:13+00:00,official_authority,https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Provisional COVID-19 Mortality Surveillance - CDC""]","[Skip directly to site content](https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm#content)[Skip directly to search](https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm#headerSearch)

[Español](https://www.cdc.gov/spanish/) | [Other Languages](https://www.cdc.gov/other/other-languages/)

![Image 1](https://www.cdc.gov/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)An official website of the United States government Here's how you know 

![Image 2](https://www.cdc.gov/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)

**Official websites use .gov**

A .gov website belongs to a",Centers for Disease Control and Prevention,,Provisional COVID-19 Mortality Surveillance - CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Provisional COVID-19 Mortality Surveillance - CDC""]",page_metadata_or_text,national_public_health_agency,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_979be3c147ca,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm,False,False,True,False,possibly_relevant,not_assessed,Provisional COVID-19 Mortality Surveillance - CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:10:13+00:00,official_authority,https://www.worldometers.info/coronavirus/country/us,primary_case_claim_support,,,live_search_result,not_assessed,worldometers.info,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[![](/img/worldometers-logo.gif ""Worldometer"")](/)

* [Population](/population/)
* [**Coronavirus**](/coronavirus/)

**NOTE:** As of April 13, 2024, the **Coronavirus Tracker is no longer being updated** due to the unfeasibility of providing statistically valid global totals, as **the majority of countries have now stopped reporting**. However, historical data remain accessible. Worldometer delivered the [**most accurate and timely global statistics**](/coronavirus/most-accurate-and-timely/) to users and institutions around the world at a time when this was extremely challenging. **We thank ev",,,United States COVID - Coronavirus Statistics - Worldometer,True,low,primary_or_authoritative,[],[],,official_public_health_agency,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_478ca202141b,direct_target_official_fast_path_skips_source_identity,assessed,domain:worldometers_info,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.worldometers.info/coronavirus/country/us,False,False,True,False,possibly_relevant,not_assessed,United States COVID - Coronavirus Statistics - Worldometer,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
National Center for Biotechnology Information,high,national_center_for_biotechnology_information,,2026-06-25T14:10:13+00:00,structured_database,https://pmc.ncbi.nlm.nih.gov/articles/PMC11449267,primary_case_claim_support,,,live_search_result,not_assessed,pmc.ncbi.nlm.nih.gov,[],not_assessed,medium,government_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to main content](https://pmc.ncbi.nlm.nih.gov/articles/PMC11449267#main-content)

![Image 1](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/us_flag.svg)

An official website of the United States government

Here's how you know

Here's how you know

![Image 2](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/icon-dot-gov.svg)

**Official websites use .gov**

 A **.gov** website belongs to an official government organization in the United States.

![Image 3](https://cdn.ncbi.nlm.nih.go",,,"COVID-19–Associated Hospitalizations Among U.S. Adults Aged ≥18 Years — COVID-NET, 12 States, October 2023–April 2024",True,low,primary_or_authoritative,"[""domain""]",[],domain,structured_database,New York COVID-19 weekly cases deaths hospitalizations January 2024 site:health.ny.gov OR site:nyc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_998b5385138b,direct_target_official_fast_path_skips_source_identity,assessed,publisher:national_center_for_biotechnology_information,National Center for Biotechnology Information,high,medium,"[""domain""]",structured_database,,[],https://pmc.ncbi.nlm.nih.gov/articles/PMC11449267,False,False,True,False,possibly_relevant,not_assessed,"COVID-19–Associated Hospitalizations Among U.S. Adults Aged ≥18 Years — COVID-NET, 12 States, October 2023–April 2024",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:10:13+00:00,official_authority,https://data.cdc.gov/Case-Surveillance/Weekly-United-States-COVID-19-Cases-and-Deaths-by-/pwn4-m3yp,primary_case_claim_support,,,live_search_result,not_assessed,data.cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""An official website of the United States Government\n\n**Official websites use .gov**  \n Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government""]","An official website of the United States Government

**Official websites use .gov**  
 Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government site.

**Secure .gov websites use HTTPS**  
 A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

[## Data.CDC.gov](/)

A federal government website managed and paid for by the U.S. Centers for Disease Control and Prevention.

[Browse All Data Topics](https://data.cdc.gov/browse)

[Co",Centers for Disease Control and Prevention,,Weekly United States COVID-19 Cases and Deaths by State,True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""An official website of the United States Government\n\n**Official websites use .gov**  \n Federal government websites often end in .gov or .mil. Before sharing sensitive information, make sure you're on a federal government""]",page_metadata_or_text,national_public_health_agency,CDC COVID Data Tracker New York State cases deaths hospitalizations week January 2024,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_288a7948a301,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://data.cdc.gov/Case-Surveillance/Weekly-United-States-COVID-19-Cases-and-Deaths-by-/pwn4-m3yp,False,False,True,False,possibly_relevant,not_assessed,Weekly United States COVID-19 Cases and Deaths by State,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:10:13+00:00,official_authority,https://rochealthdata.org/influenza-surveillance-dashboard,primary_case_claim_support,,,live_search_result,not_assessed,rochealthdata.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,dashboard_or_database,[],"[Skip to Main Content](https://rochealthdata.org/influenza-surveillance-dashboard#content)

[![Image 1: RocHealth Logo](https://rochealthdata.org/wp-content/uploads/2025/07/RocHealth-Logo-3.png)](https://rochealthdata.org/)

*   [Reports & Dashboards](https://rochealthdata.org/reports-dashboards/)
    *   [Respiratory Illness Surveillance Dashboard](https://rochealthdata.org/influenza-surveillance-dashboard/)
    *   [Create a Local Health Assessment](https://rochealthdata.org/rochester-area-community-health-needs-assessment-tool/)
    *   [Local Health Assessment Data Updates](https://rocheal",,,Respiratory Illness Surveillance Dashboard - ROC HEALTH DATA,True,low,primary_or_authoritative,[],[],,official_public_health_agency,CDC COVID Data Tracker New York State cases deaths hospitalizations week January 2024,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_d5598f1ff469,direct_target_official_fast_path_skips_source_identity,assessed,domain:rochealthdata_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://rochealthdata.org/influenza-surveillance-dashboard,False,False,True,False,possibly_relevant,not_assessed,Respiratory Illness Surveillance Dashboard - ROC HEALTH DATA,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:10:13+00:00,official_authority,https://www.cdc.gov/covid/php/surveillance/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Surveillance and Data Analytics | Covid - CDC""]","[Skip directly to site content](https://www.cdc.gov/covid/php/surveillance/index.html#content)[Skip directly to search](https://www.cdc.gov/covid/php/surveillance/index.html#cdc-search__input)[Skip directly to On This Page](https://www.cdc.gov/covid/php/surveillance/index.html#first-on-this-page)

![Image 1](https://www.cdc.gov/TemplatePackage/5.0/img/uswds/us_flag_small.png)An official website of the United States government

[Here's how you know](https://www.cdc.gov/covid/php/surveillance/index.html#gov-notice)

![Image 2](https://www.cdc.gov/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

",Centers for Disease Control and Prevention,,Surveillance and Data Analytics | Covid - CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Surveillance and Data Analytics | Covid - CDC""]",page_metadata_or_text,national_public_health_agency,CDC COVID Data Tracker New York State cases deaths hospitalizations week January 2024,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_34d583acab24,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/covid/php/surveillance/index.html,False,False,True,False,possibly_relevant,not_assessed,Surveillance and Data Analytics | Covid - CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
