apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_005,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_005,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_claim_corroboration_review_corr_event_005 - US norovirus outbreaks are up, CDC data show - CIDRAP",https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,claim_rec_src_search_c8f6e152147e_001_cases_unspecified; claim_rec_src_search_c8f6e152147e_002_observation; src_search_c8f6e152147e; corr_event_005,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_3b4e2043d3a5,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_3b4e2043d3a5,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_3b4e2043d3a5 - Norovirus Surge May Be Driven by Ultra-Contagious Variant. K...,https://www.today.com/health/disease/norovirus-surge-2025-2026-rcna246985,src_search_3b4e2043d3a5,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_926b43baa66c,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_926b43baa66c,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_926b43baa66c - WDEF News 12 - ""Outbreaks of norovirus are most common...",https://www.facebook.com/wdefnews12/posts/outbreaks-of-norovirus-are-most-common-between-november-and-april-the-cdc-says-l/1261711429336143,src_search_926b43baa66c,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_e119c616592e,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_e119c616592e,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_e119c616592e - Norovirus cases are surging. Here's how to protect yourself.,https://www.advisory.com/daily-briefing/2025/12/08/norovirus,src_search_e119c616592e,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_001,accept_as_is,"According to CaliciNet—a network of public health laboratories—the dominant strain of norovirus is currently GII.17, which made up 69.7% of the genotype distribution among norovirus outbreaks from September 1, 2024 to December 31, 2024.5,6",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_001,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_duplicate_event_001 - CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contempora...,https://www.contemporarypediatrics.com/view/cdc-2025-seasonal-norovirus-outbreaks-up-previous-years,rec_src_search_8d7dfb3aeace_002; event_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_004,accept_as_is,"Norovirus, a leading cause of acute gastroenteritis in the United States, is emerging as a significant public health concern in 2025. The stomach virus spreads quickly in cooler weather and cases typically peak in February. The CDC reported a surge in cases as of late December 2024, with about 36% more illness than the same period in 2023, and almost 50% more than the previous decade's average. Each year, it accounts for an estimated 19 to 21 million cases of vomiting and diarrhea, with approximately one in fifteen Americans affected. NoroSTAT Data | Norovirus | CDC",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_004,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_duplicate_event_004 - Staying Healthy: Norovirus Infections Surge in 2025 - AllCare Health,https://www.allcarehealth.com/articles-events/articles/staying-healthy-norovirus-infections-surge-in-2025,rec_src_search_fb7ff50094aa_001; rec_src_search_fb7ff50094aa_002; event_004,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_005,accept_as_is,"[Data](https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html) released earlier this week by the CDC show that 16 cruise ship norovirus outbreaks were reported in 2024, including 5 in December that sickened 890 passengers and crew members.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_005,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_005 - US norovirus outbreaks are up, CDC data show - CIDRAP",https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,rec_src_search_c8f6e152147e_001; event_005,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_007,accept_as_is,"Norovirus is the leading cause of foodborne illness in the United States. Each year, there are about 2,500 reported outbreaks. They can occur throughout the year but are most common between November and April, the CDC said.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_007,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_duplicate_event_007 - Norovirus outbreaks surging across the US: CDC data - The Hill,https://thehill.com/policy/healthcare/5059834-norovirus-outbreaks-cdc,rec_src_search_2acdad71566e_004; event_007,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_008,accept_as_is,The highest number for the same period over the last several years was 65 outbreaks.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_008,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_duplicate_event_008 - Norovirus outbreaks surging across the US: CDC data - The Hill,https://thehill.com/policy/healthcare/5059834-norovirus-outbreaks-cdc,rec_src_search_2acdad71566e_003; event_008,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_009,accept_as_is,"Each year, there are about 2,500 reported norovirus outbreaks in the United States. Norovirus outbreaks occur throughout the year but are most common from November to April.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_009,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_duplicate_event_009 - Norovirus Outbreaks - CDC,https://www.cdc.gov/norovirus/outbreak-basics/index.html,rec_src_search_b15c469d896c_001; event_009,record
