anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset_pre_quality_gate,False,False,quarantined_exposure_monitoring,,surveillance_summary,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""evidence describes exposure monitoring or a healthy monitored traveler, not an accepted case dataset record"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as surveillance_summary, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_94cc3f59e20e_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_exposure_monitoring,,surveillance_summary,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""evidence describes exposure monitoring or a healthy monitored traveler, not an accepted case dataset record"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as surveillance_summary, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_94cc3f59e20e_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record geography is broader than requested location Democratic Republic of the Congo; record has geographic_scope_type='region', geographic_scope='Africa', subnational_location=None"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_da73a01ad891_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record geography is broader than requested location Democratic Republic of the Congo; record has geographic_scope_type='region', geographic_scope='Africa', subnational_location=None"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_da73a01ad891_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record geography is broader than requested location Democratic Republic of the Congo; record has geographic_scope_type='region', geographic_scope='Africa', subnational_location=None"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_da73a01ad891_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record as-of date 2024-05-26 is outside requested task window 2024-08-01 to 2024-08-31"", ""record period 2024-01-01 to 2024-05-26 does not overlap requested task window 2024-08-01 to 2024-08-31""]",record as-of date 2024-05-26 is outside requested task window 2024-08-01 to 2024-08-31,,rec_src_search_c86ca682ec75_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,confirmed_case_record,,True,"[""record as-of date 2024-05-26 is outside requested task window 2024-08-01 to 2024-08-31"", ""record period 2024-01-01 to 2024-05-26 does not overlap requested task window 2024-08-01 to 2024-08-31""]",record as-of date 2024-05-26 is outside requested task window 2024-08-01 to 2024-08-31,,rec_src_search_c86ca682ec75_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record as-of date 2024-05-26 is outside requested task window 2024-08-01 to 2024-08-31"", ""record period 2024-01-01 to 2024-05-26 does not overlap requested task window 2024-08-01 to 2024-08-31""]",record as-of date 2024-05-26 is outside requested task window 2024-08-01 to 2024-08-31,,rec_src_search_c86ca682ec75_003,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_c86ca682ec75_004,
,,final_dataset,False,True,accepted_with_warnings,,ambiguous_public_health_observation,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_c86ca682ec75_005,
