apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_003,accept_anomaly,• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_anomaly_anom_003,REPLACE_WITH_REVIEWER_ID,"validation conflict review - review_anomaly_anom_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,src_search_ff1cee7a6f74; event_005; anom_003; val_result_018,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_001,accept_as_is,"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_001,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_001 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_002; rec_src_search_ff1cee7a6f74_005; rec_src_search_ff1cee7a6f74_006; event_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_002,accept_as_is,"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_002,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_002 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_011; rec_src_search_ff1cee7a6f74_013; event_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_003,accept_as_is,"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_003,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_001; rec_src_search_ff1cee7a6f74_003; rec_src_search_ff1cee7a6f74_004; event_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_004,accept_as_is,"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_004,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_004 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_010; rec_src_search_ff1cee7a6f74_012; event_004,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_005,accept_as_is,• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_005,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_005 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_007; rec_src_search_ff1cee7a6f74_008; event_005,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_006,accept_as_is,No influenza-associated pediatric deaths occurring during the 2024-2025 season have been reported to CDC.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_006,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_duplicate_event_006 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,rec_src_search_ff1cee7a6f74_009; event_006,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_56888319c899,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_56888319c899,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_56888319c899 - 2024 to 2025 US Influenza Season Sets Record Hospitalization...,https://www.contagionlive.com/view/2024-to-2025-us-influenza-season-sets-record-hospitalization-rate,src_search_56888319c899,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_915efec17eac,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_915efec17eac,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_915efec17eac - [PDF] Respiratory Viruses Update,https://www.dshs.texas.gov/sites/default/files/IDCU/about/TaskForceID/docs/Respiratory-Viruses-Update.pdf,src_search_915efec17eac,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_c95c26c7b200,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_c95c26c7b200,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_c95c26c7b200 - [PDF] 2024-2025 Influenza Surveillance Report Week 40,https://msdh.ms.gov/page/resources/20794.pdf,src_search_c95c26c7b200,source
