apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_001,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_001,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Ongoing Salmonella outbreaks linked to backyard poultry...,https://www.cdc.gov/media/releases/2026/2026-update-ongoing-salmonella-outbreaks-linked-to-backyard-poultry-sickens-150-more-people-with-over.html,claim_rec_src_search_33733b13ba13_001_deaths; claim_rec_src_search_33733b13ba13_003_deaths; claim_rec_src_search_95a418d2f831_001_deaths; claim_rec_src_search_793a8dd9911b_003_deaths; claim_rec_src_search_6ec6e3fd8adc_001_cases_unspecified; claim_rec_src_search_33733b13ba13_001_cases_unspecified; claim_rec_src_search_33733b13ba13_001_hospitalizations; claim_rec_src_search_33733b13ba13_002_hospitalizations; claim_rec_src_search_95a418d2f831_001_cases_unspecified; claim_rec_src_search_8207a084046e_001_hospitalizations; claim_rec_src_search_8fb76173fa13_001_cases_confirmed; claim_rec_src_search_793a8dd9911b_001_cases_unspecified; claim_rec_src_search_793a8dd9911b_002_hospitalizations; src_search_6ec6e3fd8adc; src_search_33733b13ba13; src_search_95a418d2f831; src_search_8207a084046e; src_search_8fb76173fa13; src_search_793a8dd9911b; corr_event_001,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_005,accept_anomaly,Total Illnesses: 113,validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_anomaly_anom_005,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_anomaly_anom_005 - Outbreak Investigation of Salmonella: Cucumbers (November 2024),https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,src_search_793a8dd9911b; event_004; anom_005; val_result_023,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_003,accept_anomaly,Total Illnesses: 113,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_003,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_003 - Outbreak Investigation of Salmonella: Cucumbers (November 2024),https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,src_search_793a8dd9911b; event_004; anom_003; val_result_015,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_004,accept_anomaly,Hospitalizations: 28,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_004,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_004 - Outbreak Investigation of Salmonella: Cucumbers (November 2024),https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,src_search_793a8dd9911b; event_004; anom_004; val_result_016,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_001,accept_as_is,"Contaminated cucumbers caused 551 illnesses in 34 states and DC, leading to 155 hospitalizations",validation_conflict_review,"What decision, if any, should a human reviewer record?",P1_high,Review required: validation_conflict_review,review_duplicate_event_001,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_001 - Cucumber outbreak from salmonella over - PIRG,https://pirg.org/edfund/updates/cucumber-outbreak-from-salmonella-over,rec_src_search_f06158a1a260_001; rec_src_search_f06158a1a260_002; event_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_002,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_002,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_002 - 2024 Salmonella Multi-state Outbreak Linked to Cucumbers...,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/foodborne-illness/outbreaks/2024-salmonella-multi-state-outbreak-linked-cucumbers,claim_rec_src_search_fe091021a27e_001_cases_unspecified; claim_rec_src_search_fe091021a27e_002_cases_unspecified; claim_rec_src_search_fe091021a27e_002_deaths; claim_rec_src_search_fe091021a27e_002_hospitalizations; src_search_fe091021a27e; corr_event_002,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_003,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_003,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_003 - CDC ends its probe of cucumber Salmonella outbreak after...,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,claim_rec_src_search_8fb76173fa13_002_cases_confirmed; src_search_8fb76173fa13; corr_event_003,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_004,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_004,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_004 - CDC ends its probe of cucumber Salmonella outbreak after...,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,claim_rec_src_search_8fb76173fa13_003_cases_confirmed; src_search_8fb76173fa13; corr_event_004,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_005,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_005,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_005 - CDC ends its probe of cucumber Salmonella outbreak after...,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,claim_rec_src_search_8fb76173fa13_004_cases_confirmed; src_search_8fb76173fa13; corr_event_005,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_006,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_006,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_006 - CDC ends its probe of cucumber Salmonella outbreak after...,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,claim_rec_src_search_8fb76173fa13_005_cases_confirmed; src_search_8fb76173fa13; corr_event_006,claim
