actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,1,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_b11655490f96 - How did COVID-19 affect people in New York? | USAFacts,How did COVID-19 affect people in New York? | USAFacts,https://usafacts.org/answers/how-did-covid-19-affect-people-in-the-us/state/new-york,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_b11655490f96,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,2,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_d5900bb8aa62 - COVID-19 pandemic in the United States - Wikipedia,COVID-19 pandemic in the United States - Wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_d5900bb8aa62,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,3,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_f1a19efce8d2 - New York State COVID update on Thursday, Jan. 20 - Facebook","New York State COVID update on Thursday, Jan. 20 - Facebook",https://www.facebook.com/wten.albany/posts/new-york-state-covid-update-on-thursday-jan-20/10166417185515195,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_f1a19efce8d2,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,4,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_000e4ff17a91 - GitHub - nychealth/coronavirus-data: This repository contain...,"GitHub - nychealth/coronavirus-data: This repository contains data on Coronavirus Disease 2019 (COVID-19) in New York City (NYC), from the NYC Department of Health and Mental Hygiene. · GitHub",https://github.com/nychealth/coronavirus-data,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_000e4ff17a91,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,5,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_0af03f2493e8 - COVID-19 Daily Counts of Cases, Hospitalizations, and ...","COVID-19 Daily Counts of Cases, Hospitalizations, and ...",http://catalog.data.gov/dataset/covid-19-daily-counts-of-cases-hospitalizations-and-deaths,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_0af03f2493e8,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,6,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_478ca202141b - United States COVID - Coronavirus Statistics - Worldometer,United States COVID - Coronavirus Statistics - Worldometer,https://www.worldometers.info/coronavirus/country/us,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_478ca202141b,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,7,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_58fde24d715b - Track Covid-19 in the U.S.: Latest Data and Maps - ny times,Track Covid-19 in the U.S.: Latest Data and Maps - ny times,https://www.nytimes.com/interactive/2023/us/covid-cases.html,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_58fde24d715b,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,8,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_5ce266c03958 - COVID | NYC Open Data,COVID | NYC Open Data,https://data.cityofnewyork.us/Health/COVID/y5z2-enr7,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_5ce266c03958,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_650359dcfc71 - COVID-19 Daily Counts of Cases, Hospitalizations, and Deaths","COVID-19 Daily Counts of Cases, Hospitalizations, and Deaths",https://data.cityofnewyork.us/Health/COVID-19-Daily-Counts-of-Cases-Hospitalizations-an/rc75-m7u3,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_650359dcfc71,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,10,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_68678448bb04 - New York - COVID-19 Overview - Johns Hopkins,New York - COVID-19 Overview - Johns Hopkins,https://coronavirus.jhu.edu/region/us/new-york,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_68678448bb04,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,11,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_96c2ddef784f - GitHub - nytimes/covid-19-data: A repository of data on coro...,GitHub - nytimes/covid-19-data: A repository of data on coronavirus cases and deaths in the U.S. · GitHub,https://github.com/nytimes/covid-19-data,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_96c2ddef784f,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_identity_review,source_credibility,New York,P1_high,12,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_af2355dda632 - COVID-19: Data Trends and Totals - NYC Health,COVID-19: Data Trends and Totals - NYC Health,https://www.nyc.gov/site/doh/covid/covid-19-data-totals.page,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_af2355dda632,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,,source_credibility_review,source_credibility,New York,P1_high,13,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source credibility review - review_source_credibility_src_search_9993790c8a7a - COVID-19 pandemic in New York City - Wikipedia,COVID-19 pandemic in New York City - Wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_New_York_City,Review source registry and source credibility/source critic outputs.,"Should this source be collection, support, context, or excluded?",src_search_9993790c8a7a,source,Source credibility affects whether evidence should support collection or only context.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,"Task-relevant source text appeared to contain core epidemiology metric signals, but extraction produced no structured records.",general_review,core_metric_extraction_gap,New York,P3_low,14,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,general review - review_core_metric_gap_src_search_000e4ff17a91 - GitHub - nychealth/coronavirus-data: This repository contains data on C...,"GitHub - nychealth/coronavirus-data: This repository contains data on Coronavirus Disease 2019 (COVID-19) in New York City (NYC), from the NYC Department of Health and Mental Hygiene. · GitHub",https://github.com/nychealth/coronavirus-data,review_source_for_core_metric_extraction,"What decision, if any, should a human reviewer record?",src_search_000e4ff17a91,source,This review item requires human inspection before it should affect downstream interpretation.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,"Task-relevant source text appeared to contain core epidemiology metric signals, but extraction produced no structured records.",general_review,core_metric_extraction_gap,New York,P3_low,15,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"general review - review_core_metric_gap_src_search_0af03f2493e8 - COVID-19 Daily Counts of Cases, Hospitalizations, and ...","COVID-19 Daily Counts of Cases, Hospitalizations, and ...",http://catalog.data.gov/dataset/covid-19-daily-counts-of-cases-hospitalizations-and-deaths,review_source_for_core_metric_extraction,"What decision, if any, should a human reviewer record?",src_search_0af03f2493e8,source,This review item requires human inspection before it should affect downstream interpretation.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-01-07,COVID-19,"Task-relevant source text appeared to contain core epidemiology metric signals, but extraction produced no structured records.",general_review,core_metric_extraction_gap,New York,P3_low,16,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,general review - review_core_metric_gap_src_search_34d583acab24 - Surveillance and Data Analytics | Covid - CDC,Surveillance and Data Analytics | Covid - CDC,https://www.cdc.gov/covid/php/surveillance/index.html,review_source_for_core_metric_extraction,"What decision, if any, should a human reviewer record?",src_search_34d583acab24,source,This review item requires human inspection before it should affect downstream interpretation.
