actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T21:59:28+00:00,official_authority,https://thehill.com/policy/healthcare/5912110-us-measles-cases-2026-exceeds-2000,primary_case_claim_support,,,live_search_result,not_assessed,thehill.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,"[""CDC reports over 2,000 US measles cases after recent outbreaks""]","[Skip to content](#content)





[Healthcare](https://thehill.com/policy/healthcare/ ""Healthcare"")

# US has passed 2K measles cases this year

by [Joseph Choi](https://thehill.com/author/joseph-choi/) - 06/05/26 3:06 PM ET  



Link copied

by [Joseph Choi](https://thehill.com/author/joseph-choi/) - 06/05/26 3:06 PM ET

Link copied

####

NOW PLAYING

####



The number of U.S. measles cases in 2026 has now exceeded 2,000, quickly approaching the full annual total of last year.

As of June 4, the Centers for Disease Control and Prevention (CDC) [has confirmed](https://www.cdc.gov/measles/data",Centers for Disease Control and Prevention,,"CDC reports over 2,000 US measles cases after recent outbreaks",True,high,primary_or_authoritative,"[""page_title""]","[""CDC reports over 2,000 US measles cases after recent outbreaks""]",page_metadata_or_text,official_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_3c843cdae62c,direct_target_official_fast_path_skips_source_identity,assessed,domain:thehill_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://thehill.com/policy/healthcare/5912110-us-measles-cases-2026-exceeds-2000,False,False,True,False,possibly_relevant,not_assessed,"CDC reports over 2,000 US measles cases after recent outbreaks",Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T21:59:28+00:00,official_authority,https://www.naccho.org/blog/articles/2025-2026-measles-resources-updates-for-local-health-departments,primary_case_claim_support,,,live_search_result,not_assessed,naccho.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[MyNACCHO Login](https://eweb.naccho.org/eweb/DynamicPage.aspx?WebCode=LoginRequired&expires=yes&URL_success=https://www.naccho.org/blog/articles/2025-2026-measles-resources-updates-for-local-health-departments?ssoToken={token})

[Skip to Main Navigation](https://www.naccho.org/blog/articles/2025-2026-measles-resources-updates-for-local-health-departments#main-navigation)[Skip to Content](https://www.naccho.org/blog/articles/2025-2026-measles-resources-updates-for-local-health-departments#main-content)- [x] 

[![Image 1](https://www.naccho.org/images/naccho-logo-banner.svg)](https://www.naccho",,,2025-2026 Measles Outbreaks: Where Are We Now? Resources ...,True,low,primary_or_authoritative,[],[],,official_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_0132cfa4f779,direct_target_official_fast_path_skips_source_identity,assessed,domain:naccho_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.naccho.org/blog/articles/2025-2026-measles-resources-updates-for-local-health-departments,False,False,True,False,possibly_relevant,not_assessed,2025-2026 Measles Outbreaks: Where Are We Now? Resources ...,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T21:59:28+00:00,official_authority,https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record,primary_case_claim_support,,,live_search_result,not_assessed,forbes.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""[Breaking](https://www.forbes.com/news/)\n\n[Business](https://www.forbes.com/business/)\n\n# Measles Cases This Year Are Outpacing 2025 — The Worst Recent Year On Record\n\nBy[Antonio Pequeño IV](https://www.forbes.com/sites/""]","[Breaking](https://www.forbes.com/news/)

[Business](https://www.forbes.com/business/)

# Measles Cases This Year Are Outpacing 2025 — The Worst Recent Year On Record

By[Antonio Pequeño IV](https://www.forbes.com/sites/antoniopequenoiv/ ""https://www.forbes.com/sites/antoniopequenoiv/""),

Forbes Staff.

Pequeño is a breaking news reporter who covers tech and more.

## Topline

The first measles outbreaks of the new year were reported this month, according to [data](https://www.cdc.gov/measles/data-research/index.html ""https://www.cdc.gov/measles/data-research/index.html"") from the Centers for ",Centers for Disease Control and Prevention,,Measles Cases This Year Are Outpacing 2025 - Forbes,True,high,primary_or_authoritative,"[""clean_text""]","[""[Breaking](https://www.forbes.com/news/)\n\n[Business](https://www.forbes.com/business/)\n\n# Measles Cases This Year Are Outpacing 2025 — The Worst Recent Year On Record\n\nBy[Antonio Pequeño IV](https://www.forbes.com/sites/""]",page_metadata_or_text,official_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_cd5fb2750261,direct_target_official_fast_path_skips_source_identity,assessed,domain:forbes_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record,False,False,True,False,possibly_relevant,not_assessed,Measles Cases This Year Are Outpacing 2025 - Forbes,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T21:59:28+00:00,official_authority,https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a,primary_case_claim_support,,,live_search_result,not_assessed,arcgis.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[![Image 1](https://cori.centerforhealthsecurity.org/sites/default/files/2024-05/untitleddesign.png)](https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a)

# 2025-2026 Measles Cases

## United States, Canada, and Mexico

 Filter by Date 

 No category selected 

 Filter by US State(s) 

 No category selected 

 Hide Immunization Coverage 

 No category selected 

**About the CORI Measles Dashboard**

JHU’s Center for Outbreak Response Innovation (CORI) collects and validates case data for this dashboard Mondays, Wednesdays, and Fridays, excluding holidays). CORI draws on of",,,2025-2026 US Measles Map,True,low,primary_or_authoritative,[],[],,official_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_78fdd46eb63c,direct_target_official_fast_path_skips_source_identity,assessed,domain:arcgis_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a,False,False,True,False,possibly_relevant,not_assessed,2025-2026 US Measles Map,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T21:59:28+00:00,official_authority,https://www.cdc.gov/measles/data-research/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""[Skip directly to site content](https://www.cdc.gov/measles/data-research/index.html#content)[Skip directly to search](https://www.cdc.gov/measles/data-research/index.html#cdc-search__input)[Skip directly to On This Page""]","[Skip directly to site content](https://www.cdc.gov/measles/data-research/index.html#content)[Skip directly to search](https://www.cdc.gov/measles/data-research/index.html#cdc-search__input)[Skip directly to On This Page](https://www.cdc.gov/measles/data-research/index.html#first-on-this-page)

![Image 1](https://www.cdc.gov/TemplatePackage/5.0/img/uswds/us_flag_small.png)An official website of the United States government

[Here's how you know](https://www.cdc.gov/measles/data-research/index.html#gov-notice)

![Image 2](https://www.cdc.gov/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

**Of",Centers for Disease Control and Prevention,,Measles Cases and Outbreaks,True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""[Skip directly to site content](https://www.cdc.gov/measles/data-research/index.html#content)[Skip directly to search](https://www.cdc.gov/measles/data-research/index.html#cdc-search__input)[Skip directly to On This Page""]",page_metadata_or_text,national_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_283a8bed6a9d,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/measles/data-research/index.html,False,False,True,False,possibly_relevant,not_assessed,Measles Cases and Outbreaks,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T21:59:28+00:00,official_authority,https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]","![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)
![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)

**Official websites use .gov**

A .gov website belongs to an official government organization in the United States.

![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg)

**Secure .gov websites use HTTPS**

A lock (  ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg)
![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-no",Centers for Disease Control and Prevention,,"Measles Update — United States, January 1–April 17, 2025 | MMWR",True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]",page_metadata_or_text,national_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_3109afb35d90,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,False,False,True,False,possibly_relevant,not_assessed,"Measles Update — United States, January 1–April 17, 2025 | MMWR",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T21:59:28+00:00,official_authority,https://ourworldindata.org/grapher/number-of-measles-cases,primary_case_claim_support,,,live_search_result,not_assessed,ourworldindata.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""# Measles cases in the United States, 1919 to 2026\n\n[Our World in Data](https://ourworldindata.org/)\n\n[![Image 1: Oxford Martin School logo](https://ourworldindata.org/oms-logo.svg)](https://www.oxfordmartin.ox.ac.uk/glo""]","# Measles cases in the United States, 1919 to 2026

[Our World in Data](https://ourworldindata.org/)

[![Image 1: Oxford Martin School logo](https://ourworldindata.org/oms-logo.svg)](https://www.oxfordmartin.ox.ac.uk/global-development)[![Image 2: University of Oxford logo](https://ourworldindata.org/oxford-logo.svg)](https://www.ox.ac.uk/)[![Image 3: Global Change Data Lab logo](https://ourworldindata.org/gcdl-logo.svg)](https://global-change-data-lab.org/)

*   Browse by topic 
*   [Data](https://ourworldindata.org/search)
*   [Latest](https://ourworldindata.org/latest)
*   Resources 
*   Ab",Centers for Disease Control and Prevention,,Measles cases in the United States,True,high,primary_or_authoritative,"[""clean_text""]","[""# Measles cases in the United States, 1919 to 2026\n\n[Our World in Data](https://ourworldindata.org/)\n\n[![Image 1: Oxford Martin School logo](https://ourworldindata.org/oms-logo.svg)](https://www.oxfordmartin.ox.ac.uk/glo""]",page_metadata_or_text,official_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_f259b36c3067,direct_target_official_fast_path_skips_source_identity,assessed,domain:ourworldindata_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://ourworldindata.org/grapher/number-of-measles-cases,False,False,True,False,possibly_relevant,not_assessed,Measles cases in the United States,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T21:59:28+00:00,official_authority,https://www.cdc.gov/mmwr/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]","![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)
![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)

**Official websites use .gov**

A .gov website belongs to an official government organization in the United States.

![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg)

**Secure .gov websites use HTTPS**

A lock (  ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg)
![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-no",Centers for Disease Control and Prevention,,MMWR Home Page  | MMWR,True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]",page_metadata_or_text,national_public_health_agency,CDC measles cases United States 2025 surveillance NNDSS MMWR outbreak confirmed deaths hospitalizations,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_eaa906b768dd,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/mmwr/index.html,False,False,True,False,possibly_relevant,not_assessed,MMWR Home Page  | MMWR,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T21:59:28+00:00,unknown,https://libguides.mskcc.org/publichealth/measles2025,insufficient_information,,,live_search_result,not_assessed,libguides.mskcc.org,[],not_assessed,medium,unknown,False,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![MSK Logo](https://library.mskcc.org/themes/custom/msk_radix/build/assets/images/logo.svg)

# Library & Archives

# Public Health: U.S. Measles Outbreak 2025

## Measles Cases 2025

##### Measles Cases in the United States, 2025

###### 

###### **Confirmed Measles Cases**

|  |  |  |  |
| --- | --- | --- | --- |
| **Month** | **State (County/City)** | **Cases** | **Details** |
| **January** | | | |
|  | Rhode Island | [1](https://www.ri.gov/press/view/48669) | Unvaccinated child, international travel |
|  | Alaska (Southern Kenai Peninsula) | [1](https://health.alaska.gov/dph/Epi/Documents/p",,,Public Health: U.S. Measles Outbreak 2025 - MSK Library Guides,True,low,unknown,[],[],,,measles 2025 United States outbreak cases confirmed state health department ProMED HealthMap January February March,needs_human_review,fetch_only_after_review,needs_human_review,tavily,Tavily,1,Tavily,,src_search_74152a4ae4ab,direct_target_official_fast_path_skips_source_identity,assessed,domain:libguides_mskcc_org,,low,low,[],unknown,,[],https://libguides.mskcc.org/publichealth/measles2025,False,False,False,False,possibly_relevant,not_assessed,Public Health: U.S. Measles Outbreak 2025 - MSK Library Guides,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,News or aggregator source may summarize upstream official reporting,2026-06-25T21:59:28+00:00,secondary_aggregator,https://en.wikipedia.org/wiki/2025_Southwest_United_States_measles_outbreak,corroboration_support,,,live_search_result,not_assessed,en.wikipedia.org,[],not_assessed,medium,non_authority,True,True,,,False,source_identity_publisher_credibility_v1,,secondary_report,[],"![](/static/images/icons/enwiki-25.svg)
![Wikipedia](/static/images/mobile/copyright/wikipedia-wordmark-en-25.svg)
![The Free Encyclopedia](/static/images/mobile/copyright/wikipedia-tagline-en-25.svg)

## Contents

# 2025 Southwest United States measles outbreak

| 2025–26 United States measles outbreak | |
| --- | --- |
| Disease | [Measles](/wiki/Measles ""Measles"") |
| Pathogen | *[Measles morbillivirus](/wiki/Measles_morbillivirus ""Measles morbillivirus"")* |
| Location | [United States](/wiki/United_States ""United States"") ([Texas](/wiki/Texas ""Texas""), [New Mexico](/wiki/New_Mexico ""New Me",,,2025 Southwest United States measles outbreak - Wikipedia,True,low,secondary,[],[],,secondary_aggregator,measles 2025 United States outbreak cases confirmed state health department ProMED HealthMap January February March,extract_public_health_observations,fetch_for_extraction,collection_support,tavily,Tavily,2,Tavily,,src_search_14e93bfe3eec,direct_target_official_fast_path_skips_source_identity,assessed,domain:en_wikipedia_org,,low,high,"[""domain""]",secondary_aggregator,,[],https://en.wikipedia.org/wiki/2025_Southwest_United_States_measles_outbreak,False,False,False,False,possibly_relevant,not_assessed,2025 Southwest United States measles outbreak - Wikipedia,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
