actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/eggs-09-24/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Salmonella Outbreak Linked to Eggs - September 2024 - CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,Salmonella Outbreak Linked to Eggs - September 2024 - CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Salmonella Outbreak Linked to Eggs - September 2024 - CDC""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_29acec08996b,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/eggs-09-24/index.html,False,False,True,False,possibly_relevant,not_assessed,Salmonella Outbreak Linked to Eggs - September 2024 - CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/cucumbers-11-24/investigation.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Investigation Update: Salmonella Outbreak, Cucumbers, November 2024 | Salmonella Infection | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Investigation Update: Salmonella Outbreak, Cucumbers, November 2024 | Salmonella Infection | CDC",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Investigation Update: Salmonella Outbreak, Cucumbers, November 2024 | Salmonella Infection | CDC""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_d978f9d93b3b,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/cucumbers-11-24/investigation.html,False,False,True,False,possibly_relevant,not_assessed,"Investigation Update: Salmonella Outbreak, Cucumbers, November 2024 | Salmonella Infection | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/backyardpoultry-05-24/investigation.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Investigation Update: Salmonella Outbreak, Backyard Poultry - May 2024 | Salmonella Infection | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Investigation Update: Salmonella Outbreak, Backyard Poultry - May 2024 | Salmonella Infection | CDC",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Investigation Update: Salmonella Outbreak, Backyard Poultry - May 2024 | Salmonella Infection | CDC""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_341f243cf7df,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/backyardpoultry-05-24/investigation.html,False,False,True,False,possibly_relevant,not_assessed,"Investigation Update: Salmonella Outbreak, Backyard Poultry - May 2024 | Salmonella Infection | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/meats-01-24/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)\n![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)\n\nA **.gov** website belongs to an official government organization in the United States.\n\n![](/TemplatePackage/5.""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Salmonella Outbreak Linked to Charcuterie Meats, January 2024",True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)\n![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)\n\nA **.gov** website belongs to an official government organization in the United States.\n\n![](/TemplatePackage/5.""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_c8cadc78e2a8,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/meats-01-24/index.html,False,False,True,False,possibly_relevant,not_assessed,"Salmonella Outbreak Linked to Charcuterie Meats, January 2024",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/eggs-09-24/investigation.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)\n![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)\n\nA **.gov** website belongs to an official government organization in the United States.\n\n![](/TemplatePackage/5.""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Investigation Update: Salmonella Outbreak, Eggs - September 2024",True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)\n![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)\n\nA **.gov** website belongs to an official government organization in the United States.\n\n![](/TemplatePackage/5.""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_a5bc6c5400a7,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/eggs-09-24/investigation.html,False,False,True,False,possibly_relevant,not_assessed,"Investigation Update: Salmonella Outbreak, Eggs - September 2024",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]","![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)
![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)

**Official websites use .gov**

A .gov website belongs to an official government organization in the United States.

![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg)

**Secure .gov websites use HTTPS**

A lock (  ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg)
![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-no",Centers for Disease Control and Prevention,,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png)\n![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg)\n\n**Official websites use .gov**\n\nA .gov website belongs to an official government organization in""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_10ccb06f620d,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,False,False,True,False,possibly_relevant,not_assessed,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/foodborne-outbreaks/php/data-research/summary-2024.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Summary of Possible Multistate Enteric (Intestinal) Disease Outbreaks in 2024 | Foodborne Outbreaks | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)

**Related Topics:**

![Centers for Disease Control and",Centers for Disease Control and Prevention,,Summary of Possible Multistate Enteric (Intestinal) Disease Outbreaks in 2024 | Foodborne Outbreaks | CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Summary of Possible Multistate Enteric (Intestinal) Disease Outbreaks in 2024 | Foodborne Outbreaks | CDC""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_051378e10a24,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/foodborne-outbreaks/php/data-research/summary-2024.html,False,False,True,False,possibly_relevant,not_assessed,Summary of Possible Multistate Enteric (Intestinal) Disease Outbreaks in 2024 | Foodborne Outbreaks | CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/basil-04-24/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Salmonella Outbreak Linked to Fresh Basil, April 2024 - CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Salmonella Outbreak Linked to Fresh Basil, April 2024 - CDC",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Salmonella Outbreak Linked to Fresh Basil, April 2024 - CDC""]",page_metadata_or_text,national_public_health_agency,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths site:cdc.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_57e9dfd2a4f6,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/basil-04-24/index.html,False,False,True,False,possibly_relevant,not_assessed,"Salmonella Outbreak Linked to Fresh Basil, April 2024 - CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.marlerblog.com/case-news/e-coli-salmonella-listeria-oh-my,primary_case_claim_support,,,live_search_result,not_assessed,marlerblog.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""[Skip to content](#lxb_af-loop)\n\n[Search](#)\n\n# [Marler Blog](https://www.marlerblog.com)\n\nProviding Insight on Food Poisoning Outbreaks & Litigation\n\n[![Marler Blog logo](https://www.marlerblog.com/files/2025/08/bmarler""]","[Skip to content](#lxb_af-loop)

[Search](#)

# [Marler Blog](https://www.marlerblog.com)

Providing Insight on Food Poisoning Outbreaks & Litigation

[![Marler Blog logo](https://www.marlerblog.com/files/2025/08/bmarler-hdshot-m_v3-220x220.png)](https://www.marlerblog.com)

# [Marler Blog](https://www.marlerblog.com)

Providing Insight on Food Poisoning Outbreaks & Litigation



# E. coli, Salmonella, Listeria Oh My!

By [Bill Marler](http://www.marlerclark.com/lawyers/view/william-marler) on

Posted in [Case News](https://www.marlerblog.com/articles/case-news/)

2024 has been a long and wind",Centers for Disease Control and Prevention,,"E. coli, Salmonella, Listeria Oh My! | Marler Blog",True,high,primary_or_authoritative,"[""clean_text""]","[""[Skip to content](#lxb_af-loop)\n\n[Search](#)\n\n# [Marler Blog](https://www.marlerblog.com)\n\nProviding Insight on Food Poisoning Outbreaks & Litigation\n\n[![Marler Blog logo](https://www.marlerblog.com/files/2025/08/bmarler""]",page_metadata_or_text,official_public_health_agency,Salmonella outbreak United States cases hospitalizations 2024 May June July site:cdc.gov OR site:fda.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_5851bdcbd35f,direct_target_official_fast_path_skips_source_identity,assessed,domain:marlerblog_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.marlerblog.com/case-news/e-coli-salmonella-listeria-oh-my,False,False,True,False,possibly_relevant,not_assessed,"E. coli, Salmonella, Listeria Oh My! | Marler Blog",Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T16:06:59+00:00,official_authority,https://www.cdc.gov/salmonella/outbreaks/sproutedbeans-07-25/investigation.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Investigation Update: Salmonella Outbreak, July 2025 - CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Investigation Update: Salmonella Outbreak, July 2025 - CDC",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Investigation Update: Salmonella Outbreak, July 2025 - CDC""]",page_metadata_or_text,national_public_health_agency,Salmonella outbreak United States cases hospitalizations 2024 May June July site:cdc.gov OR site:fda.gov,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_057e55c5d693,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/salmonella/outbreaks/sproutedbeans-07-25/investigation.html,False,False,True,False,possibly_relevant,not_assessed,"Investigation Update: Salmonella Outbreak, July 2025 - CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
