actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
World Health Organization,needs_more_evidence; defer_decision,2024-10-01-2024-12-31,Cholera,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,Haiti,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - [PDF] Multi-country outbreak of cholera - World Health O...,[PDF] Multi-country outbreak of cholera - World Health Organization (WHO),https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250110_multi-country_outbreak-of-cholera_sitrep--22.pdf?sfvrsn=568bfb6d_3,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_803858403368_001_cases_unspecified; claim_rec_src_search_803858403368_002_deaths; claim_rec_src_search_9aefe8d01e47_001_cases_confirmed; claim_rec_src_search_9aefe8d01e47_001_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_cases_confirmed; claim_rec_src_search_9aefe8d01e47_002_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_deaths; claim_rec_src_search_8fb70e3827e3_001_cases_unspecified; claim_rec_src_search_8fb70e3827e3_002_deaths; src_search_803858403368; src_search_9aefe8d01e47; src_search_8fb70e3827e3; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
World Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-12-31,Cholera,"From 1 January to 29 Dec ember 2024 , Haiti documented 10 556 cholera cases and 162 deaths. For more detailed",validation_conflict_review,duplicate_event_clustering,Haiti,P0_critical,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_001 - [PDF] Multi-country outbreak of cholera - World Health Organization (WHO),[PDF] Multi-country outbreak of cholera - World Health Organization (WHO),https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250110_multi-country_outbreak-of-cholera_sitrep--22.pdf?sfvrsn=568bfb6d_3,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_803858403368_001; rec_src_search_803858403368_002; rec_src_search_8fb70e3827e3_001; rec_src_search_8fb70e3827e3_002; event_001,record,This review item requires human inspection before it should affect downstream interpretation.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-10-01-2024-12-31,Cholera,,claim_corroboration_review,anomaly,Haiti,P1_high,3,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_003 - event_001,,,review_cluster_canonical_count,"Is the claim independently corroborated, conflicting, or only single-source evidence?",event_001; anom_003,anomaly,Claim-level support is unresolved or depends on a single source.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,4,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_4f1e08e3f365 - Haïti : La résurgence du choléra menace les communautés ...,Haïti : La résurgence du choléra menace les communautés ...,https://www.hrw.org/fr/news/2025/11/05/haiti-la-resurgence-du-cholera-menace-les-communautes-vulnerables,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_4f1e08e3f365,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,5,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_505b2ac21551 - An Update of Cholera Cases as of 30th December 2024 ... - Fa...,An Update of Cholera Cases as of 30th December 2024 ... - Facebook,https://www.facebook.com/malawimoh/posts/an-update-of-cholera-cases-as-of-30th-december-2024ministryofhealth/905170445128563,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_505b2ac21551,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,6,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_5b9b31558c67 - Haiti Country Report - Cholera Taxonomy,Haiti Country Report - Cholera Taxonomy,https://cholera-taxonomy.middle-distance.com/locations/648/country_report,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_5b9b31558c67,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,7,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_664c22f9e3a2 - Élimination du choléra en Haïti | The Global Alliance Agains...,Élimination du choléra en Haïti | The Global Alliance Against Cholera (G.A.A.C),https://www.choleraalliance.org/fr/actualites/elimination-du-cholera-haiti,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_664c22f9e3a2,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,8,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_8929f93c6a7e - Multi-Country Outbreak of Cholera, External Situation Report...","Multi-Country Outbreak of Cholera, External Situation Report #21 ...",https://reliefweb.int/report/democratic-republic-congo/multi-country-outbreak-cholera-external-situation-report-21-published-18-december-2024,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_8929f93c6a7e,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_a0ed0f2ccd87 - Cholera, Haiti - BEACON","Cholera, Haiti - BEACON",https://beaconbio.org/en/event?eventid=4608b346-c917-4783-9f7d-e6e9af15cb65,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_a0ed0f2ccd87,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,10,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_bd6f7e5cf18e - 2 February 2024 cholera update - Facebook,2 February 2024 cholera update - Facebook,https://www.facebook.com/mohzambia/posts/2-february-2024-cholera-update/802242431943276,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_bd6f7e5cf18e,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,11,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_c853598f6ecb - Surveillance du choléra en Haïti – GTFCC,Surveillance du choléra en Haïti – GTFCC,https://www.gtfcc.org/fr/news/surveillance-du-cholera-en-haiti,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_c853598f6ecb,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,,source_credibility_review,source_credibility,Haiti,P2_medium,12,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source credibility review - review_source_credibility_src_search_103c81f1c004 - [PDF] CHOLERA SURVEILLANCE IN HAITI OCTOBER 2022- MAY 2024,[PDF] CHOLERA SURVEILLANCE IN HAITI OCTOBER 2022- MAY 2024,https://www.gtfcc.org/wp-content/uploads/2024/09/9th-meeting-of-gtfcc-working-group-on-epidemiology-2024-pierre.pdf,Review source registry and source credibility/source critic outputs.,"Should this source be collection, support, context, or excluded?",src_search_103c81f1c004,source,Source credibility affects whether evidence should support collection or only context.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-10-01-2024-12-31,Cholera,"Task-relevant source text appeared to contain core epidemiology metric signals, but extraction produced no structured records.",general_review,core_metric_extraction_gap,Haiti,P3_low,13,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,general review - review_core_metric_gap_src_search_17fe4af3bf55 - Cholera trends – GTFCC,Cholera trends – GTFCC,https://www.gtfcc.org/about-cholera/cholera-trends,review_source_for_core_metric_extraction,"What decision, if any, should a human reviewer record?",src_search_17fe4af3bf55,source,This review item requires human inspection before it should affect downstream interpretation.
