anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,deaths_without_case_reference,record,deaths,2025-04-04,deterministic_anomaly_detection,Measles,,"As of April 4, 481 cases of measles have been confirmed in the outbreak since late January. Most of the cases are in children. Fifty-six people have been hospitalized over the course of the outbreak.",,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_65e6340a3a24_003,[],low,src_search_65e6340a3a24,"[""src_search_65e6340a3a24""]","[""https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak""]",,,"[""insufficient_case_reference""]"
anom_002,open,deaths_without_case_reference,record,deaths,2025-08-12,deterministic_anomaly_detection,Measles,,[DSHS News Release – Feb. 26 Texas Announces First Death in Measles Outbreak](/news-alerts/texas-announces-first-death-measles-outbreak),,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_3e232b5b243d_002,[],low,src_search_3e232b5b243d,"[""src_search_3e232b5b243d""]","[""https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025""]",,,"[""insufficient_case_reference""]"
anom_003,open,deaths_without_case_reference,record,deaths,2025-04-30,deterministic_anomaly_detection,Measles,,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |",,[],,Americas Region,False,32.0,deaths present but no comparable case count is available,human_review,rec_src_search_8242cbb785a1_002,[],low,src_search_8242cbb785a1,"[""src_search_8242cbb785a1""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",,,"[""insufficient_case_reference""]"
anom_004,open,deaths_without_case_reference,record,deaths,2025-04-30,deterministic_anomaly_detection,Measles,,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region.  The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664), and Canada (n= 733), with ongoing transmission documented in Bolivia and other countries across the Region.  All age groups are affected; however, the highest number of cases has been reported among children, particularly those aged 1–9 years, followed by children and adolescents aged 10–19 years. Incidence rates are highest among children under one year of age.  A substantial proportion of cases occur among unvaccinated individuals, with available data indicating that approximately two-thirds of confirmed cases have no documented history of measles vaccination. |",,[],,Americas Region,False,32.0,deaths present but no comparable case count is available,human_review,rec_src_search_6e578fc529e9_002,[],low,src_search_6e578fc529e9,"[""src_search_6e578fc529e9""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",,,"[""insufficient_case_reference""]"
anom_005,open,deaths_without_case_reference,record,deaths,2025-04-30,deterministic_anomaly_detection,Measles,,"Decreases in measles vaccination coverage worldwide have increased the risk for larger measles outbreaks, especially in undervaccinated communities ([About Measles | CDC](https://www.cdc.gov/measles/about/index.html#cdc_disease_basics_population-who-is-at-risk)). On August 18, 2025, the [Texas measles outbreak was declared over](https://www.dshs.texas.gov/news-alerts/texas-announces-end-west-texas-measles-outbreak), having comprised 762 confirmed cases, 99 hospitalizations, and a second measles-associated death. Although the source of this outbreak remains unknown, internationally imported cases have been associated with outbreaks among other close-knit U.S. communities with low vaccination coverage (*3*,*4*). High population coverage with 2 MMR vaccine doses is the most effective public health intervention for preventing measles ([Measles Vaccination | CDC](https://www.cdc.gov/measles/vaccines/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fvaccines%2Fvpd%2Fmmr%2Fpublic%2Findex.html)).",,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_fede8be6ac1e_004,[],low,src_search_fede8be6ac1e,"[""src_search_fede8be6ac1e""]","[""https://www.cdc.gov/mmwr/volumes/75/wr/mm7523a2.htm""]",,,"[""insufficient_case_reference""]"
anom_006,open,deaths_without_case_reference,record,deaths,2025-04-30,deterministic_anomaly_detection,Measles,,| Death | 1 (1.9) |,,[],,Texas,False,1.0,deaths present but no comparable case count is available,human_review,rec_src_search_4e73f2d0f38f_004,[],low,src_search_4e73f2d0f38f,"[""src_search_4e73f2d0f38f""]","[""https://www.cdc.gov/mmwr/volumes/75/wr/mm7520a1.htm""]",,,"[""insufficient_case_reference""]"
anom_007,open,out_of_scope_count_bearing_record,validation_result,task_scope,2025 (full year),deterministic_anomaly_detection,Measles,event_001,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |","{""disease"": ""Measles"", ""location"": ""Texas"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Americas Region,True,"{""disease"": ""Measles"", ""location"": ""Americas Region"", ""date_or_period"": ""2025 (full year)""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_8242cbb785a1""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",,val_result_008,"[""outside_geography""]"
anom_008,open,out_of_scope_count_bearing_record,validation_result,task_scope,2025 (full year),deterministic_anomaly_detection,Measles,event_001,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |","{""disease"": ""Measles"", ""location"": ""Texas"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Americas Region,True,"{""disease"": ""Measles"", ""location"": ""Americas Region"", ""date_or_period"": ""2025 (full year)""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_8242cbb785a1""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",,val_result_009,"[""outside_geography""]"
anom_009,open,out_of_scope_count_bearing_record,validation_result,task_scope,Full year 2025,deterministic_anomaly_detection,Measles,event_010,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region.  The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664), and Canada (n= 733), with ongoing transmission documented in Bolivia and other countries across the Region.  All age groups are affected; however, the highest number of cases has been reported among children, particularly those aged 1–9 years, followed by children and adolescents aged 10–19 years. Incidence rates are highest among children under one year of age.  A substantial proportion of cases occur among unvaccinated individuals, with available data indicating that approximately two-thirds of confirmed cases have no documented history of measles vaccination. |","{""disease"": ""Measles"", ""location"": ""Texas"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Americas Region,True,"{""disease"": ""Measles"", ""location"": ""Americas Region"", ""date_or_period"": ""Full year 2025""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6e578fc529e9""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",,val_result_010,"[""outside_geography""]"
anom_010,open,out_of_scope_count_bearing_record,validation_result,task_scope,Full year 2025,deterministic_anomaly_detection,Measles,event_010,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region.  The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664), and Canada (n= 733), with ongoing transmission documented in Bolivia and other countries across the Region.  All age groups are affected; however, the highest number of cases has been reported among children, particularly those aged 1–9 years, followed by children and adolescents aged 10–19 years. Incidence rates are highest among children under one year of age.  A substantial proportion of cases occur among unvaccinated individuals, with available data indicating that approximately two-thirds of confirmed cases have no documented history of measles vaccination. |","{""disease"": ""Measles"", ""location"": ""Texas"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Americas Region,True,"{""disease"": ""Measles"", ""location"": ""Americas Region"", ""date_or_period"": ""Full year 2025""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6e578fc529e9""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",,val_result_011,"[""outside_geography""]"
