apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_b11655490f96,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_b11655490f96,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_b11655490f96 - How did COVID-19 affect people in New York? | USAFacts,https://usafacts.org/answers/how-did-covid-19-affect-people-in-the-us/state/new-york,src_search_b11655490f96,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_d5900bb8aa62,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_d5900bb8aa62,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_d5900bb8aa62 - COVID-19 pandemic in the United States - Wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States,src_search_d5900bb8aa62,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_f1a19efce8d2,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_f1a19efce8d2,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_f1a19efce8d2 - New York State COVID update on Thursday, Jan. 20 - Facebook",https://www.facebook.com/wten.albany/posts/new-york-state-covid-update-on-thursday-jan-20/10166417185515195,src_search_f1a19efce8d2,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_000e4ff17a91,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_000e4ff17a91,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_000e4ff17a91 - GitHub - nychealth/coronavirus-data: This repository contain...,https://github.com/nychealth/coronavirus-data,src_search_000e4ff17a91,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_0af03f2493e8,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_0af03f2493e8,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_0af03f2493e8 - COVID-19 Daily Counts of Cases, Hospitalizations, and ...",http://catalog.data.gov/dataset/covid-19-daily-counts-of-cases-hospitalizations-and-deaths,src_search_0af03f2493e8,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_478ca202141b,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_478ca202141b,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_478ca202141b - United States COVID - Coronavirus Statistics - Worldometer,https://www.worldometers.info/coronavirus/country/us,src_search_478ca202141b,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_58fde24d715b,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_58fde24d715b,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_58fde24d715b - Track Covid-19 in the U.S.: Latest Data and Maps - ny times,https://www.nytimes.com/interactive/2023/us/covid-cases.html,src_search_58fde24d715b,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_5ce266c03958,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_5ce266c03958,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_5ce266c03958 - COVID | NYC Open Data,https://data.cityofnewyork.us/Health/COVID/y5z2-enr7,src_search_5ce266c03958,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_650359dcfc71,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_650359dcfc71,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_650359dcfc71 - COVID-19 Daily Counts of Cases, Hospitalizations, and Deaths",https://data.cityofnewyork.us/Health/COVID-19-Daily-Counts-of-Cases-Hospitalizations-an/rc75-m7u3,src_search_650359dcfc71,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_68678448bb04,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_68678448bb04,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_68678448bb04 - New York - COVID-19 Overview - Johns Hopkins,https://coronavirus.jhu.edu/region/us/new-york,src_search_68678448bb04,source
