actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
"[""Centers for Disease Control and Prevention""]",,[],corr_event_001,0.7,Claim group classified as insufficient_information.,insufficient_information,,unspecified,United States of America,2025-03-31,Measles,event_012,,1,,False,ambiguous_public_health_observation,1,False,claim_rec_src_search_eaa906b768dd_001_observation,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_eaa906b768dd""]","[""publisher:centers_for_disease_control_and_prevention""]","[""https://www.cdc.gov/mmwr/index.html""]",,New Mexico,"[""claim_rec_src_search_eaa906b768dd_001_observation""]",[],[]
"[""Centers for Disease Control and Prevention""]",2255.0,[],corr_event_002,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2026-01-30,Measles,event_009,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,2,False,claim_rec_src_search_cd5fb2750261_001_cases_confirmed,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_cd5fb2750261""]","[""domain:forbes_com""]","[""https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record""]",annual,,"[""claim_rec_src_search_cd5fb2750261_001_cases_confirmed"", ""claim_rec_src_search_cd5fb2750261_002_cases_confirmed""]","[""claim_rec_src_search_cd5fb2750261_001_cases_confirmed"", ""claim_rec_src_search_cd5fb2750261_002_cases_confirmed""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",14503.0,[],corr_event_003,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_004,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,3,False,claim_rec_src_search_8242cbb785a1_001_cases_confirmed,"[""Pan American Health Organization""]",0,"[""src_search_8242cbb785a1""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",annual,,"[""claim_rec_src_search_8242cbb785a1_001_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_001_deaths"", ""claim_rec_src_search_8242cbb785a1_002_deaths""]","[""claim_rec_src_search_8242cbb785a1_001_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_001_deaths"", ""claim_rec_src_search_8242cbb785a1_002_deaths""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",1792.0,[],corr_event_004,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_007,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,2,False,claim_rec_src_search_8242cbb785a1_003_cases_confirmed,"[""Pan American Health Organization""]",0,"[""src_search_8242cbb785a1"", ""src_search_6e578fc529e9""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region"", ""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",cumulative,,"[""claim_rec_src_search_8242cbb785a1_003_cases_confirmed"", ""claim_rec_src_search_6e578fc529e9_003_cases_confirmed""]","[""claim_rec_src_search_8242cbb785a1_003_cases_confirmed"", ""claim_rec_src_search_6e578fc529e9_003_cases_confirmed""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",14503.0,[],corr_event_005,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_003,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,3,False,claim_rec_src_search_6e578fc529e9_001_cases_confirmed,"[""Pan American Health Organization""]",0,"[""src_search_6e578fc529e9""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",annual,,"[""claim_rec_src_search_6e578fc529e9_001_cases_confirmed"", ""claim_rec_src_search_6e578fc529e9_001_deaths"", ""claim_rec_src_search_6e578fc529e9_002_deaths""]","[""claim_rec_src_search_6e578fc529e9_001_cases_confirmed"", ""claim_rec_src_search_6e578fc529e9_001_deaths"", ""claim_rec_src_search_6e578fc529e9_002_deaths""]","[""single_source_unverified""]"
"[""Centers for Disease Control and Prevention""]",762.0,"[""claim_rec_src_search_fede8be6ac1e_001_cases_confirmed"", ""claim_rec_src_search_fede8be6ac1e_002_hospitalizations"", ""claim_rec_src_search_831265159816_007_cases_confirmed"", ""claim_rec_src_search_831265159816_016_cases_confirmed"", ""claim_rec_src_search_831265159816_019_cases_unspecified"", ""claim_rec_src_search_831265159816_024_cases_unspecified"", ""claim_rec_src_search_831265159816_025_cases_unspecified"", ""claim_rec_src_search_831265159816_026_cases_unspecified"", ""claim_rec_src_search_831265159816_027_cases_unspecified"", ""claim_rec_src_search_831265159816_029_cases_unspecified"", ""claim_rec_src_search_831265159816_031_cases_unspecified"", ""claim_rec_src_search_831265159816_033_cases_unspecified"", ""claim_rec_src_search_831265159816_035_cases_confirmed"", ""claim_rec_src_search_831265159816_037_cases_unspecified"", ""claim_rec_src_search_831265159816_038_cases_unspecified"", ""claim_rec_src_search_831265159816_043_cases_unspecified"", ""claim_rec_src_search_831265159816_049_cases_confirmed"", ""claim_rec_src_search_831265159816_050_cases_unspecified"", ""claim_rec_src_search_831265159816_051_cases_unspecified"", ""claim_rec_src_search_831265159816_052_cases_unspecified"", ""claim_rec_src_search_831265159816_053_cases_unspecified"", ""claim_rec_src_search_831265159816_055_cases_unspecified"", ""claim_rec_src_search_831265159816_056_cases_confirmed"", ""claim_rec_src_search_831265159816_057_cases_unspecified"", ""claim_rec_src_search_831265159816_059_cases_unspecified"", ""claim_rec_src_search_831265159816_060_cases_unspecified"", ""claim_rec_src_search_831265159816_061_cases_unspecified"", ""claim_rec_src_search_831265159816_062_cases_unspecified"", ""claim_rec_src_search_831265159816_005_hospitalizations"", ""claim_rec_src_search_831265159816_008_hospitalizations"", ""claim_rec_src_search_831265159816_017_hospitalizations"", ""claim_rec_src_search_831265159816_018_hospitalizations"", ""claim_rec_src_search_831265159816_021_hospitalizations"", ""claim_rec_src_search_831265159816_023_hospitalizations"", ""claim_rec_src_search_831265159816_029_hospitalizations"", ""claim_rec_src_search_831265159816_030_hospitalizations"", ""claim_rec_src_search_831265159816_032_hospitalizations"", ""claim_rec_src_search_831265159816_036_hospitalizations"", ""claim_rec_src_search_831265159816_039_hospitalizations"", ""claim_rec_src_search_831265159816_053_hospitalizations"", ""claim_rec_src_search_831265159816_054_hospitalizations"", ""claim_rec_src_search_831265159816_059_hospitalizations""]",corr_event_006,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_018,Comparable public-health claims conflict and require review.,2,,True,confirmed_case_record,64,False,claim_rec_src_search_fede8be6ac1e_001_cases_confirmed,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_fede8be6ac1e"", ""src_search_831265159816""]","[""publisher:centers_for_disease_control_and_prevention"", ""domain:respiratory_therapy_com""]","[""https://www.cdc.gov/mmwr/volumes/75/wr/mm7523a2.htm"", ""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",cumulative,Texas,"[""claim_rec_src_search_fede8be6ac1e_003_deaths"", ""claim_rec_src_search_831265159816_001_cases_unspecified"", ""claim_rec_src_search_831265159816_001_deaths"", ""claim_rec_src_search_831265159816_001_hospitalizations"", ""claim_rec_src_search_831265159816_002_deaths"", ""claim_rec_src_search_831265159816_003_hospitalizations"", ""claim_rec_src_search_831265159816_004_cases_unspecified"", ""claim_rec_src_search_831265159816_006_observation"", ""claim_rec_src_search_831265159816_010_observation"", ""claim_rec_src_search_831265159816_011_observation"", ""claim_rec_src_search_831265159816_012_cases_confirmed"", ""claim_rec_src_search_831265159816_012_deaths"", ""claim_rec_src_search_831265159816_012_hospitalizations"", ""claim_rec_src_search_831265159816_013_hospitalizations"", ""claim_rec_src_search_831265159816_014_deaths"", ""claim_rec_src_search_831265159816_015_cases_confirmed"", ""claim_rec_src_search_831265159816_020_observation"", ""claim_rec_src_search_831265159816_022_deaths"", ""claim_rec_src_search_831265159816_028_observation"", ""claim_rec_src_search_831265159816_040_deaths"", ""claim_rec_src_search_831265159816_044_observation"", ""claim_rec_src_search_831265159816_063_cases_unspecified""]",[],"[""conflicting_claims""]"
"[""Centers for Disease Control and Prevention""]",800.0,"[""claim_rec_src_search_3109afb35d90_001_cases_confirmed"", ""claim_rec_src_search_3109afb35d90_002_cases_unspecified"", ""claim_rec_src_search_3109afb35d90_003_cases_unspecified"", ""claim_rec_src_search_3109afb35d90_004_cases_unspecified"", ""claim_rec_src_search_831265159816_034_cases_unspecified"", ""claim_rec_src_search_831265159816_048_cases_unspecified""]",corr_event_007,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_053,Comparable public-health claims conflict and require review.,2,,True,confirmed_case_record,6,False,claim_rec_src_search_3109afb35d90_001_cases_confirmed,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_3109afb35d90"", ""src_search_831265159816""]","[""publisher:centers_for_disease_control_and_prevention"", ""domain:respiratory_therapy_com""]","[""https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm"", ""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",cumulative,,[],[],"[""conflicting_claims""]"
[],2.0,[],corr_event_008,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,deaths,death_count,United States of America,2025-03-31,Measles,event_005,Primary case claim has no independent corroborating source.,1,,True,death_record,3,False,claim_rec_src_search_78fdd46eb63c_001_deaths,[],0,"[""src_search_78fdd46eb63c""]","[""domain:arcgis_com""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a""]",cumulative,,"[""claim_rec_src_search_78fdd46eb63c_001_deaths"", ""claim_rec_src_search_78fdd46eb63c_002_deaths"", ""claim_rec_src_search_78fdd46eb63c_004_deaths""]","[""claim_rec_src_search_78fdd46eb63c_001_deaths"", ""claim_rec_src_search_78fdd46eb63c_002_deaths"", ""claim_rec_src_search_78fdd46eb63c_004_deaths""]","[""single_source_unverified""]"
[],1.0,[],corr_event_009,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,deaths,death_count,United States of America,2025-03-06,Measles,event_010,Primary case claim has no independent corroborating source.,1,,True,death_record,1,False,claim_rec_src_search_78fdd46eb63c_003_deaths,[],0,"[""src_search_78fdd46eb63c""]","[""domain:arcgis_com""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a""]",newly_reported,New Mexico,"[""claim_rec_src_search_78fdd46eb63c_003_deaths""]","[""claim_rec_src_search_78fdd46eb63c_003_deaths""]","[""single_source_unverified""]"
[],403.0,[],corr_event_010,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_016,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,1,False,claim_rec_src_search_831265159816_009_cases_confirmed,[],0,"[""src_search_831265159816""]","[""domain:respiratory_therapy_com""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",cumulative,Texas — Gaines County,"[""claim_rec_src_search_831265159816_009_cases_confirmed""]","[""claim_rec_src_search_831265159816_009_cases_confirmed""]","[""single_source_unverified""]"
