apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_001,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_001,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_claim_corroboration_review_corr_event_001 - Cholera outbreak in Haiti persists, particularly in sites...",https://beaconbio.org/en/report?reportid=e1816dc5-50ab-41c0-90df-bde8617d2d78&eventid=4608b346-c917-4783-9f7d-e6e9af15cb65&locations=aaa9ccfe-ddd5-43a6-93cc-f7ea1f40330c,claim_rec_src_search_9aefe8d01e47_001_cases_confirmed; claim_rec_src_search_9aefe8d01e47_001_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_cases_confirmed; claim_rec_src_search_9aefe8d01e47_002_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_deaths; src_search_9aefe8d01e47; corr_event_001,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_9551dc7b0b7e,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_9551dc7b0b7e,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_9551dc7b0b7e - Situation Report In 2024, humanitarian partners & the Govt....",https://x.com/OCHA_Ethiopia/status/1901624800289665470,src_search_9551dc7b0b7e,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_25902466ae28,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_25902466ae28,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_25902466ae28 - UNICEF Haiti Humanitarian Situation Report No. 3: 1 to 30 Ap...,https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-3-1-30-april-2024,src_search_25902466ae28,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_42c6ab0993b9,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_42c6ab0993b9,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_42c6ab0993b9 - UNICEF Haiti Humanitarian Situation Report No. 7, 1 July-30 ...",https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-7-1-july-30-september-2025,src_search_42c6ab0993b9,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_52b7f0d4d92b,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_52b7f0d4d92b,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_52b7f0d4d92b - UNICEF Haiti Humanitarian Situation Report No. 6: Mid-Year 2025,https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-6-mid-year-2025,src_search_52b7f0d4d92b,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_6dc5eabed325,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_6dc5eabed325,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_6dc5eabed325 - Water Insecurity, Sociopolitical Instability, and Resurgence...",https://www.ajtmh.org/view/journals/tpmd/113/3/article-p689.xml,src_search_6dc5eabed325,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_76ddaf069a83,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_76ddaf069a83,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_76ddaf069a83 - [PDF] Haiti - UNICEF,https://www.unicef.org/media/164411/file/Haiti-Humanitarian-SitRep-September-2024.pdf,src_search_76ddaf069a83,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_802ab0048156,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_802ab0048156,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_802ab0048156 - Haiti: Cholera - Reports - ReliefWeb Response,https://response.reliefweb.int/haiti/cholera/reports,src_search_802ab0048156,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_9aefe8d01e47,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_9aefe8d01e47,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_9aefe8d01e47 - Cholera outbreak in Haiti persists, particularly in sites .....",https://beaconbio.org/en/report?reportid=e1816dc5-50ab-41c0-90df-bde8617d2d78&eventid=4608b346-c917-4783-9f7d-e6e9af15cb65&locations=aaa9ccfe-ddd5-43a6-93cc-f7ea1f40330c,src_search_9aefe8d01e47,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_b3f2bb1a4939,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_b3f2bb1a4939,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_b3f2bb1a4939 - UNICEF Haiti Humanitarian Situation Report No. 9: October 2024,https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-9-october-2024,src_search_b3f2bb1a4939,source
