actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-09-29-2024-10-05,Influenza,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_002 - Weekly US Influenza Surveillance Report: Key Updates for...,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_ff1cee7a6f74_008_cases_unspecified; src_search_ff1cee7a6f74; corr_event_002,claim,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-09-28,Influenza,"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_001 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_002; rec_src_search_ff1cee7a6f74_005; rec_src_search_ff1cee7a6f74_006; event_001,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza,"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_002 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_012; rec_src_search_ff1cee7a6f74_014; event_002,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza,"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_001; rec_src_search_ff1cee7a6f74_003; rec_src_search_ff1cee7a6f74_004; event_003,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza,"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_004 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_011; rec_src_search_ff1cee7a6f74_013; event_004,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza,• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_005 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_007; event_005,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza,The percentage of emergency department (ED) visits with a discharge diagnosis of influenza reported in NSSP was 0.2% overall during Week 40. This week's percentage remained stable overall and among all age groups compared to the previous week.,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_006 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_009; event_006,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza,No influenza-associated pediatric deaths occurring during the 2024-2025 season have been reported to CDC.,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_007 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_010; event_007,record,Claim-level support is unresolved or depends on a single source.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,Influenza,,source_identity_review,source_credibility,United States,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_50b73d583e75 - US CDC says 2025-26 flu season 'moderately severe' as cases...,US CDC says 2025-26 flu season 'moderately severe' as cases hit ...,https://www.reuters.com/business/healthcare-pharmaceuticals/us-cdc-says-2025-26-flu-season-moderately-severe-cases-hit-11-million-2026-01-05,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_50b73d583e75,source,Publisher or source identity uncertainty can affect source independence and credibility.
Pan American Health Organization,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,Influenza,"Task-relevant source text appeared to contain core epidemiology metric signals, but extraction produced no structured records.",general_review,core_metric_extraction_gap,United States,P3_low,10,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"general review - review_core_metric_gap_src_search_1b15a2673061 - Regional Update, Influenza and Other Respiratory Viruses. Epidemiologic...","Regional Update, Influenza and Other Respiratory Viruses. Epidemiological Week 40 (11 October 2024) - PAHO/WHO | Pan American Health Organization",https://www.paho.org/en/documents/regional-update-influenza-and-other-respiratory-viruses-epidemiological-week-40-11,review_source_for_core_metric_extraction,"What decision, if any, should a human reviewer record?",src_search_1b15a2673061,source,This review item requires human inspection before it should affect downstream interpretation.
