actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2025-06-01-2025-06-30,Dengue,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,Florida,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_002 - Dengue in Florida: What to know - Emerging Pathogens Ins...,Dengue in Florida: What to know - Emerging Pathogens Institute,https://epi.ufl.edu/2025/06/24/dengue-in-florida-what-to-know,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_1298a67f3fad_001_cases_unspecified; claim_rec_src_search_1298a67f3fad_002_cases_unspecified; claim_rec_src_search_752899844c7d_001_cases_unspecified; claim_rec_src_search_752899844c7d_002_cases_unspecified; claim_rec_src_search_752899844c7d_003_cases_unspecified; claim_rec_src_search_53763309bf94_001_cases_unspecified; claim_rec_src_search_ce6ce02a80f2_001_cases_unspecified; claim_rec_src_search_ce6ce02a80f2_002_cases_unspecified; claim_rec_src_search_ce6ce02a80f2_003_cases_unspecified; claim_rec_src_search_ce6ce02a80f2_004_cases_unspecified; claim_rec_src_search_ce6ce02a80f2_005_cases_unspecified; claim_rec_src_search_ce6ce02a80f2_011_cases_unspecified; claim_rec_src_search_19aff7ba1bc3_001_cases_unspecified; claim_rec_src_search_19aff7ba1bc3_002_cases_unspecified; claim_rec_src_search_19aff7ba1bc3_003_cases_unspecified; claim_rec_src_search_19aff7ba1bc3_004_cases_unspecified; claim_rec_src_search_84acc76573c8_001_cases_unspecified; claim_rec_src_search_84acc76573c8_002_cases_unspecified; claim_rec_src_search_84acc76573c8_003_cases_unspecified; claim_rec_src_search_e1219da5b350_001_cases_unspecified; claim_rec_src_search_e1219da5b350_002_cases_unspecified; claim_rec_src_search_e1219da5b350_003_cases_unspecified; src_search_53763309bf94; src_search_ce6ce02a80f2; src_search_19aff7ba1bc3; src_search_84acc76573c8; src_search_1298a67f3fad; src_search_e1219da5b350; src_search_752899844c7d; corr_event_002,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-06-30,Dengue,"[In 2024](https://www.cdc.gov/dengue/data-research/facts-stats/historic-data.html), Florida reported 1,044 local and travel-associated cases of dengue, the most in the continental U.S., with California following with 719 cases.",possible_primary_case_evidence,duplicate_event_clustering,Florida,P0_critical,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_015 - Dengue in Florida: What to know - Emerging Pathogens Institute,Dengue in Florida: What to know - Emerging Pathogens Institute,https://epi.ufl.edu/2025/06/24/dengue-in-florida-what-to-know,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_53763309bf94_001; event_015,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
floridahealth.gov,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-06-30,Dengue,"international travel . In 2025, 81 travel -associated dengue cases have been reported .",possible_primary_case_evidence,duplicate_event_clustering,Florida,P0_critical,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_016 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_ce6ce02a80f2_001; rec_src_search_ce6ce02a80f2_003; event_016,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
floridahealth.gov,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-06-30,Dengue,"Volusia . Four case s were reported in non -Florida resident s. In 2025, sixty -seven cases of dengue reported in",possible_primary_case_evidence,duplicate_event_clustering,Florida,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_018 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_ce6ce02a80f2_004; rec_src_search_ce6ce02a80f2_005; event_018,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
floridahealth.gov,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-06-01-2025-06-30,Dengue,"1 Florida Arbovirus Surveillance Week 26: June 23-29, 2024 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV) and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 23-29, 2024, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. No mosquito pools tested positive for WNV this...",validation_conflict_review,anomaly,Florida,P0_critical,5,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_005 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2024-26-arbovirus-surveillance.pdf,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_752899844c7d; event_002; anom_005; val_result_045,anomaly,This review item requires human inspection before it should affect downstream interpretation.
floridahealth.gov,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-06-01-2025-06-30,Dengue,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26...",validation_conflict_review,anomaly,Florida,P0_critical,6,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_006 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_19aff7ba1bc3; event_003; anom_006; val_result_047,anomaly,This review item requires human inspection before it should affect downstream interpretation.
floridahealth.gov,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-06-01-2025-06-30,Dengue,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26...",validation_conflict_review,anomaly,Florida,P0_critical,7,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_007 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_19aff7ba1bc3; event_003; anom_007; val_result_048,anomaly,This review item requires human inspection before it should affect downstream interpretation.
floridahealth.gov,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-06-01-2025-06-30,Dengue,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26...",validation_conflict_review,anomaly,Florida,P0_critical,8,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_008 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_19aff7ba1bc3; event_005; anom_008; val_result_051,anomaly,This review item requires human inspection before it should affect downstream interpretation.
floridahealth.gov,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-06-01-2025-06-30,Dengue,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26...",validation_conflict_review,anomaly,Florida,P0_critical,9,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_009 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_19aff7ba1bc3; event_005; anom_009; val_result_052,anomaly,This review item requires human inspection before it should affect downstream interpretation.
floridahealth.gov,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-06-01-2025-06-30,Dengue,"1 Florida Arbovirus Surveillance Week 25: June 15-21, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 15-21, 2025, the following arboviral activity was recorded in Florida. WNV activity: One human case of WNV infection was reported this week in St. Johns County. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples f...",validation_conflict_review,anomaly,Florida,P0_critical,10,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_010 - [PDF] Florida Arbovirus Surveillance,[PDF] Florida Arbovirus Surveillance,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-25-arbovirus-surveillance.pdf,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_84acc76573c8; event_006; anom_010; val_result_054,anomaly,This review item requires human inspection before it should affect downstream interpretation.
