actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2024-08-01-2024-08-31,West Nile virus,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,California,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Arbobulletin_2024_7.pdf,Arbobulletin_2024_7.pdf,https://westnile.ca.gov/download?download_id=4980,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_fc3322f3069f_001_deaths; claim_rec_src_search_be93a6fa0503_005_deaths; claim_rec_src_search_ccc444806280_001_cases_unspecified; claim_rec_src_search_ccc444806280_002_cases_unspecified; claim_rec_src_search_a39e4fa28013_001_cases_unspecified; claim_rec_src_search_a39e4fa28013_002_cases_unspecified; claim_rec_src_search_a39e4fa28013_003_cases_unspecified; claim_rec_src_search_a39e4fa28013_004_cases_unspecified; claim_rec_src_search_a39e4fa28013_005_cases_unspecified; claim_rec_src_search_fc3322f3069f_001_cases_unspecified; claim_rec_src_search_be93a6fa0503_001_cases_unspecified; claim_rec_src_search_be93a6fa0503_005_cases_unspecified; claim_rec_src_search_be93a6fa0503_006_cases_unspecified; claim_rec_src_search_be93a6fa0503_007_cases_unspecified; claim_rec_src_search_be93a6fa0503_008_cases_unspecified; claim_rec_src_search_be93a6fa0503_009_cases_unspecified; claim_rec_src_search_be93a6fa0503_010_cases_unspecified; claim_rec_src_search_99932da268a1_001_cases_unspecified; src_search_ccc444806280; src_search_a39e4fa28013; src_search_fc3322f3069f; src_search_be93a6fa0503; src_search_99932da268a1; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,California (123),primary_case_dataset_blocker,record_linking,California,P0_critical,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_010 - 2024 Mosquito-Borne Disease Year In Review,2024 Mosquito-Borne Disease Year In Review,https://www.vdci.net/blog/2024-mosquito-borne-disease-year-in-review,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_99932da268a1_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",primary_case_dataset_blocker,record_linking,California,P0_critical,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_011 - Westnile.ca.gov | California West Nile Virus Website,Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_fc3322f3069f_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,Human Cases Week 9 0 0,primary_case_dataset_blocker,record_linking,California,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_016 - Arbobulletin_2024_29.pdf,Arbobulletin_2024_29.pdf,https://westnile.ca.gov/download?download_id=5061,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_a39e4fa28013_003,record,This item can change whether a record is eligible for the primary case dataset.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,California (123),primary_case_dataset_blocker,record_normalization,California,P0_critical,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_normalization_rec_src_search_99932da268a1_001 - 2024 Mosquito-Borne Disease Year In Review,2024 Mosquito-Borne Disease Year In Review,https://www.vdci.net/blog/2024-mosquito-borne-disease-year-in-review,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_99932da268a1_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,Human Cases Week 9 0 0,primary_case_dataset_blocker,record_normalization,California,P0_critical,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_normalization_rec_src_search_a39e4fa28013_003 - Arbobulletin_2024_29.pdf,Arbobulletin_2024_29.pdf,https://westnile.ca.gov/download?download_id=5061,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_a39e4fa28013_003,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",primary_case_dataset_blocker,record_normalization,California,P0_critical,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_normalization_rec_src_search_fc3322f3069f_001 - Westnile.ca.gov | California West Nile Virus Website,Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_fc3322f3069f_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-08-01-2024-08-31,West Nile virus,No. Human Cases 286 98,claim_corroboration_review,anomaly,California,P0_critical,8,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_004 - Arbobulletin_2024_29.pdf,Arbobulletin_2024_29.pdf,https://westnile.ca.gov/download?download_id=5061,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_a39e4fa28013; event_020; anom_004; val_result_004,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-08-01-2024-08-31,West Nile virus,"There have been 289 human West Nile virus disease cases in 2024, according to the [CDC](https://www.cdc.gov/west-nile-virus/data-maps/current-year-data.html).",claim_corroboration_review,anomaly,California,P0_critical,9,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_005 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesses - ABC News,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_0d4e7ec87258; event_009; anom_005; val_result_008,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-08-01-2024-08-31,West Nile virus,"Earlier this week, health officials in Illinois announced the first death in the state from West Nile virus after a Lake County resident in their 80s had an onset of symptoms in mid-August and died soon after.",claim_corroboration_review,anomaly,California,P0_critical,10,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_006 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesses - ABC News,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_0d4e7ec87258; event_018; anom_006; val_result_009,anomaly,Claim-level support is unresolved or depends on a single source.
