actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,United States,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bea...,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_10ccb06f620d_001_cases_unspecified; claim_rec_src_search_33733b13ba13_003_deaths; claim_rec_src_search_33733b13ba13_004_observation; claim_rec_src_search_051378e10a24_001_observation; claim_rec_src_search_051378e10a24_002_observation; claim_rec_src_search_10ccb06f620d_003_cases_confirmed; claim_rec_src_search_10ccb06f620d_004_cases_probable; claim_rec_src_search_10ccb06f620d_002_hospitalizations; claim_rec_src_search_3b86862864f7_001_cases_confirmed; claim_rec_src_search_3b86862864f7_001_cases_unspecified; claim_rec_src_search_3b86862864f7_002_cases_confirmed; claim_rec_src_search_3b86862864f7_003_cases_unspecified; claim_rec_src_search_33733b13ba13_002_hospitalizations; claim_rec_src_search_8207a084046e_001_hospitalizations; claim_rec_src_search_33733b13ba13_001_cases_unspecified; src_search_10ccb06f620d; src_search_3b86862864f7; src_search_33733b13ba13; src_search_051378e10a24; src_search_8207a084046e; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
Centers for Disease Control and Prevention,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-05-01-2024-07-31,Salmonella,"![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png) ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg) **Official websites use .gov** A .gov website belongs to an official government organization in the United States. ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg) **Secure .gov websites use HTTPS** A lock ( ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) # Reoccurring *Salmonella* Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024 *Weekly* / August 21, 2025 / 74(31);474–479 Lingzi Xiaoli, PhD1; Paula Huth, MPH2; Cassandra Sherma...",validation_conflict_review,anomaly,United States,P0_critical,2,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_004 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United Stat...,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_10ccb06f620d; event_003; anom_004; val_result_018,anomaly,This review item requires human inspection before it should affect downstream interpretation.
Centers for Disease Control and Prevention,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-05-01-2024-07-31,Salmonella,"Among 9,219 *Salmonella* infections reported, 7,314 (79%) infections had positive culture results.",validation_conflict_review,anomaly,United States,P0_critical,3,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_005 - FoodNet 2024 Preliminary Data | FoodNet | CDC,FoodNet 2024 Preliminary Data | FoodNet | CDC,https://www.cdc.gov/foodnet/reports/preliminary-data.html,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_3b86862864f7; event_009; anom_005; val_result_025,anomaly,This review item requires human inspection before it should affect downstream interpretation.
Centers for Disease Control and Prevention,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-05-01-2024-07-31,Salmonella,"Bearded dragons have been linked to *Salmonella* outbreaks, including a 2012–2014 *Salmonella* Cotham outbreak involving 160 patients in 35 states.",claim_corroboration_review,anomaly,United States,P0_critical,4,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_003 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United Stat...,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_10ccb06f620d; event_002; anom_003; val_result_001,anomaly,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-08-21,Salmonellosis (non-typhoidal Salmonella),"![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png) ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg) **Official websites use .gov** A .gov website belongs to an official government organization in the United States. ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg) **Secure .gov websites use HTTPS** A lock ( ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) # Reoccurring *Salmonella* Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024 *Weekly* / August 21, 2025 / 74(31);474–479 Lingzi Xiaoli, PhD1; Paula Huth, MPH2; Cassandra Sherma...",validation_conflict_review,duplicate_event_clustering,United States,P1_high,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_003 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United S...,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_10ccb06f620d_003; rec_src_search_10ccb06f620d_004; event_003,record,This review item requires human inspection before it should affect downstream interpretation.
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,6,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_002 - FoodNet 2024 Preliminary Data | FoodNet | CDC,FoodNet 2024 Preliminary Data | FoodNet | CDC,https://www.cdc.gov/foodnet/reports/preliminary-data.html,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_3b86862864f7_004_cases_unspecified; src_search_3b86862864f7; corr_event_002,claim,Claim-level support is unresolved or depends on a single source.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-05-01-2024-07-31,Salmonella,,source_identity_review,source_credibility,United States,P1_high,7,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_15fc5f8d47e2 - Food for Thought 2025 - PIRG,Food for Thought 2025 - PIRG,https://pirg.org/edfund/resources/food-for-thought-2025,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_15fc5f8d47e2,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-05-01-2024-07-31,Salmonella,,source_identity_review,source_credibility,United States,P1_high,8,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_58ef4c36918e - Food Recalls in 2024: Revealing the Statistics - FSNS,Food Recalls in 2024: Revealing the Statistics - FSNS,https://fsns.com/food-recalls-in-2024-revealing-the-statistics,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_58ef4c36918e,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-05-01-2024-07-31,Salmonella,,source_identity_review,source_credibility,United States,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_793a8dd9911b - Outbreak Investigation of Salmonella: Cucumbers (November 20...,Outbreak Investigation of Salmonella: Cucumbers (November 2024) | FDA,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_793a8dd9911b,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),| ****Hospitalization (n = 24)**** | |,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,10,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_004 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United S...,"Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024  | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_10ccb06f620d_002; event_004,record,Claim-level support is unresolved or depends on a single source.
CIDRAP,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),[### Salmonella outbreaks linked to backyard poultry send 54 to the hospital,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,11,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_005 - Report: Illnesses from contaminated food increased in 2024, severe ...","Report: Illnesses from contaminated food increased in 2024, severe ...",https://www.cidrap.umn.edu/foodborne-disease/report-illnesses-contaminated-food-increased-2024-severe-cases-doubled,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_8207a084046e_001; event_005,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),"Among 9,219 *Salmonella* infections reported, 7,314 (79%) infections had positive culture results.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,12,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_006 - FoodNet 2024 Preliminary Data | FoodNet | CDC,FoodNet 2024 Preliminary Data | FoodNet | CDC,https://www.cdc.gov/foodnet/reports/preliminary-data.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_3b86862864f7_001; event_006,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),Total Illnesses: 551,claim_corroboration_review,duplicate_event_clustering,United States,P1_high,13,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_007 - Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_33733b13ba13_001; rec_src_search_33733b13ba13_002; rec_src_search_33733b13ba13_003; event_007,record,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),"Last Illness Onset: July 26, 2024",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,14,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_008 - Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_33733b13ba13_004; event_008,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),"Among 9,219 *Salmonella* infections reported, 7,314 (79%) infections had positive culture results.",claim_corroboration_review,duplicate_event_clustering,United States,P1_high,15,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,claim corroboration review - review_duplicate_event_009 - FoodNet 2024 Preliminary Data | FoodNet | CDC,FoodNet 2024 Preliminary Data | FoodNet | CDC,https://www.cdc.gov/foodnet/reports/preliminary-data.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_3b86862864f7_002; rec_src_search_3b86862864f7_003; event_009,record,Claim-level support is unresolved or depends on a single source.
