actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,United States,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Ongoing Salmonella outbreaks linked to backyard poultry...,Ongoing Salmonella outbreaks linked to backyard poultry sickens ...,https://www.cdc.gov/media/releases/2026/2026-update-ongoing-salmonella-outbreaks-linked-to-backyard-poultry-sickens-150-more-people-with-over.html,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_33733b13ba13_001_deaths; claim_rec_src_search_33733b13ba13_003_deaths; claim_rec_src_search_95a418d2f831_001_deaths; claim_rec_src_search_793a8dd9911b_003_deaths; claim_rec_src_search_6ec6e3fd8adc_001_cases_unspecified; claim_rec_src_search_33733b13ba13_001_cases_unspecified; claim_rec_src_search_33733b13ba13_001_hospitalizations; claim_rec_src_search_33733b13ba13_002_hospitalizations; claim_rec_src_search_95a418d2f831_001_cases_unspecified; claim_rec_src_search_8207a084046e_001_hospitalizations; claim_rec_src_search_8fb76173fa13_001_cases_confirmed; claim_rec_src_search_793a8dd9911b_001_cases_unspecified; claim_rec_src_search_793a8dd9911b_002_hospitalizations; src_search_6ec6e3fd8adc; src_search_33733b13ba13; src_search_95a418d2f831; src_search_8207a084046e; src_search_8fb76173fa13; src_search_793a8dd9911b; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-05-01-2024-07-31,Salmonella,Total Illnesses: 113,validation_conflict_review,anomaly,United States,P0_critical,2,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_005 - Outbreak Investigation of Salmonella: Cucumbers (November 2024),Outbreak Investigation of Salmonella: Cucumbers (November 2024),https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_793a8dd9911b; event_004; anom_005; val_result_023,anomaly,This review item requires human inspection before it should affect downstream interpretation.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-05-01-2024-07-31,Salmonella,Total Illnesses: 113,claim_corroboration_review,anomaly,United States,P0_critical,3,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_003 - Outbreak Investigation of Salmonella: Cucumbers (November 2024),Outbreak Investigation of Salmonella: Cucumbers (November 2024),https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_793a8dd9911b; event_004; anom_003; val_result_015,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-05-01-2024-07-31,Salmonella,Hospitalizations: 28,claim_corroboration_review,anomaly,United States,P0_critical,4,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_004 - Outbreak Investigation of Salmonella: Cucumbers (November 2024),Outbreak Investigation of Salmonella: Cucumbers (November 2024),https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_793a8dd9911b; event_004; anom_004; val_result_016,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,Salmonellosis (non-typhoidal Salmonella),"Contaminated cucumbers caused 551 illnesses in 34 states and DC, leading to 155 hospitalizations",validation_conflict_review,duplicate_event_clustering,34 states and District of Columbia,P1_high,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_001 - Cucumber outbreak from salmonella over - PIRG,Cucumber outbreak from salmonella over - PIRG,https://pirg.org/edfund/updates/cucumber-outbreak-from-salmonella-over,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_f06158a1a260_001; rec_src_search_f06158a1a260_002; event_001,record,This review item requires human inspection before it should affect downstream interpretation.
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,6,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_002 - 2024 Salmonella Multi-state Outbreak Linked to Cucumbers...,2024 Salmonella Multi-state Outbreak Linked to Cucumbers | Washington State Department of Health,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/foodborne-illness/outbreaks/2024-salmonella-multi-state-outbreak-linked-cucumbers,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_fe091021a27e_001_cases_unspecified; claim_rec_src_search_fe091021a27e_002_cases_unspecified; claim_rec_src_search_fe091021a27e_002_deaths; claim_rec_src_search_fe091021a27e_002_hospitalizations; src_search_fe091021a27e; corr_event_002,claim,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,7,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_003 - CDC ends its probe of cucumber Salmonella outbreak after...,CDC ends its probe of cucumber Salmonella outbreak after 551 cases | CIDRAP,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_8fb76173fa13_002_cases_confirmed; src_search_8fb76173fa13; corr_event_003,claim,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,8,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_004 - CDC ends its probe of cucumber Salmonella outbreak after...,CDC ends its probe of cucumber Salmonella outbreak after 551 cases | CIDRAP,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_8fb76173fa13_003_cases_confirmed; src_search_8fb76173fa13; corr_event_004,claim,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,9,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_005 - CDC ends its probe of cucumber Salmonella outbreak after...,CDC ends its probe of cucumber Salmonella outbreak after 551 cases | CIDRAP,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_8fb76173fa13_004_cases_confirmed; src_search_8fb76173fa13; corr_event_005,claim,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,needs_more_evidence; defer_decision,2024-05-01-2024-07-31,Salmonella,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,United States,P1_high,10,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_006 - CDC ends its probe of cucumber Salmonella outbreak after...,CDC ends its probe of cucumber Salmonella outbreak after 551 cases | CIDRAP,https://www.cidrap.umn.edu/salmonella/cdc-ends-its-probe-cucumber-salmonella-outbreak-after-551-cases,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_8fb76173fa13_005_cases_confirmed; src_search_8fb76173fa13; corr_event_006,claim,Claim-level support is unresolved or depends on a single source.
