anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record date 2012-01-01 is outside requested task window 2024-05-01 to 2024-07-31"", ""record date 2012-01-01 is outside requested task window 2024-05-01 to 2024-07-31"", ""record event period 2012-01-01 to 2014-12-31 does not overlap requested task window 2024-05-01 to 2024-07-31""]",record date 2012-01-01 is outside requested task window 2024-05-01 to 2024-07-31,,rec_src_search_10ccb06f620d_001,
,,final_case_dataset,True,True,accepted_with_warnings,,hospitalization_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_10ccb06f620d_002,
,,final_case_dataset,True,True,accepted_with_warnings,,confirmed_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_3b86862864f7_001,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_3b86862864f7_002,
,,final_case_dataset,True,True,accepted_with_warnings,,unspecified_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_3b86862864f7_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record period 2024-01-01 to 2024-12-31 is too broad for requested task window 2024-05-01 to 2024-07-31""]",record period 2024-01-01 to 2024-12-31 is too broad for requested task window 2024-05-01 to 2024-07-31,,rec_src_search_3b86862864f7_004,
,,final_case_dataset,True,True,accepted_with_warnings,,unspecified_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_33733b13ba13_001,
,,final_case_dataset,True,True,accepted_with_warnings,,hospitalization_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_33733b13ba13_002,
,,final_dataset,False,True,accepted_with_warnings,,death_record,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_33733b13ba13_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_schema_invalid,,ambiguous_public_health_observation,,False,"[""direct_collection records must contain at least one task-aware numeric metric or explicit zero count"", ""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as ambiguous_public_health_observation, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",direct_collection records must contain at least one task-aware numeric metric or explicit zero count,,rec_src_search_33733b13ba13_004,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""record period 2024-01-01 to 2024-12-31 is too broad for requested task window 2024-05-01 to 2024-07-31""]",record period 2024-01-01 to 2024-12-31 is too broad for requested task window 2024-05-01 to 2024-07-31,,rec_src_search_051378e10a24_001,
,,final_dataset,False,True,accepted_with_warnings,,surveillance_summary,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_051378e10a24_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",hospitalization_record,,True,"[""source_role_final=excluded"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8207a084046e_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""record period 2024-01-11 to 2024-12-10 is too broad for requested task window 2024-05-01 to 2024-07-31""]",record period 2024-01-11 to 2024-12-10 is too broad for requested task window 2024-05-01 to 2024-07-31,,rec_src_search_10ccb06f620d_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""record period 2024-01-11 to 2024-12-10 is too broad for requested task window 2024-05-01 to 2024-07-31""]",record period 2024-01-11 to 2024-12-10 is too broad for requested task window 2024-05-01 to 2024-07-31,,rec_src_search_10ccb06f620d_004,
