apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_001,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_001,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - [PDF] Multi-country outbreak of cholera - World Health O...,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250110_multi-country_outbreak-of-cholera_sitrep--22.pdf?sfvrsn=568bfb6d_3,claim_rec_src_search_803858403368_001_cases_unspecified; claim_rec_src_search_803858403368_002_deaths; claim_rec_src_search_9aefe8d01e47_001_cases_confirmed; claim_rec_src_search_9aefe8d01e47_001_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_cases_confirmed; claim_rec_src_search_9aefe8d01e47_002_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_deaths; claim_rec_src_search_8fb70e3827e3_001_cases_unspecified; claim_rec_src_search_8fb70e3827e3_002_deaths; src_search_803858403368; src_search_9aefe8d01e47; src_search_8fb70e3827e3; corr_event_001,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_001,accept_as_is,"From 1 January to 29 Dec ember 2024 , Haiti documented 10 556 cholera cases and 162 deaths. For more detailed",validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_duplicate_event_001,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_001 - [PDF] Multi-country outbreak of cholera - World Health Organization (WHO),https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250110_multi-country_outbreak-of-cholera_sitrep--22.pdf?sfvrsn=568bfb6d_3,rec_src_search_803858403368_001; rec_src_search_803858403368_002; rec_src_search_8fb70e3827e3_001; rec_src_search_8fb70e3827e3_002; event_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_003,accept_anomaly,,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_anomaly_anom_003,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_003 - event_001,,event_001; anom_003,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_4f1e08e3f365,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_4f1e08e3f365,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_4f1e08e3f365 - Haïti : La résurgence du choléra menace les communautés ...,https://www.hrw.org/fr/news/2025/11/05/haiti-la-resurgence-du-cholera-menace-les-communautes-vulnerables,src_search_4f1e08e3f365,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_505b2ac21551,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_505b2ac21551,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_505b2ac21551 - An Update of Cholera Cases as of 30th December 2024 ... - Fa...,https://www.facebook.com/malawimoh/posts/an-update-of-cholera-cases-as-of-30th-december-2024ministryofhealth/905170445128563,src_search_505b2ac21551,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_5b9b31558c67,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_5b9b31558c67,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_5b9b31558c67 - Haiti Country Report - Cholera Taxonomy,https://cholera-taxonomy.middle-distance.com/locations/648/country_report,src_search_5b9b31558c67,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_664c22f9e3a2,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_664c22f9e3a2,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_664c22f9e3a2 - Élimination du choléra en Haïti | The Global Alliance Agains...,https://www.choleraalliance.org/fr/actualites/elimination-du-cholera-haiti,src_search_664c22f9e3a2,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_8929f93c6a7e,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_8929f93c6a7e,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_8929f93c6a7e - Multi-Country Outbreak of Cholera, External Situation Report...",https://reliefweb.int/report/democratic-republic-congo/multi-country-outbreak-cholera-external-situation-report-21-published-18-december-2024,src_search_8929f93c6a7e,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_a0ed0f2ccd87,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_a0ed0f2ccd87,REPLACE_WITH_REVIEWER_ID,"source identity review - review_source_credibility_src_search_a0ed0f2ccd87 - Cholera, Haiti - BEACON",https://beaconbio.org/en/event?eventid=4608b346-c917-4783-9f7d-e6e9af15cb65,src_search_a0ed0f2ccd87,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_bd6f7e5cf18e,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_bd6f7e5cf18e,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_bd6f7e5cf18e - 2 February 2024 cholera update - Facebook,https://www.facebook.com/mohzambia/posts/2-february-2024-cholera-update/802242431943276,src_search_bd6f7e5cf18e,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_c853598f6ecb,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_c853598f6ecb,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_c853598f6ecb - Surveillance du choléra en Haïti – GTFCC,https://www.gtfcc.org/fr/news/surveillance-du-cholera-en-haiti,src_search_c853598f6ecb,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_103c81f1c004,approve_source_role,,source_credibility_review,"Should this source be collection, support, context, or excluded?",P2_medium,Review required: source_credibility_review,review_source_credibility_src_search_103c81f1c004,REPLACE_WITH_REVIEWER_ID,source credibility review - review_source_credibility_src_search_103c81f1c004 - [PDF] CHOLERA SURVEILLANCE IN HAITI OCTOBER 2022- MAY 2024,https://www.gtfcc.org/wp-content/uploads/2024/09/9th-meeting-of-gtfcc-working-group-on-epidemiology-2024-pierre.pdf,src_search_103c81f1c004,source
