actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2024-01-01-2024-12-31,Cholera,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,Haiti,P1_high,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_claim_corroboration_review_corr_event_001 - Cholera outbreak in Haiti persists, particularly in sites...","Cholera outbreak in Haiti persists, particularly in sites ... - BEACON",https://beaconbio.org/en/report?reportid=e1816dc5-50ab-41c0-90df-bde8617d2d78&eventid=4608b346-c917-4783-9f7d-e6e9af15cb65&locations=aaa9ccfe-ddd5-43a6-93cc-f7ea1f40330c,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_9aefe8d01e47_001_cases_confirmed; claim_rec_src_search_9aefe8d01e47_001_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_cases_confirmed; claim_rec_src_search_9aefe8d01e47_002_cases_suspected; claim_rec_src_search_9aefe8d01e47_002_deaths; src_search_9aefe8d01e47; corr_event_001,claim,Claim-level support is unresolved or depends on a single source.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,2,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_9551dc7b0b7e - Situation Report In 2024, humanitarian partners & the Govt....","Situation Report In 2024, humanitarian partners & the Govt. of ...",https://x.com/OCHA_Ethiopia/status/1901624800289665470,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_9551dc7b0b7e,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,3,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_25902466ae28 - UNICEF Haiti Humanitarian Situation Report No. 3: 1 to 30 Ap...,UNICEF Haiti Humanitarian Situation Report No. 3: 1 to 30 April 2024,https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-3-1-30-april-2024,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_25902466ae28,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,4,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_42c6ab0993b9 - UNICEF Haiti Humanitarian Situation Report No. 7, 1 July-30 ...","UNICEF Haiti Humanitarian Situation Report No. 7, 1 July-30 ...",https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-7-1-july-30-september-2025,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_42c6ab0993b9,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,5,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_52b7f0d4d92b - UNICEF Haiti Humanitarian Situation Report No. 6: Mid-Year 2025,UNICEF Haiti Humanitarian Situation Report No. 6: Mid-Year 2025,https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-6-mid-year-2025,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_52b7f0d4d92b,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,6,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_6dc5eabed325 - Water Insecurity, Sociopolitical Instability, and Resurgence...","Water Insecurity, Sociopolitical Instability, and Resurgence of Cholera in Haiti, 2022: An Outbreak Investigation in: The American Journal of Tropical Medicine and Hygiene Volume 113 Issue 3 (2025)",https://www.ajtmh.org/view/journals/tpmd/113/3/article-p689.xml,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_6dc5eabed325,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,7,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_76ddaf069a83 - [PDF] Haiti - UNICEF,[PDF] Haiti - UNICEF,https://www.unicef.org/media/164411/file/Haiti-Humanitarian-SitRep-September-2024.pdf,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_76ddaf069a83,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,8,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_802ab0048156 - Haiti: Cholera - Reports - ReliefWeb Response,Haiti: Cholera - Reports - ReliefWeb Response,https://response.reliefweb.int/haiti/cholera/reports,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_802ab0048156,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,"source identity review - review_source_credibility_src_search_9aefe8d01e47 - Cholera outbreak in Haiti persists, particularly in sites .....","Cholera outbreak in Haiti persists, particularly in sites ... - BEACON",https://beaconbio.org/en/report?reportid=e1816dc5-50ab-41c0-90df-bde8617d2d78&eventid=4608b346-c917-4783-9f7d-e6e9af15cb65&locations=aaa9ccfe-ddd5-43a6-93cc-f7ea1f40330c,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_9aefe8d01e47,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,10,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_b3f2bb1a4939 - UNICEF Haiti Humanitarian Situation Report No. 9: October 2024,UNICEF Haiti Humanitarian Situation Report No. 9: October 2024,https://reliefweb.int/report/haiti/unicef-haiti-humanitarian-situation-report-no-9-october-2024,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_b3f2bb1a4939,source,Publisher or source identity uncertainty can affect source independence and credibility.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-01-01-2024-12-31,Cholera,,source_identity_review,source_credibility,Haiti,P1_high,11,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_c853598f6ecb - Surveillance du choléra en Haïti - GTFCC,Surveillance du choléra en Haïti - GTFCC,https://www.gtfcc.org/fr/news/surveillance-du-cholera-en-haiti,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_c853598f6ecb,source,Publisher or source identity uncertainty can affect source independence and credibility.
