anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",probable_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_2ac70c766155_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",probable_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_2ac70c766155_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_2ac70c766155_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record geography is broader than requested location Brazil; record has geographic_scope_type='region', geographic_scope='Americas', subnational_location=None""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_c19140f0ec24_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,death_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record geography is broader than requested location Brazil; record has geographic_scope_type='region', geographic_scope='Americas', subnational_location=None""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_c19140f0ec24_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,probable_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record as-of date 2024-10-07 is outside requested task window 2024-01-01 to 2024-03-31"", ""record claims the requested subnational geography, but the source/chunk/evidence text does not explicitly support that geography; task geography cannot be inherited into strict final"", ""record period 2024-01-01 to 2024-10-07 is too broad for requested task window 2024-01-01 to 2024-03-31""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_0cb54d17a3e3_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,death_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record as-of date 2024-10-07 is outside requested task window 2024-01-01 to 2024-03-31"", ""record claims the requested subnational geography, but the source/chunk/evidence text does not explicitly support that geography; task geography cannot be inherited into strict final"", ""record period 2024-01-01 to 2024-10-07 is too broad for requested task window 2024-01-01 to 2024-03-31""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_0cb54d17a3e3_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,death_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record as-of date 2024-10-07 is outside requested task window 2024-01-01 to 2024-03-31"", ""record claims the requested subnational geography, but the source/chunk/evidence text does not explicitly support that geography; task geography cannot be inherited into strict final"", ""record period 2024-01-01 to 2024-10-07 is too broad for requested task window 2024-01-01 to 2024-03-31""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_0cb54d17a3e3_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,surveillance_summary,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record as-of date 2024-10-07 is outside requested task window 2024-01-01 to 2024-03-31"", ""record claims the requested subnational geography, but the source/chunk/evidence text does not explicitly support that geography; task geography cannot be inherited into strict final"", ""record period 2024-01-01 to 2024-10-07 is too broad for requested task window 2024-01-01 to 2024-03-31""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_0cb54d17a3e3_004,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,probable_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record as-of date 2024-10-07 is outside requested task window 2024-01-01 to 2024-03-31"", ""record period 2024-01-01 to 2024-10-07 is too broad for requested task window 2024-01-01 to 2024-03-31""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_0cb54d17a3e3_005,
