apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_001,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_001,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Texas announces second death in measles outbreak | Texas...,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,claim_rec_src_search_65e6340a3a24_003_deaths; claim_rec_src_search_8bf36d4bffb4_002_observation; claim_rec_src_search_3e232b5b243d_001_cases_confirmed; claim_rec_src_search_3e232b5b243d_002_deaths; claim_rec_src_search_fede8be6ac1e_001_observation; claim_rec_src_search_fede8be6ac1e_004_deaths; claim_rec_src_search_4e73f2d0f38f_001_observation; claim_rec_src_search_4e73f2d0f38f_002_hospitalizations; claim_rec_src_search_4e73f2d0f38f_003_observation; claim_rec_src_search_4e73f2d0f38f_004_deaths; claim_rec_src_search_4e73f2d0f38f_005_observation; claim_rec_src_search_470222e3d9fc_001_cases_confirmed; claim_rec_src_search_65e6340a3a24_001_cases_confirmed; claim_rec_src_search_65e6340a3a24_002_hospitalizations; claim_rec_src_search_8bf36d4bffb4_001_cases_confirmed; claim_rec_src_search_fede8be6ac1e_002_cases_confirmed; claim_rec_src_search_bf53e3bb2a06_001_cases_unspecified; claim_rec_src_search_fede8be6ac1e_003_hospitalizations; src_search_65e6340a3a24; src_search_8bf36d4bffb4; src_search_3e232b5b243d; src_search_fede8be6ac1e; src_search_4e73f2d0f38f; src_search_470222e3d9fc; src_search_bf53e3bb2a06; corr_event_001,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_007,accept_anomaly,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_007,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_007 - Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,src_search_8242cbb785a1; event_001; anom_007; val_result_008,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_008,accept_anomaly,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_008,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_008 - Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,src_search_8242cbb785a1; event_001; anom_008; val_result_009,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_009,accept_anomaly,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_009,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_009 - Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,src_search_6e578fc529e9; event_010; anom_009; val_result_010,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_010,accept_anomaly,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_010,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_010 - Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,src_search_6e578fc529e9; event_010; anom_010; val_result_011,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_011,accept_anomaly,"##### [Return to your place in the text](#F1_up)**FIGURE 1**. **Reported number of confirmed\* measles cases, by state (N = 800) — United States, January 1–April 17, 2025**",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_011,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_anomaly_anom_011 - Measles Update — United States, January 1–April 17, 2025 | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,src_search_3109afb35d90; event_011; anom_011; val_result_023,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_001,accept_as_is,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",validation_conflict_review,"What decision, if any, should a human reviewer record?",P1_high,Review required: validation_conflict_review,review_duplicate_event_001,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_001 - Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American H...,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,rec_src_search_8242cbb785a1_001; rec_src_search_8242cbb785a1_002; event_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_003,accept_as_is,"As of April 4, 481 cases of measles have been confirmed in the outbreak since late January. Most of the cases are in children. Fifty-six people have been hospitalized over the course of the outbreak.",validation_conflict_review,"What decision, if any, should a human reviewer record?",P1_high,Review required: validation_conflict_review,review_duplicate_event_003,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_003 - Texas announces second death in measles outbreak | Texas DSHS,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,rec_src_search_65e6340a3a24_001; rec_src_search_65e6340a3a24_002; rec_src_search_65e6340a3a24_003; event_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_010,accept_as_is,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",validation_conflict_review,"What decision, if any, should a human reviewer record?",P1_high,Review required: validation_conflict_review,review_duplicate_event_010,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_010 - Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American H...,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,rec_src_search_6e578fc529e9_001; rec_src_search_6e578fc529e9_002; event_010,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_002,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_002,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_002 - Situation Report #2: Measles in the Americas Region - PAH...,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,claim_rec_src_search_8242cbb785a1_001_cases_confirmed; claim_rec_src_search_8242cbb785a1_001_deaths; claim_rec_src_search_8242cbb785a1_002_deaths; claim_rec_src_search_6e578fc529e9_001_cases_confirmed; claim_rec_src_search_6e578fc529e9_001_deaths; claim_rec_src_search_6e578fc529e9_002_deaths; src_search_8242cbb785a1; src_search_6e578fc529e9; corr_event_002,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_003,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_003,REPLACE_WITH_REVIEWER_ID,"claim corroboration review - review_claim_corroboration_review_corr_event_003 - Measles Update — United States, January 1–April 17, 2025...",https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,claim_rec_src_search_3109afb35d90_001_cases_confirmed; src_search_3109afb35d90; corr_event_003,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_340ae0c9d09e,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_340ae0c9d09e,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_340ae0c9d09e - First death in Texas measles outbreak is unvaccinated child,https://www.texastribune.org/2025/02/26/texas-measles-death,src_search_340ae0c9d09e,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_34ae881076ba,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_34ae881076ba,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_34ae881076ba - Texas declares its measles outbreak over | AHA News,https://www.aha.org/news/headline/2025-08-18-texas-declares-its-measles-outbreak-over,src_search_34ae881076ba,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_8d237fa2e9fb,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_8d237fa2e9fb,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_8d237fa2e9fb - The Measles Outbreak in West Texas and Beyond | Johns Hopkins,https://publichealth.jhu.edu/2025/the-measles-outbreak-in-west-texas-and-beyond,src_search_8d237fa2e9fb,source
