anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,abrupt_spike_simple_threshold,record,case_count,2025-07-31,deterministic_anomaly_detection,Legionnaires' disease,,"• In 2025, case counts in June were higher than usual largely because of a large outbreak in Middlesex-London Health Unit.5 The outbreak occurred over the summer and fall and accounted for 28.5% (107/376) of all legionellosis cases reported in Ontario in 2025.",25.0,[],case count is a simple-threshold spike over prior comparable records,Ontario,True,376.0,case count is a simple-threshold spike over prior comparable records,review_possible_spike_or_count_semantics,rec_src_search_610d6ac3f5c7_001,[],medium,src_search_610d6ac3f5c7,"[""src_search_610d6ac3f5c7""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2025.pdf?rev=e539cfbc1f50416da450caf421a46490&sc_lang=en&hash=2FD54DAE46293218306D10C5DA069834""]",10.0,,[]
anom_002,open,deaths_without_case_reference,record,deaths,2025-07-29,deterministic_anomaly_detection,Legionnaires' disease,,"Ontario’s Middlesex-London region is experiencing an outbreak of Legionnaires’ disease, with 70 confirmed cases and two deaths as of July 29, 2025.",,[],,Ontario,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_c49cc412423d_002,[],low,src_search_c49cc412423d,"[""src_search_c49cc412423d""]","[""https://www.crisis24.com/articles/canada-confirmed-legionnaires-disease-cases-reported-in-the-middlesex-london-region-in-july-outbreak-source-remains-unknown""]",,,"[""insufficient_case_reference""]"
anom_003,open,deaths_without_case_reference,record,deaths,2025-07-31,deterministic_anomaly_detection,Legionnaires' disease,,A long-term care home [in Toronto's east end](https://www.cbc.ca/news/canada/toronto-legionnaires-outbreak-linked-to-3-more-deaths-1.525458) was linked to [23 deaths](https://www.archives.gov.on.ca/en/e_records/sars/report/v3-pdf/Vol3Chp7iv.pdf) in 2005.,,[],,"Toronto, Ontario",False,23.0,deaths present but no comparable case count is available,human_review,rec_src_search_95d26b86ff72_002,[],low,src_search_95d26b86ff72,"[""src_search_95d26b86ff72""]","[""https://www.cbc.ca/news/health/legionnaires-disease-explainer-1.7580254""]",,,"[""insufficient_case_reference""]"
anom_004,open,test_positivity_or_rate_invalid,record,positivity_rate,2025-07-31,deterministic_anomaly_detection,Legionnaires' disease,,"• In 2024, the proportion of positive tests among legionellosis tests conducted by PHO (percent positivity) peaked at the end of July at 6.4%, after which the trend generally declined (Figure 3).",0_to_1_proportion_or_valid_percent,[],positivity_rate is outside expected proportion bounds,Ontario,True,6.4,positivity_rate is outside expected proportion bounds,review_rate_scale_or_extraction,rec_src_search_b19fa2456b72_005,[],medium,src_search_b19fa2456b72,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,,[]
anom_005,open,deaths_without_case_reference,record,deaths,2025-07-31,deterministic_anomaly_detection,Legionnaires' disease,,"![](/a/assets/nojsimg.gif) ##### Quick Links # What to know about legionnaires' disease amid recent outbreaks in Ontario, N.Y. state ## Severe lung infection results from inhaling contaminated water spray ![](https://i.cbc.ca/ais/1.6481645,1654707471000/full/max/0/default.jpg?im=Crop%2Crect%3D%28953%2C0%2C3813%2C3813%29%3BResize%3D76) ![Text to Speech Icon](/a/assets/texttospeech.svg) ![Cooling towers are seen in the Harlem neighbourhood amid a legionnaires' disease outbreak in New York City, in August 2025.](https://i.cbc.ca/ais/1.7602659,1754511030000/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C130%2C7219%2C4060%29%3B) ## Social Sharing Legionnaires' disease has been in the headlines on both sides of the border this summer, with public health officials investigating outbreaks in Ontario and neighbouring New York state. A July outbreak in London, Ont., which has [since been declared over](https://www.cbc.ca/news/canada/london/legionnaires-outbreak-in-london-over-but-source-is-still-a-mystery-1.7602198), left four people dead and infected about 100 others. The [likely source](https://www.cbc.ca/news/health/legionnaires-outbreak-london-source-1.7621817) of the outbreak was the [cooling towers of a local meat-processing plant](https://www.cbc.ca/news/canada/london/legionnaires-outbreak-london-likely-source-1.7618150) in the city's east end, local health officials said. A recent outbreak in [New York City](https://apnews.com/article/legionnaires-disease-new-york-harlem-e509d666283abb9e22492a374c62c9f5), meanwhile, killed seven people and sickened dozens more. Health officials in that city link the Central Harlem outbreak to cooling towers — structures containing water and a fan that are used to cool buildings.",,[],,Ontario,False,4.0,deaths present but no comparable case count is available,human_review,rec_src_search_95d26b86ff72_004,[],low,src_search_95d26b86ff72,"[""src_search_95d26b86ff72""]","[""https://www.cbc.ca/news/health/legionnaires-disease-explainer-1.7580254""]",,,"[""insufficient_case_reference""]"
anom_006,open,out_of_scope_count_bearing_record,validation_result,task_scope,2018–2025,deterministic_anomaly_detection,Legionnaires' disease,event_006,"• The incidence of Legionellosis in Ontario has remained stable from 2018 to 2025, ranging from 2.0 to 2.6 cases per 100, 000 population per year.","{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario,True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""date_or_period"": ""2018–2025""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_610d6ac3f5c7""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2025.pdf?rev=e539cfbc1f50416da450caf421a46490&sc_lang=en&hash=2FD54DAE46293218306D10C5DA069834""]",,val_result_005,"[""outside_time_window""]"
anom_007,open,out_of_scope_count_bearing_record,validation_result,task_scope,2005,deterministic_anomaly_detection,Legionnaires' disease,event_019,A long-term care home [in Toronto's east end](https://www.cbc.ca/news/canada/toronto-legionnaires-outbreak-linked-to-3-more-deaths-1.525458) was linked to [23 deaths](https://www.archives.gov.on.ca/en/e_records/sars/report/v3-pdf/Vol3Chp7iv.pdf) in 2005.,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,"Toronto, Ontario",True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Toronto, Ontario"", ""date_or_period"": ""2005""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_95d26b86ff72""]","[""https://www.cbc.ca/news/health/legionnaires-disease-explainer-1.7580254""]",,val_result_009,"[""outside_time_window""]"
anom_008,open,out_of_scope_count_bearing_record,validation_result,task_scope,2019–2024,deterministic_anomaly_detection,Legionnaires' disease,event_013,"• Legionellosis activity has been similar from 2019 to 2024 with no clear trend in reported incidence rates (range: 2.1 to 2.6 cases per 100,000 population per year).","{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario,True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""date_or_period"": ""2019–2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,val_result_013,"[""outside_time_window""]"
anom_009,open,out_of_scope_count_bearing_record,validation_result,task_scope,July 2024,deterministic_anomaly_detection,Legionnaires' disease,event_015,"• July case counts and rates in 2024 (n = 84, 0.5 cases per 100,000 population) and 2023 (n = 81, 0.5 cases per 100,000 population) were higher than the average for July from 2019 to 2022 (n = 38 cases, 0.3 cases per 100,000 population).","{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario,True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""date_or_period"": ""July 2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,val_result_014,"[""outside_time_window""]"
anom_010,open,out_of_scope_count_bearing_record,validation_result,task_scope,July 2023,deterministic_anomaly_detection,Legionnaires' disease,event_012,"• July case counts and rates in 2024 (n = 84, 0.5 cases per 100,000 population) and 2023 (n = 81, 0.5 cases per 100,000 population) were higher than the average for July from 2019 to 2022 (n = 38 cases, 0.3 cases per 100,000 population).","{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario,True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""date_or_period"": ""July 2023""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,val_result_015,"[""outside_time_window""]"
anom_011,open,out_of_scope_count_bearing_record,validation_result,task_scope,2024,deterministic_anomaly_detection,Legionnaires' disease,event_011,"• In 2024, Middlesex-London Health Unit (MLHU) reported the highest annual rate of legionellosis cases (7.7 cases per 100,000 population) in Ontario. High rates were partially due to an outbreak with a total of 30 confirmed cases of legionellosis.","{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario — Middlesex-London Health Unit (MLHU),True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario — Middlesex-London Health Unit (MLHU)"", ""date_or_period"": ""2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,val_result_016,"[""outside_time_window""]"
anom_012,open,out_of_scope_count_bearing_record,validation_result,task_scope,end of July 2024,deterministic_anomaly_detection,Legionnaires' disease,event_016,"• In 2024, the proportion of positive tests among legionellosis tests conducted by PHO (percent positivity) peaked at the end of July at 6.4%, after which the trend generally declined (Figure 3).","{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario,True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""date_or_period"": ""end of July 2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,val_result_017,"[""outside_time_window""]"
anom_013,open,out_of_scope_count_bearing_record,validation_result,task_scope,2024,deterministic_anomaly_detection,Legionnaires' disease,event_014,• The proportion of legionellosis cases that resulted in hospitalization in 2024 (76.6%) was similar to the average for the period from 2019 to 2023 (75.1%) (Table 2).,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Ontario,True,"{""disease"": ""Legionnaires' disease"", ""location"": ""Ontario"", ""date_or_period"": ""2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b19fa2456b72""]","[""https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2024.pdf""]",,val_result_018,"[""outside_time_window""]"
